N	3gram	Ircho_Kome_1	Stilisti
1	в то же	4	9
2	в зависимости от	1	7
3	то же время	4	7
4	для того чтобы	1	7
5	то же самое	2	4
6	с самого начала	1	4
7	в той же	1	3
8	но и в	2	3
9	не только в	1	3
10	в конце концов	4	3
11	как мы уже	1	3
12	как мы видели	1	3
13	или хотя бы	1	2
14	ответить на это	1	2
15	тех случаях когда	1	2
16	и не только	1	2
17	вместе с тем	1	2
18	в общественной жизни	1	2
19	в этом отношении	3	2
20	в значительной степени	1	2
21	смысле этого слова	1	2
22	но при этом	1	2
23	и на его	1	2
24	чуть ли не	1	2
25	в тех случаях	1	2
26	не что иное	1	2
27	о том что	3	2
28	что иное как	1	2
29	в сознании человека	1	2
30	к тому что	1	2
31	и тому же	1	1
32	до наших дней	1	1
33	и к тому	1	1
34	одной из сторон	1	1
35	по отношению к	3	1
36	более или менее	1	1
37	и чаще всего	1	1
38	не говоря уже	2	1
39	до сих пор	2	1
40	и тем что	2	1
41	независимо от того	1	1
42	можно было бы	1	1
43	и здесь мы	1	1
44	и в каком	1	1
45	в большинстве случаев	1	1
46	не свидетельствуют о	1	1
47	ответа на вопрос	1	1
48	на те явления	1	1
49	точек зрения в	1	1
50	тем не менее	1	1
51	чтобы убедиться в	1	1
52	бросается в глаза	1	1
53	таким образом в	2	1
54	с другой стороны	5	1
55	же как мы	1	1
56	мы уже знаем	1	1
57	в том что	9	1
58	именно потому что	2	1
59	словам а к	1	1
60	как и в	2	1
61	в разговоре с	1	1
62	к одному и	1	1
63	одному и тому	1	1
