N	2gram	Berdyaev_V_1	SlovoVZh
1	может быть	1	14
2	как бы	5	13
3	и в	16	12
4	и не	20	10
5	так как	9	9
6	прежде всего	2	8
7	для нас	2	7
8	в ней	4	6
9	в том	3	6
10	только в	2	6
11	в нем	4	6
12	в процессе	1	6
13	должна быть	3	5
14	то же	1	5
15	в виду	1	5
16	как в	1	5
17	но в	3	5
18	в жизни	3	5
19	а не	7	5
20	как и	4	5
21	что мы	4	5
22	том что	2	5
23	никогда не	3	5
24	хотя бы	3	5
25	то что	9	5
26	мы все	1	4
27	зависимости от	1	4
28	к нему	1	4
29	в этом	4	4
30	все же	1	4
31	в самом	1	4
32	уже не	2	4
33	не только	2	4
34	отношение к	1	4
35	так и	4	4
36	с другой	1	4
37	что не	4	4
38	не в	3	4
39	жизни и	3	4
40	и на	1	4
41	в котором	4	3
42	еще не	8	3
43	мы не	2	3
44	и вообще	1	3
45	бы то	1	3
46	но и	5	3
47	между тем	2	3
48	того что	5	3
49	и ее	1	3
50	все эти	3	3
51	конечно не	2	3
52	да и	2	3
53	для него	2	3
54	не к	2	3
55	и по	1	3
56	то ни	1	3
57	и с	1	3
58	ни в	3	3
59	в них	3	3
60	и уже	1	3
61	в своей	3	3
62	так же	1	3
63	все это	5	3
64	и для	3	3
65	это как	1	3
66	ее и	2	3
67	с ним	2	3
68	от этой	1	2
69	значения и	2	2
70	как не	3	2
71	и то	2	2
72	как это	1	2
73	в себя	2	2
74	и самое	1	2
75	ко всем	1	2
76	мы в	1	2
77	нас и	3	2
78	с его	3	2
79	но мы	2	2
80	и что	3	2
81	в чем	3	2
82	в его	4	2
83	что и	3	2
84	в форме	2	2
85	в своем	1	2
86	его к	2	2
87	и потому	7	2
88	и так	1	2
89	уже в	1	2
90	слово это	1	2
91	перестает быть	1	2
92	не так	2	2
93	к ним	1	2
94	но что	1	2
95	но все	1	2
96	любит и	1	2
97	конечно в	1	2
98	это не	2	2
99	оно не	3	2
100	себя и	1	2
101	другой стороны	1	2
102	связь с	1	2
103	нет ничего	3	2
104	вместе с	1	2
105	но не	2	2
106	несравненно более	1	2
107	с этой	1	2
108	она не	1	2
109	в атмосфере	1	2
110	на него	1	2
111	ничего не	1	2
112	а к	2	2
113	и все	4	2
114	в этих	3	2
115	есть уже	2	2
116	но это	3	2
117	человеческого общества	1	2
118	им не	1	2
119	могут быть	2	2
120	что в	3	2
121	и другие	1	2
122	не есть	6	2
123	к этому	1	2
124	а между	2	1
125	и это	2	1
126	как мы	1	1
127	нем но	1	1
128	не имеют	1	1
129	можно было	2	1
130	это только	1	1
131	что уже	1	1
132	является в	2	1
133	бытия если	1	1
134	на себя	5	1
135	важная задача	1	1
136	ценности и	2	1
137	так не	2	1
138	и который	1	1
139	со словами	1	1
140	оно ни	1	1
141	во всех	3	1
142	и во	2	1
143	все в	1	1
144	этого бытия	1	1
145	важный для	1	1
146	сознания не	1	1
147	менее всего	1	1
148	себе и	1	1
149	крайней мере	1	1
150	и можно	1	1
151	что они	7	1
152	словах и	1	1
153	и уж	1	1
154	так для	2	1
155	в лице	1	1
156	и мир	1	1
157	пути в	1	1
158	нас за	2	1
159	хотя и	5	1
160	в двух	1	1
161	тот же	3	1
162	мы увидим	1	1
163	ли он	1	1
164	нашего времени	1	1
165	что это	1	1
166	в целом	1	1
167	это ни	1	1
168	им в	1	1
169	в виде	1	1
170	на этих	2	1
171	слова не	1	1
172	или даже	1	1
173	его и	2	1
174	в одном	1	1
175	и вот	1	1
176	вовсе не	1	1
177	бытия и	1	1
178	у него	1	1
179	кто же	1	1
180	на этом	1	1
181	бы это	1	1
182	что все	4	1
183	мы это	2	1
184	должно быть	3	1
185	мы указывали	1	1
186	и которые	1	1
187	и мы	3	1
188	миру и	1	1
189	уже сказано	1	1
190	и тем	1	1
191	в высшую	1	1
192	говорит о	1	1
193	для них	2	1
194	люди не	2	1
195	не было	3	1
196	а с	2	1
197	все равно	2	1
198	в ее	1	1
199	не всегда	1	1
200	о чем	1	1
201	и было	1	1
202	него не	1	1
203	в истории	8	1
204	и тогда	2	1
205	места в	1	1
206	то есть	1	1
207	что всякий	1	1
208	не могут	2	1
209	что я	3	1
210	если оно	1	1
211	ненависть к	1	1
212	тем кто	2	1
213	для их	2	1
214	по крайней	1	1
215	и должна	1	1
216	в словах	1	1
217	и менее	1	1
218	но прежде	1	1
219	и остается	1	1
220	уж конечно	2	1
221	уже на	2	1
222	конечно ни	1	1
223	того чтобы	2	1
224	не существует	1	1
225	это мы	2	1
226	найти в	1	1
227	в результате	1	1
228	человек и	1	1
229	от него	2	1
230	и внешней	1	1
231	них и	1	1
232	в искусстве	1	1
233	хором с	1	1
234	уже и	1	1
235	жизни в	1	1
236	может и	1	1
237	и третье	1	1
238	у нас	1	1
239	является и	1	1
240	теперь когда	1	1
241	этот третий	1	1
242	в окончательном	1	1
243	что оно	1	1
244	слова с	1	1
245	и эта	1	1
246	во всяком	2	1
247	они не	1	1
248	к тому	3	1
