N	3gram	Nazirov_Vr_1	Analitik
1	в том что	2	7
2	с другой стороны	1	5
3	о том что	1	5
4	по крайней мере	1	4
5	в свою очередь	1	4
6	в русской литературе	3	3
7	то же время	4	3
8	не только не	1	3
9	в то же	4	3
10	в этом отношении	1	3
11	в ответ на	1	2
12	с точки зрения	2	2
13	при этом он	1	2
14	едва ли не	1	2
15	тем не менее	1	2
16	во всяком случае	1	2
17	героя нашего времени	1	2
18	а между тем	1	1
19	в этом смысле	1	1
20	до сих пор	1	1
21	в романе достоевского	1	1
22	по нашему убеждению	2	1
23	с тех пор	1	1
24	но и как	1	1
25	как раз в	2	1
26	в известном смысле	1	1
27	а с другой	1	1
28	в связи с	3	1
29	мы знаем о	1	1
30	как бы в	1	1
31	не только как	1	1
32	в глубине души	1	1
33	и все же	5	1
34	не может быть	2	1
35	между тем это	1	1
36	речь идет о	1	1
37	они как бы	1	1
38	тем более что	1	1
39	заключается в том	1	1
40	то что они	1	1
41	писал об этом	1	1
