N	3gram	Losev_Vlad_1	Istorich
1	с другой стороны	3	8
2	и т д	2	8
3	с одной стороны	1	7
4	в том что	7	5
5	здесь мы имеем	1	4
6	не только в	2	4
7	о том что	7	4
8	вместе с тем	1	3
9	то время как	1	3
10	мы уже видели	1	3
11	в то время	2	3
12	не может быть	3	3
13	том что в	3	2
14	на первый план	2	2
15	мы не будем	1	2
16	только то что	1	2
17	так как он	2	2
18	во всяком случае	2	2
19	а именно что	1	2
20	мы уже знаем	1	2
21	что и в	2	2
22	что иное как	1	1
23	с ними и	1	1
24	видно что отношение	1	1
25	лицом к лицу	1	1
26	мы хотели бы	3	1
27	с ним на	1	1
28	никогда не переставал	1	1
29	того что в	1	1
30	уже не может	1	1
31	более или менее	3	1
32	так как в	1	1
33	и в особенности	1	1
34	том что он	2	1
35	нам кажется что	1	1
36	для тех кто	1	1
37	еще и сейчас	2	1
38	и не может	1	1
39	мне кажется что	1	1
40	некоторое время он	1	1
41	у него в	1	1
42	с тем что	1	1
43	но это не	1	1
44	он был и	1	1
45	в нем мы	1	1
46	и то что	4	1
47	одно и то	1	1
48	как он будет	1	1
49	в этом не	1	1
50	не потому что	1	1
51	и то же	1	1
52	а также и	1	1
53	уже не было	1	1
54	а с другой	1	1
55	не будем приводить	1	1
56	так или иначе	1	1
57	мы сейчас увидим	2	1
58	в связи со	2	1
59	что у него	2	1
60	и если этот	1	1
61	и в том	1	1
62	в свое время	5	1
63	и когда он	1	1
64	он слаб и	1	1
65	есть не что	1	1
66	так и в	1	1
67	и вместе с	1	1
68	и тем самым	1	1
69	связаны с его	1	1
70	можно сказать что	2	1
71	на то что	4	1
72	правда в очень	1	1
73	не что иное	1	1
74	тем не менее	2	1
75	в сравнении с	1	1
76	для того чтобы	2	1
77	т д в	1	1
78	в себе не	1	1
79	смысле этого слова	1	1
