N	3gram	Bakhtin_Pr_1	Otkroven
1	в нем нет	1	3
2	для того чтобы	2	3
3	и в этом	1	2
4	не может быть	11	2
5	но и в	2	2
6	не могут быть	2	2
7	с тем что	1	2
8	смысле этого слова	1	1
9	по сравнению с	1	1
10	хотя и не	1	1
11	в строгом смысле	2	1
12	не в том	1	1
13	а вовсе не	1	1
14	одна из сторон	1	1
15	в самом деле	3	1
16	и есть та	1	1
17	и в том	1	1
18	строгом смысле этого	1	1
19	о том как	1	1
20	художественного творчества это	1	1
21	должно быть ясно	1	1
22	и не может	2	1
23	он необходим для	1	1
24	в иных случаях	3	1
25	в этом отношении	2	1
26	то что в	1	1
27	и в самом	1	1
28	ли может быть	1	1
29	но никогда не	1	1
30	и прежде всего	5	1
31	в том что	3	1
32	а иногда и	1	1
33	на то что	1	1
34	ничего нет кроме	1	1
35	и не в	1	1
36	как и в	1	1
37	прежде всего и	1	1
38	ничто не может	1	1
39	из сторон его	1	1
40	все что есть	1	1
41	и в его	1	1
