N	2gram	Trubetskoy_1	EvropaiE
1	и в	26	37
2	в отношении	6	32
3	точки зрения	13	23
4	что в	9	21
5	не только	10	18
6	с точки	6	17
7	в то	4	16
8	то же	4	15
9	хотя бы	3	15
10	в своем	3	14
11	но в	7	14
12	же время	2	14
13	в качестве	3	14
14	но и	9	14
15	и не	8	14
16	в этом	15	12
17	в их	1	11
18	в области	9	11
19	в том	11	11
20	так и	6	10
21	в себе	6	9
22	только в	4	9
23	земного шара	1	9
24	прежде всего	2	9
25	все более	1	9
26	не может	4	9
27	так же	5	9
28	в смысле	4	9
29	в ее	1	8
30	думать что	1	8
31	было бы	1	8
32	в своей	1	8
33	к тому	6	8
34	между тем	2	8
35	с одной	7	8
36	одной стороны	7	8
37	а также	2	7
38	того что	3	7
39	так как	9	7
40	с другой	8	7
41	как и	1	7
42	по своему	2	7
43	может быть	10	6
44	и на	2	6
45	во всех	2	6
46	на то	2	6
47	то есть	4	6
48	культурных ценностей	4	6
49	том что	7	6
50	того чтобы	5	6
51	вслед за	2	6
52	для того	5	6
53	и даже	3	6
54	как бы	12	6
55	с этой	3	6
56	то что	7	6
57	же как	3	5
58	но не	8	5
59	не в	2	5
60	в россии	2	5
61	и по	4	5
62	к которым	2	5
63	но если	2	5
64	одной из	5	5
65	в виде	4	5
66	от этого	1	5
67	и потому	6	5
68	в течение	4	5
69	в той	1	5
70	этой точки	2	5
71	то в	1	4
72	мы не	1	4
73	но даже	1	4
74	к востоку	4	4
75	в ней	1	4
76	в самом	4	4
77	то ни	2	4
78	несмотря на	6	4
79	чем в	1	4
80	весьма вероятно	1	4
81	даже в	1	4
82	не имеет	5	4
83	в процессе	2	4
84	к россии	1	4
85	той или	2	4
86	бы то	2	4
87	по себе	1	4
88	можно сказать	3	4
89	тем более	1	4
90	именно в	2	4
91	европейской цивилизации	1	4
92	ни было	2	4
93	или иной	2	4
94	мира в	1	4
95	хозяйственной жизни	1	4
96	сказать что	2	4
97	культуры в	1	4
98	в каком	1	4
99	в сфере	1	3
100	идет о	1	3
101	из всех	3	3
102	бы и	1	3
103	того же	6	3
104	народов земного	1	3
105	в общем	8	3
106	как в	1	3
107	когда он	3	3
108	и к	5	3
109	себе не	1	3
110	представляет собой	3	3
111	значительная часть	2	3
112	мы можем	2	3
113	в них	2	3
114	с тем	18	3
115	мы видели	2	3
116	и некоторые	1	3
117	в которых	4	3
118	европейской культуры	3	3
119	никогда не	5	3
120	данного народа	1	3
121	потому что	7	3
122	заключает в	2	3
123	в будущем	1	3
124	ли это	2	3
125	с другом	5	3
126	востока в	2	3
127	о том	6	3
128	от них	2	3
129	место в	1	3
130	что и	6	3
131	и только	4	3
132	всяком случае	6	3
133	этот факт	2	3
134	из них	7	3
135	себе в	1	3
136	к ним	3	3
137	тем что	1	3
138	этом отношении	2	3
139	по своим	2	3
140	и прежде	1	3
141	в свою	2	3
142	связано с	2	3
143	там где	1	3
144	ни на	1	3
145	в данном	1	3
146	друг с	5	3
147	не является	1	3
148	известной степени	1	3
149	и для	5	3
150	и от	4	3
151	в результате	3	3
152	мира и	1	3
153	не более	1	3
154	обстоит дело	1	3
155	как на	8	3
156	в таком	3	3
157	во всяком	6	3
158	для этих	2	2
159	и отчасти	1	2
160	что эти	3	2
161	и этот	1	2
162	есть не	1	2
163	именно к	1	2
164	которое в	1	2
165	на них	1	2
166	между собой	1	2
167	он сам	1	2
168	произошло в	1	2
169	в сторону	1	2
170	поскольку они	1	2
171	с этим	1	2
172	помнить что	1	2
173	целый ряд	4	2
174	и как	3	2
175	есть ли	1	2
176	что это	3	2
177	в этой	4	2
178	что к	1	2
179	и если	3	2
180	с течением	3	2
181	главным образом	8	2
182	но именно	1	2
183	он не	4	2
184	на одну	1	2
185	в силу	5	2
186	таким образом	22	2
187	в мире	5	2
188	и с	10	2
189	заключается в	1	2
190	с другими	4	2
191	своему характеру	1	2
192	далеко не	4	2
193	в своих	1	2
194	духовной жизни	1	2
195	такой же	1	2
196	и того	1	2
197	в эту	2	2
198	в этих	4	2
199	жизни мира	1	2
200	и сейчас	2	2
201	в котором	4	2
202	представление о	6	2
203	не к	2	2
204	одном из	1	2
205	и более	1	2
206	только те	1	2
207	дальнего востока	1	2
208	тогда когда	2	2
209	по своей	2	2
210	именно потому	1	2
211	течением времени	3	2
212	культурные ценности	2	2
213	не могут	2	2
214	могут быть	1	2
215	утверждать что	2	2
216	но по	3	2
217	которого мы	1	2
218	как не	1	2
219	свою очередь	1	2
220	данном случае	1	2
221	культуры и	3	2
222	по сравнению	2	2
223	если бы	3	2
224	культура есть	1	2
225	в известных	1	2
226	и что	4	2
227	притом в	1	2
228	в значительной	3	2
229	и во	1	2
230	к нему	7	2
231	во втором	1	2
232	в его	5	2
233	во всей	1	2
234	востока и	2	2
235	мы должны	6	2
236	в сферу	1	2
237	эти последние	1	2
238	но с	3	2
239	этот вопрос	1	2
