N	2gram	Ircho_Kome_3	FransuaR
1	и в	22	65
2	как бы	3	22
3	и не	21	22
4	вовсе не	4	18
5	в сущности	2	16
6	в том	12	16
7	в этом	8	15
8	но в	5	14
9	в нем	3	13
10	нового времени	2	13
11	и на	2	11
12	прежде всего	5	11
13	все эти	1	10
14	не только	5	10
15	и его	6	10
16	так и	4	10
17	но и	4	10
18	и потому	1	10
19	том числе	1	10
20	во всех	2	9
21	в эпоху	2	9
22	в его	8	9
23	все это	5	9
24	за пределы	2	8
25	в своем	8	8
26	в основе	2	8
27	и даже	3	8
28	по своему	3	8
29	формы и	1	7
30	его в	8	7
31	точки зрения	4	7
32	в области	2	7
33	только в	1	7
34	числе и	1	7
35	жизни и	1	7
36	они были	1	6
37	в ней	4	6
38	еще не	6	6
39	все же	4	6
40	и у	1	6
41	при этом	7	6
42	том что	13	6
43	в отношении	4	6
44	никогда не	3	6
45	как мы	2	6
46	времени и	1	6
47	нашей работы	1	6
48	одно из	1	6
49	так как	11	6
50	может быть	6	6
51	не знает	3	6
52	сказать что	1	6
53	с его	3	5
54	отличие от	2	5
55	как в	2	5
56	в них	3	5
57	как и	3	5
58	в своей	5	5
59	потому что	10	5
60	между тем	2	5
61	в одном	2	5
62	превращается в	1	5
63	в частности	3	5
64	и все	2	5
65	в своих	2	5
66	жизни в	1	5
67	здесь и	2	4
68	и до	1	4
69	и к	3	4
70	в самом	9	4
71	в этой	3	4
72	и еще	3	4
73	во время	6	4
74	в их	2	4
75	в отличие	1	4
76	не в	4	4
77	до сих	9	4
78	мы остановимся	1	4
79	связи с	5	4
80	из них	5	4
81	отношение к	5	4
82	выходит за	1	4
83	сих пор	9	4
84	это как	1	4
85	последующих веков	1	4
86	для нас	1	4
87	между ними	2	4
88	совершенно не	2	4
89	это в	2	4
90	самом деле	6	3
91	нем только	1	3
92	связанный с	1	3
93	в себя	1	3
94	но все	4	3
95	то что	4	3
96	в себе	4	3
97	и с	4	3
98	и других	1	3
99	это не	2	3
100	далеко не	3	3
101	в ее	3	3
102	он и	2	3
103	с точки	3	3
104	на котором	1	3
105	ничего не	3	3
106	по своей	1	3
107	этом отношении	2	3
108	и здесь	4	3
109	не могут	2	3
110	в виду	2	3
111	она была	2	3
112	с ним	5	3
113	с другой	4	3
114	и во	2	3
115	к нему	5	3
116	что он	8	3
117	до нас	4	3
118	но как	1	3
119	в известной	2	3
120	друг друга	4	3
121	как раз	6	3
122	в других	3	3
123	не были	1	3
124	и эта	1	3
125	на время	1	3
126	на фоне	1	3
127	нет ничего	2	3
128	и их	1	3
129	в тех	1	3
130	в состоянии	1	3
131	не является	4	3
132	пор еще	1	3
133	не может	3	3
134	что в	5	3
135	отношения к	2	2
136	одним из	2	2
137	например в	1	2
138	или к	1	2
139	он требует	1	2
140	видеть в	1	2
141	из всех	2	2
142	для своего	1	2
143	и само	1	2
144	и он	2	2
145	это время	1	2
146	он был	4	2
147	на них	3	2
148	в чем	1	2
149	но не	1	2
150	не входит	1	2
151	нет и	4	2
152	образов в	1	2
153	и наконец	1	2
154	из этих	1	2
155	он не	5	2
156	не к	1	2
157	на его	2	2
158	он так	3	2
159	свое время	1	2
160	его от	2	2
161	и по	1	2
162	эта же	1	2
163	а затем	2	2
164	конечно в	1	2
165	это было	1	2
166	в свой	1	2
167	в этих	1	2
168	от своего	1	2
169	и без	2	2
170	их в	3	2
171	называет его	1	2
172	на него	4	2
173	всего на	1	2
174	во всем	1	2
175	же он	1	2
176	в мир	1	2
177	он называет	2	2
178	к себе	5	2
179	могут быть	1	2
180	к тому	6	2
181	и это	2	2
182	но при	2	2
183	и этим	3	2
184	приводит к	3	2
185	роль в	2	2
186	гуманизм и	1	2
187	особенно в	1	2
188	во многом	1	2
189	на что	1	2
190	стремление к	1	2
191	и начало	1	2
192	о том	8	2
193	утопический характер	1	2
194	в риме	1	2
195	можно сказать	1	2
196	основе своей	1	2
197	мы видим	1	2
198	с одной	3	2
199	к какому	1	2
200	в большинстве	1	2
201	только на	1	2
202	от того	2	2
203	при всей	2	2
204	что не	3	2
205	в некоторых	1	2
206	дошедших до	2	2
