N	3gram	Losev_Dial_1	VelikijI
1	к тому что	2	3
2	а между тем	1	2
3	то что я	2	2
4	не верит в	1	2
5	познания добра и	1	2
6	бы и не	1	2
7	в нем нет	3	2
8	добра и зла	1	2
9	в том что	7	2
10	и т д	19	2
11	но все же	1	1
12	другой стороны в	1	1
13	есть прежде всего	1	1
14	т д и	2	1
15	да и то	3	1
16	и есть то	1	1
17	и то и	2	1
18	не есть метафизическое	2	1
19	все это мы	1	1
20	но от этого	1	1
21	по крайней мере	4	1
22	то и другое	2	1
23	есть то что	1	1
24	имеет своим предметом	1	1
25	так как она	4	1
26	с ними как	1	1
27	все равно не	1	1
28	в конце концов	3	1
29	и в этом	3	1
30	с другой стороны	4	1
31	веры а не	1	1
32	в я в	1	1
33	по сравнению с	2	1
34	д и т	2	1
35	от бога по	1	1
