N	3gram	Savitsky_E_1	KFilosof
1	не может быть	2	11
2	с точки зрения	16	10
3	в нем и	1	3
4	в этом смысле	3	3
5	того или иного	4	3
6	и в этом	4	3
7	в соответствии с	1	2
8	бы то ни	4	2
9	то или иное	1	2
10	отказаться от своей	1	2
11	то ни было	4	2
12	и не быть	1	2
13	во всех этих	1	2
14	не может дать	1	2
15	один и тот	1	2
16	то же время	14	2
17	той или иной	4	2
18	в то же	15	2
19	во всем его	1	2
20	в том что	6	2
21	и тот же	1	2
22	и только в	2	2
23	к настоящему моменту	3	1
24	и на своем	2	1
25	на то что	2	1
26	не может не	1	1
27	в этом мире	1	1
28	собой столь же	1	1
29	всех этих случаях	1	1
30	того что в	2	1
31	и того же	1	1
32	между прочим и	2	1
33	хотя бы только	1	1
34	он не дает	1	1
35	имеют дело с	1	1
36	оставить в стороне	1	1
37	в том же	1	1
38	или иную эпоху	1	1
39	а не к	1	1
40	только в том	2	1
41	бы ни была	1	1
42	в лучшем случае	1	1
43	хотя бы и	3	1
44	нужно помнить что	1	1
45	и та же	1	1
46	независимо от того	1	1
47	в противном случае	1	1
48	несмотря на то	1	1
49	и не в	1	1
50	к ним они	1	1
51	может быть и	1	1
52	и в то	8	1
53	ту или иную	3	1
54	нужно думать что	1	1
55	не нужно думать	1	1
56	значит ли это	1	1
57	но в то	2	1
58	смысле этого слова	1	1
59	в известном смысле	3	1
60	в том случае	1	1
61	дело в том	1	1
62	во всяком случае	3	1
63	одна и та	1	1
64	как одно из	1	1
65	что в области	1	1
66	для того чтобы	5	1
67	вместо того чтобы	1	1
68	было бы совершенно	1	1
69	мы не можем	1	1
70	в значительной степени	1	1
71	в свою очередь	2	1
72	само по себе	4	1
73	и тем самым	1	1
74	как бы ни	3	1
75	одного и того	1	1
76	но не в	1	1
77	во второй половине	2	1
78	в большинстве случаев	2	1
79	ли это что	1	1
80	к тому что	1	1
81	в том смысле	1	1
82	это может быть	1	1
83	в ту или	1	1
84	в себе в	1	1
85	а именно в	1	1
86	только тогда когда	1	1
87	с разных точек	1	1
88	в основных чертах	1	1
