N	3gram	Nazirov_Vr_1	Russkaja
1	то же время	4	10
2	в то же	4	10
3	с точки зрения	2	9
4	в том что	2	7
5	во всяком случае	1	6
6	а между тем	1	5
7	до сих пор	1	5
8	на то что	1	4
9	не может быть	2	4
10	и не может	1	3
11	и то что	1	3
12	к вопросу о	1	3
13	в конце концов	1	3
14	а следовательно и	1	2
15	точно так же	1	2
16	о том что	1	2
17	самим собой в	1	1
18	но и от	1	1
19	в свою очередь	1	1
20	между прочим и	1	1
21	в том же	1	1
22	но для нас	1	1
23	в этом отношении	1	1
24	но мы знаем	1	1
25	по крайней мере	1	1
26	речь идет не	1	1
27	и что в	2	1
28	но в то	2	1
29	тем что он	1	1
30	но при этом	1	1
31	и в этом	1	1
32	идет не об	1	1
33	в связи с	3	1
34	на россию в	1	1
35	так же как	1	1
36	и все же	5	1
37	заключается в том	1	1
38	это и есть	1	1
39	речь идет о	1	1
40	в нем самом	1	1
41	тем более что	1	1
42	и во всем	1	1
43	тем не менее	1	1
44	на первый взгляд	1	1
45	не только от	1	1
46	за границей и	1	1
