N	3gram	Bakhtin_KF_1	slovoVRo
1	то же время	2	12
2	в то же	2	12
3	той или иной	2	9
4	с точки зрения	9	8
5	во всех его	1	7
6	в большинстве случаев	1	6
7	не может не	1	5
8	и в то	1	5
9	во всяком случае	1	5
10	единого и единственного	9	4
11	но в то	1	4
12	себя в нем	1	3
13	в зависимости от	1	3
14	хотя бы и	1	3
15	но и здесь	3	3
16	в нем в	1	3
17	до конца и	1	3
18	и связанных с	1	2
19	и во всех	1	2
20	в лучшем случае	1	2
21	одновременно и в	1	2
22	может быть только	7	2
23	в другом случае	1	2
24	в первом случае	1	2
25	в известном смысле	1	2
26	и в этом	3	2
27	а не как	1	2
28	единый и единственный	3	2
29	того или иного	3	2
30	в свою очередь	1	2
31	как бы ни	1	2
32	к тому что	1	2
33	и на своем	1	1
34	а не к	1	1
35	а следовательно и	1	1
36	своем месте и	1	1
37	для того или	1	1
38	может казаться что	1	1
39	дело в том	1	1
40	имеем в виду	2	1
41	но это не	1	1
42	мы ничего не	1	1
43	он может быть	2	1
44	себя в своем	1	1
45	и их взаимное	1	1
46	к единому и	2	1
47	в нем и	3	1
48	и не в	1	1
49	то или иное	2	1
50	бы то ни	2	1
51	с ним в	1	1
52	во всех своих	3	1
53	нечто чего не	1	1
54	в противном случае	1	1
55	со всех сторон	1	1
56	подхода к действительности	1	1
57	единому и единственному	4	1
58	все это разные	1	1
59	может быть и	1	1
60	связанных с ними	1	1
61	в значительной степени	1	1
62	от единого и	2	1
63	то ни было	2	1
64	на своем месте	2	1
65	нисколько не понижает	1	1
66	на задний план	1	1
67	в качестве необходимого	1	1
68	каково бы оно	1	1
69	во всех этих	2	1
70	это не значит	1	1
71	бы оно ни	1	1
72	всех своих моментах	2	1
73	не должно быть	1	1
74	могла бы быть	3	1
75	том что между	1	1
76	не может быть	11	1
77	себя до конца	1	1
78	тем не менее	2	1
79	нет подхода к	1	1
80	оно ни было	1	1
81	равно как и	1	1
82	бы и с	1	1
83	она всегда в	1	1
84	все это может	1	1
85	никогда не может	1	1
86	но сама она	1	1
87	в отвлечении от	5	1
88	не есть еще	1	1
89	в его собственном	1	1
90	но в этом	1	1
91	включает в себя	2	1
92	и вследствие этого	1	1
93	лежит в основе	1	1
94	уже не только	1	1
95	но во всяком	1	1
96	для того чтобы	1	1
97	в том что	2	1
