N	3gram	Tiupa_Narr_1	VLabPisa
1	в этом отношении	3	13
2	с другой стороны	4	8
3	не может быть	5	8
4	по отношению к	6	7
5	более или менее	2	6
6	в то же	3	5
7	в конечном счете	2	5
8	то же время	3	5
9	можно сказать что	4	4
10	в связи с	2	4
11	в том что	8	4
12	и др в	1	3
13	о том что	6	3
14	и в то	1	3
15	подобно тому как	2	2
16	с одной стороны	7	2
17	во всех его	1	2
18	в том числе	6	2
19	следует понимать как	1	2
20	до сих пор	1	2
21	этой точки зрения	2	2
22	можно было бы	2	2
23	так и от	1	2
24	не может не	2	2
25	только то что	1	2
26	том числе и	4	2
27	в том чтобы	1	2
28	по крайней мере	1	2
29	следует иметь в	1	1
30	или ином отношении	1	1
31	в том же	1	1
32	в таком случае	2	1
33	в этом смысле	1	1
34	так или иначе	2	1
35	том или ином	2	1
36	из которых он	1	1
37	в этой системе	1	1
38	которые будто бы	1	1
39	об этом свидетельствует	1	1
40	одной из этих	1	1
41	может быть и	1	1
42	но по существу	1	1
43	имеем дело с	1	1
44	иметь в виду	1	1
45	к тому же	4	1
46	в качестве одной	1	1
47	хотя оно и	1	1
48	не подлежит сомнению	1	1
49	может быть сведена	1	1
50	очевидно что в	1	1
51	то же самое	1	1
52	тот или иной	1	1
53	что один из	1	1
54	оснований видеть в	1	1
55	того или иного	2	1
56	совершенно очевидно что	1	1
57	все то что	1	1
58	следует отметить что	1	1
59	может быть определена	1	1
60	на одном полюсе	1	1
61	быть определена как	1	1
62	не только в	2	1
63	далеко не всегда	1	1
64	то или иное	2	1
65	сами по себе	2	1
66	той или иной	4	1
67	при всем своем	1	1
68	некоторые из них	1	1
69	в самом деле	1	1
70	не отличается от	2	1
71	как это было	1	1
72	в том или	2	1
73	же как и	1	1
74	по аналогии с	1	1
75	все же не	4	1
76	и не быть	1	1
77	именно в том	2	1
78	так же как	2	1
79	быть сведена к	1	1
80	мы имеем дело	2	1
81	а не только	1	1
82	в ней не	1	1
83	в той или	2	1
84	ту или иную	2	1
85	в свою очередь	3	1
86	в данном случае	4	1
87	качестве одной из	1	1
88	это то что	1	1
89	с этой точки	1	1
90	в соответствии с	1	1
91	один из них	1	1
