N	2gram	Berdyaev_V_1	Komedia
1	iv в	1	34
2	и в	16	26
3	и не	20	14
4	к тому	3	12
5	так и	4	12
6	может быть	1	11
7	в том	3	11
8	в этом	4	10
9	но и	5	10
10	том что	2	9
11	вместе с	1	9
12	что в	3	9
13	и на	1	7
14	не только	2	7
15	на себя	5	7
16	что и	3	7
17	еще не	8	6
18	в своем	1	6
19	в нем	4	6
20	того чтобы	2	6
21	потому что	4	6
22	в двух	1	6
23	то что	9	6
24	в которой	1	5
25	с его	3	5
26	что он	4	5
27	в истории	8	5
28	для того	1	5
29	ни в	3	5
30	с тем	2	5
31	и с	1	5
32	хоть и	1	5
33	один из	2	5
34	к этому	1	5
35	б и	1	4
36	уже в	1	4
37	более чем	2	4
38	хотя и	5	4
39	в самом	1	4
40	что это	1	4
41	в целом	1	4
42	в них	3	4
43	как и	4	4
44	в этих	3	4
45	тому что	3	4
46	не по	1	4
47	и новой	1	4
48	это слово	1	4
49	как мы	1	4
50	можно было	2	4
51	за то	3	4
52	между тем	2	4
53	в его	4	4
54	только в	2	4
55	так как	9	4
56	у него	1	4
57	прежде всего	2	4
58	мира в	2	4
59	как это	1	4
60	все же	1	4
61	и для	3	4
62	и от	1	4
63	речь идет	1	3
64	в котором	4	3
65	то же	1	3
66	в их	1	3
67	вопрос о	1	3
68	в ней	4	3
69	во всех	3	3
70	но не	2	3
71	как в	1	3
72	но в	3	3
73	со своей	1	3
74	в этой	1	3
75	но все	1	3
76	человека в	1	3
77	не имеет	3	3
78	того как	1	3
79	что на	1	3
80	и сам	2	3
81	в образе	4	3
82	к нему	1	3
83	искать в	1	3
84	тем что	2	3
85	не было	3	3
86	о чем	1	3
87	и столь	1	3
88	да и	2	3
89	с этой	1	3
90	все это	5	3
91	для нас	2	3
92	а в	2	3
93	в своей	3	3
94	жизни и	3	3
95	и т	2	2
96	и есть	4	2
97	и за	2	2
98	мы не	2	2
99	говорить о	4	2
100	то это	3	2
101	в виду	1	2
102	он был	1	2
103	бы то	1	2
104	в ее	1	2
105	и другие	1	2
106	если в	1	2
107	и я	4	2
108	от этого	3	2
109	и хотя	1	2
110	бы и	3	2
111	по которым	2	2
112	роль в	1	2
113	и если	1	2
114	на этом	1	2
115	то ни	1	2
116	в глазах	1	2
117	это не	2	2
118	не всегда	1	2
119	эти люди	2	2
120	когда в	2	2
121	не в	3	2
122	в конце	3	2
123	вовсе не	1	2
124	на пути	1	2
125	одна из	2	2
126	в одном	1	2
127	что их	2	2
128	последний из	1	2
129	в духе	2	2
130	всего в	2	2
131	и это	2	2
132	как не	3	2
133	и что	3	2
134	в мире	5	2
135	после того	1	2
136	и во	2	2
137	и все	4	2
138	вслед за	2	2
139	в лице	1	2
140	с которыми	1	2
141	тот же	3	2
142	с ними	1	2
143	и ее	1	2
144	теперь в	1	2
145	не знающего	1	2
146	не для	1	2
147	отношение к	1	2
148	нет и	2	2
149	с другой	1	2
150	нового времени	1	2
151	с которым	1	2
152	для их	2	2
153	если не	3	2
154	в изображении	1	2
