N	4gram	Medvedev_F_3	Dialekti
1	в то же время	7	4
2	с точки зрения самого	2	2
3	и в то же	2	2
4	мы можем сказать что	1	2
5	не может и не	1	2
6	и тем не менее	1	1
7	дело в том что	1	1
8	с другой стороны в	1	1
9	с точки зрения своей	1	1
10	материала с другой стороны	1	1
11	а потому что он	1	1
12	не потому что он	1	1
13	так а не иначе	1	1
14	в коем случае не	1	1
15	одной и той же	1	1
16	мы уже знаем что	2	1
17	иметь в виду что	1	1
18	же самое и в	1	1
19	ни в коем случае	1	1
20	с той или иной	1	1
21	то же самое и	1	1
22	на самом же деле	2	1
