N	2gram	Nazirov_Vr_1	DiskursI
1	в качестве	1	34
2	не только	9	28
3	в том	3	23
4	тогда как	2	19
5	том что	3	19
6	может быть	4	17
7	как и	6	16
8	и в	8	16
9	в этом	8	15
10	еще не	2	14
11	но и	7	14
12	при этом	4	13
13	и т.п	2	12
14	по своей	1	11
15	но не	1	11
16	прежде всего	1	11
17	и не	5	11
18	как в	1	10
19	далеко не	3	10
20	с другой	1	10
21	в нем	6	9
22	не может	2	9
23	в частности	1	9
24	отнюдь не	2	8
25	но в	6	8
26	своего рода	1	8
27	о том	4	8
28	так и	1	8
29	а также	2	8
30	не было	5	7
31	в себе	2	7
32	то же	5	7
33	роль в	1	7
34	в его	3	7
35	в своем	3	6
36	и как	3	6
37	в составе	1	5
38	во всех	1	5
39	тому же	1	5
40	в силу	1	5
41	в котором	6	5
42	в их	1	5
43	в процессе	1	5
44	а с	2	5
45	как бы	4	5
46	а в	2	5
47	то что	7	5
48	в своей	2	5
49	и о	3	4
50	с его	3	4
51	в сторону	1	4
52	отношение к	2	4
53	в истории	4	4
54	уже не	2	4
55	в целом	1	4
56	в них	2	4
57	потому что	1	4
58	могут быть	1	4
59	и т.д	1	4
60	же время	5	4
61	между тем	5	4
62	как правило	1	4
63	что он	4	4
64	для него	2	4
65	в особенности	1	4
66	связи с	3	4
67	что в	7	4
68	также и	1	3
69	того же	1	3
70	столь же	2	3
71	с этим	1	3
72	в самом	1	3
73	заключается в	1	3
74	это не	4	3
75	точки зрения	2	3
76	в своих	4	3
77	однако в	1	3
78	в то	5	3
79	таким образом	2	3
80	ли не	1	3
81	свою очередь	1	3
82	но при	1	3
83	в ее	1	3
84	не с	1	3
85	еще в	1	3
86	и даже	6	3
87	из них	2	3
88	к ним	2	3
89	тем что	3	3
90	именно в	1	3
91	себе не	1	3
92	по своему	1	3
93	того что	1	3
94	один из	1	3
95	все же	6	3
96	в свою	2	3
97	другой стороны	1	3
98	отношения к	2	2
99	одним из	3	2
100	е годы	1	2
101	и есть	1	2
102	он всегда	1	2
103	едва ли	1	2
104	в году	18	2
105	совпадает с	1	2
106	ему в	1	2
107	в виду	4	2
108	в е	1	2
109	влияния на	1	2
110	служит для	1	2
111	но как	2	2
112	себя в	1	2
113	как к	1	2
114	хотя и	1	2
115	целый ряд	4	2
116	и глубокой	1	2
117	в этой	2	2
118	человека в	3	2
119	об этом	5	2
120	соответствии с	1	2
121	не всегда	1	2
122	одного и	1	2
123	о романе	2	2
124	начале х	1	2
125	по крайней	1	2
126	не менее	2	2
127	но они	1	2
128	не могло	1	2
129	а о	1	2
130	нельзя не	1	2
131	х годов	4	2
132	текста к	1	2
133	и его	3	2
134	в момент	2	2
135	крайней мере	1	2
136	к себе	2	2
137	отличается от	1	2
138	не есть	1	2
139	и он	2	2
140	с ее	1	2
141	но зато	1	2
142	было в	1	2
143	и вообще	1	2
144	иисуса христа	1	2
145	о нем	6	2
146	во всяком	1	2
147	и что	8	2
148	это было	1	2
149	и во	3	2
150	в форме	1	2
151	котором он	1	2
152	в литературе	1	2
153	в разные	1	2
154	в литературу	1	2
155	и ее	2	2
156	уже в	4	2
157	в одном	1	2
158	никогда не	2	2
159	никого не	1	2
160	из двух	1	2
161	к которому	1	2
162	более того	1	2
163	в соответствии	1	2
164	в рассказе	1	2
165	одну из	1	2
166	о чем	2	2
167	автора в	1	2
168	что же	1	2
169	в начале	6	2
170	о котором	1	2
171	и все	7	2
172	хотя в	1	2
173	героя в	1	2
174	это в	2	2
175	они не	1	2
176	к этому	3	2
177	широкое распространение	1	1
178	как известно	1	1
179	можно говорить	1	1
180	речь идет	3	1
181	и то	2	1
182	героя другого	1	1
183	это и	1	1
184	идет о	1	1
185	не хочет	1	1
186	заметное влияние	1	1
187	той же	1	1
188	человеком и	1	1
189	вторая часть	1	1
190	именно своей	1	1
191	говорить о	1	1
192	в полной	1	1
193	я не	3	1
194	событий и	1	1
195	утверждаю что	1	1
196	на них	1	1
197	он сам	2	1
198	он пишет	2	1
199	тут же	1	1
200	что они	1	1
201	как говорит	1	1
202	же с	1	1
203	независимо от	1	1
204	его на	2	1
205	там же	2	1
206	с правилами	1	1
207	состояло в	1	1
208	сходятся в	1	1
209	что это	1	1
210	не был	1	1
211	по преимуществу	1	1
212	рассказ о	1	1
213	почти одновременно	1	1
214	что к	2	1
215	это такая	1	1
216	на то	3	1
217	этот процесс	1	1
218	время и	2	1
219	он не	3	1
220	анекдоты и	1	1
221	всех этих	1	1
222	чем у	1	1
223	уже говорилось	1	1
224	нашего времени	2	1
225	что ни	1	1
226	одно и	1	1
227	совпадают с	1	1
228	не будет	1	1
229	этом он	1	1
230	есть все	1	1
231	в мире	2	1
232	самим собой	1	1
233	говорить не	1	1
234	при помощи	2	1
235	этом смысле	1	1
236	в жизни	1	1
237	которой он	1	1
238	не мог	2	1
239	в этих	1	1
240	во время	2	1
241	с точки	2	1
242	в дневнике	4	1
243	дама с	1	1
244	вплоть до	1	1
245	черты характера	1	1
246	в россии	5	1
247	тем не	1	1
248	не могли	1	1
249	не должна	1	1
250	раз и	1	1
251	до конца	1	1
252	тем самым	1	1
253	не имеет	1	1
254	в русской	3	1
255	для всех	1	1
256	не все	1	1
257	во всем	1	1
258	это слово	1	1
259	этом отношении	1	1
260	в каком	1	1
261	такие же	1	1
262	в речах	1	1
263	во все	1	1
264	об одном	1	1
265	он стал	1	1
266	его с	2	1
267	постановки вопроса	1	1
268	и это	2	1
269	и от	1	1
270	россии в	2	1
271	и сам	1	1
272	живет в	1	1
273	этого как	1	1
274	сюжетных функций	1	1
275	во второй	1	1
276	том как	1	1
277	не учитывать	1	1
278	нас в	1	1
279	к нему	1	1
280	вслед за	1	1
281	романа в	1	1
282	человека как	1	1
283	известном смысле	1	1
284	пришел к	2	1
285	и кончая	1	1
286	он уже	1	1
287	по мнению	2	1
288	начало в	1	1
289	только при	1	1
290	в нашей	2	1
291	если в	1	1
292	в известном	2	1
293	его и	2	1
294	но для	1	1
295	к своим	1	1
296	и их	1	1
297	всяком случае	1	1
298	в известной	1	1
299	и романа	1	1
300	для правильного	1	1
301	в конце	3	1
302	от сознания	2	1
303	друг друга	1	1
304	было выдвинуто	1	1
305	каждый из	1	1
306	как раз	2	1
307	представление о	1	1
308	до сих	1	1
309	было бы	1	1
310	говорит о	1	1
