N	2gram	Propp_Russ_1	KulturaY
1	и т	10	39
2	потому что	10	25
3	т п	1	24
4	и в	36	23
5	т е	17	22
6	не только	22	20
7	в том	17	19
8	в этом	12	18
9	и не	6	16
10	может быть	8	15
11	так как	15	15
12	было бы	1	15
13	т д	9	14
14	точки зрения	3	14
15	все эти	2	12
16	у нас	8	12
17	если бы	1	12
18	но в	2	11
19	в области	3	11
20	том что	19	11
21	русском языке	1	10
22	в русском	4	10
23	что в	19	10
24	а не	2	10
25	вопрос о	1	9
26	не может	4	9
27	то что	6	9
28	можно было	1	9
29	самом деле	1	9
30	в качестве	3	8
31	уже не	6	8
32	только потому	1	8
33	и что	4	8
34	с точки	3	8
35	и пр	2	8
36	и с	2	7
37	не менее	3	7
38	что это	3	7
39	все же	5	7
40	в нашем	2	7
41	но и	16	7
42	в силу	2	7
43	но не	2	6
44	между тем	7	6
45	это не	10	6
46	то же	3	6
47	что не	1	6
48	ту же	1	6
49	слова в	3	6
50	в этой	1	6
51	и на	10	6
52	тем не	3	6
53	этот вопрос	2	6
54	что мы	1	6
55	приводит к	3	5
56	и здесь	2	5
57	во всяком	1	5
58	этого слова	3	5
59	должна быть	1	5
60	таким образом	6	5
61	все это	6	5
62	там где	2	5
63	как это	8	5
64	об этом	9	5
65	еще не	4	5
66	вместе с	10	5
67	в его	2	5
68	тот же	1	5
69	зависимости от	1	5
70	всяком случае	1	5
71	подобного рода	1	5
72	что все	1	5
73	и тем	1	5
74	не могут	1	5
75	только в	4	5
76	также и	1	5
77	один из	8	5
78	несмотря на	3	5
79	по существу	4	5
80	целый ряд	1	5
81	что он	1	5
82	мы имеем	4	5
83	что на	4	4
84	для нас	6	4
85	в связи	4	4
86	говорить о	1	4
87	можно сказать	1	4
88	или в	2	4
89	так же	3	4
90	это слово	1	4
91	так и	7	4
92	не было	2	4
93	на то	1	4
94	в нем	2	4
95	что я	1	4
96	в то	1	4
97	на этой	2	4
98	в нашей	1	4
99	к тому	4	4
100	хотя и	2	4
101	не имеет	6	4
102	отнюдь не	2	4
103	сказать что	1	4
104	и о	1	4
105	ни в	1	4
106	кто в	1	4
107	ничего не	3	4
108	в них	6	4
109	в особенности	2	4
110	от того	1	4
111	могут быть	2	4
112	однако не	1	4
113	своего рода	3	4
114	к этому	4	4
115	перед нами	1	4
116	в пределах	1	4
117	как бы	5	4
118	но все	3	4
119	мы знаем	1	4
120	в данном	1	4
121	от слова	1	3
122	можно встретить	1	3
123	не знает	1	3
124	в форме	1	3
125	смысл и	1	3
126	есть в	1	3
127	п в	13	3
128	того же	1	3
129	этом отношении	1	3
130	главным образом	2	3
131	же в	1	3
132	связи с	4	3
133	случаи когда	1	3
134	то и	1	3
135	а только	1	3
136	так в	4	3
137	у него	2	3
138	зрения в	1	3
139	вот почему	1	3
140	в ней	2	3
141	а в	9	3
142	те же	1	3
143	того что	4	3
144	как не	2	3
145	не все	1	3
146	из которых	1	3
147	как в	5	3
148	как мы	10	3
149	и его	1	3
150	в первый	4	3
151	именно с	2	3
152	с этим	2	3
153	этого вопроса	1	3
154	следует еще	1	3
155	к вопросу	2	3
156	для этого	2	3
157	всех этих	2	3
158	тем что	4	3
159	что и	7	3
160	он не	1	3
161	на этом	3	3
162	чем в	2	3
163	а также	3	3
164	слова как	1	3
165	что она	2	3
166	до конца	2	3
167	никак не	1	3
168	точно так	1	3
169	и это	1	3
170	уже в	1	3
171	в виду	1	3
172	и по	8	3
173	но это	4	3
174	но для	1	3
175	что между	1	2
176	нуждается в	1	2
177	в году	2	2
178	но есть	2	2
179	е на	1	2
180	сюда же	1	2
181	должны быть	1	2
182	п а	1	2
183	тех же	1	2
184	за счет	2	2
185	на том	1	2
186	что они	7	2
187	и для	2	2
188	может служить	1	2
189	еще и	1	2
190	как можно	2	2
191	с общей	1	2
192	большинстве случаев	2	2
193	после того	2	2
194	в память	2	2
195	и все	1	2
196	для обозначения	2	2
197	к нему	1	2
198	здесь следует	1	2
199	и вообще	1	2
200	не более	1	2
201	но здесь	1	2
202	дело не	1	2
203	вообще а	1	2
204	но можно	1	2
205	стоит в	2	2
206	о характере	1	2
207	в их	4	2
208	между прочим	2	2
209	ли не	1	2
210	который мы	1	2
211	ответ на	1	2
212	в свою	3	2
213	его к	2	2
214	к слову	2	2
215	оно не	1	2
216	связанные с	3	2
217	с той	1	2
218	здесь мы	1	2
219	составные элементы	1	2
220	что касается	1	2
221	могут рассматриваться	1	2
222	характерное для	1	2
223	следовательно и	1	2
224	быть не	1	2
225	тем же	1	2
226	на самом	2	2
227	в той	1	2
228	данном случае	1	2
229	что для	1	2
230	их не	2	2
231	особенности же	1	2
232	хотелось бы	1	2
233	на все	2	2
234	в отличие	1	2
235	иметь в	1	2
236	в своем	3	2
237	отличие от	1	2
238	что если	1	2
239	можно говорить	2	2
240	только как	1	2
241	что у	2	2
242	не на	2	2
243	о котором	1	2
244	мы должны	2	2
245	мы видели	1	2
246	свою очередь	2	2
247	от этого	1	2
248	вопрос этот	1	2
249	и потому	2	2
250	всякого рода	3	2
251	так называемых	1	2
252	что значит	1	2
253	по поводу	1	2
254	очевидно что	1	2
255	однако и	1	2
256	с ними	5	2
257	не всегда	1	2
258	но даже	2	2
259	при этом	6	2
260	по преимуществу	1	2
261	будто бы	6	2
262	же как	1	2
263	того как	5	2
264	этом случае	5	2
265	но оно	1	2
266	чтобы не	1	2
267	в иных	1	2
268	есть вместе	1	2
269	с тем	8	2
270	доказать что	1	2
271	она не	2	2
272	как у	1	2
273	не просто	2	2
274	не как	1	2
275	в своих	2	2
276	только о	1	2
277	представить себе	1	2
278	в частности	2	2
279	но что	2	2
280	только для	2	2
281	на этот	3	2
282	нам не	1	2
283	и у	5	2
284	и до	2	2
285	а следовательно	1	2
