N	3gram	Berdyaev_O_1	Vvedenie
1	для того чтобы	3	20
2	в том что	1	12
3	о том что	1	12
4	не может быть	2	8
5	в самом деле	1	6
6	в этом отношении	1	4
7	и в этом	2	4
8	по сравнению с	1	4
9	во всяком случае	1	4
10	само по себе	1	4
11	в строгом смысле	1	3
12	с тем что	2	3
13	и в том	1	3
14	и в самом	1	3
15	в другом месте	1	2
16	как будто бы	1	2
17	смысле этого слова	1	2
18	не могут быть	2	2
19	не в том	1	2
20	каждом из них	1	1
21	в эпоху возрождения	1	1
22	потому что в	1	1
23	прежде всего в	1	1
24	одна из сторон	1	1
25	может быть назван	1	1
26	о которой в	1	1
27	в нем все	1	1
28	сам по себе	1	1
29	в том только	1	1
30	но и в	2	1
31	заключает в себе	1	1
32	в том-то и	1	1
33	человека в его	2	1
34	и не в	1	1
35	и то что	1	1
36	люди с их	1	1
37	бы и не	1	1
38	а не только	1	1
39	что в центре	1	1
40	с разных сторон	2	1
41	человеческого духа в	1	1
42	того чтобы сделать	1	1
43	в одном месте	1	1
44	том-то и дело	1	1
45	человеческой природы и	2	1
46	строгом смысле этого	1	1
47	в глубине человеческой	1	1
48	у него в	5	1
49	от того что	1	1
50	глубине человеческой природы	1	1
51	прежде всего он	1	1
52	и никогда не	2	1
53	и прежде всего	1	1
54	и дело что	1	1
55	после того как	1	1
56	в каждом из	1	1
57	привести ни к	1	1
58	человека к человеку	1	1
59	это было у	1	1
60	и вопрос о	1	1
