N	3gram	Propp_Isto_5	VerxiiNi
1	вместе с тем	6	8
2	с одной стороны	7	7
3	с точки зрения	1	6
4	во всяком случае	1	6
5	в том числе	1	5
6	до сих пор	2	5
7	друг с другом	2	5
8	для того чтобы	3	5
9	о том что	4	4
10	том числе и	1	4
11	и вместе с	2	4
12	но все же	4	4
13	главным образом в	1	3
14	точно так же	1	3
15	так же как	3	3
16	в связи с	4	3
17	и таким образом	2	3
18	тем не менее	4	3
19	в том что	2	3
20	и потому что	1	2
21	с этой точки	1	2
22	не только для	1	2
23	то что он	1	2
24	но вместе с	3	2
25	таким образом в	1	2
26	то же время	1	2
27	этой точки зрения	1	2
28	но и для	1	2
29	с самого начала	1	2
30	можно сказать что	1	2
31	на то что	2	2
32	есть как бы	1	2
33	в то же	1	2
34	состоит в том	1	1
35	мы должны прежде	1	1
36	иметь в виду	1	1
37	имеется и в	2	1
38	по отношению к	2	1
39	в самом деле	1	1
40	из которых является	1	1
41	в соответствии с	1	1
42	свидетельствует о том	1	1
43	о том как	2	1
44	с представлением о	2	1
45	вместе с другими	1	1
46	должны прежде всего	1	1
47	представление о превращении	2	1
48	с тем что	1	1
49	что мы знаем	1	1
50	совершенно так же	1	1
51	с этим и	1	1
52	но не всегда	1	1
53	и только тогда	1	1
54	в данном случае	2	1
55	ясно что все	1	1
56	на задний план	1	1
57	в отличие от	1	1
58	потому что в	1	1
59	и в индии	1	1
60	указывает на то	1	1
61	не в том	1	1
62	после смерти и	1	1
63	в индии в	2	1
64	мы уже говорили	1	1
65	еще и потому	1	1
66	мы знаем о	1	1
67	на голове и	1	1
68	с другой стороны	8	1
69	мы видели что	2	1
70	есть ли это	1	1
71	не может быть	3	1
72	но тем не	1	1
73	в то время	1	1
74	в свою очередь	1	1
75	к тем же	1	1
76	после того как	3	1
77	и не потому	1	1
78	мы видим что	4	1
79	и что он	1	1
80	ни на какие	1	1
81	а с точки	1	1
82	может быть в	1	1
83	что и в	2	1
84	только тогда когда	1	1
