N	2gram	Vygotskiy__6	Retstnzi
1	не может	19	4
2	и в	28	3
3	в центре	1	2
4	один из	3	2
5	нет и	1	1
6	лежащие в	1	1
7	и можно	1	1
8	и не	11	1
9	тому что	11	1
10	не только	16	1
11	связи с	3	1
12	точки зрения	13	1
13	на примере	3	1
14	во второй	2	1
15	но и	10	1
16	не менее	2	1
17	в системе	3	1
18	с другими	2	1
19	тех же	1	1
20	речевых форм	1	1
21	не из	2	1
22	в школе	12	1
23	теми или	1	1
24	может и	1	1
25	приведут к	1	1
26	с теми	1	1
27	в то	6	1
28	с точки	10	1
29	от общей	1	1
30	и на	5	1
31	вопрос что	1	1
32	для него	6	1
33	в конкретном	1	1
34	мы видим	7	1
35	может не	1	1
36	влияния на	1	1
37	ситуации и	1	1
38	анализа и	1	1
39	к тому	10	1
40	а не	3	1
41	может быть	13	1
42	в противоположную	1	1
43	при анализе	1	1
44	несмотря на	2	1
45	в его	3	1
46	он в	1	1
47	или иными	1	1
48	то же	7	1
49	и все	5	1
50	из этих	3	1
51	язык как	1	1
52	если бы	7	1
53	в каждом	3	1
54	бы в	3	1
