N	2gram	Tiupa_Vved_1	Analitik
1	не только	20	22
2	тогда как	10	20
3	и в	13	18
4	как и	11	14
5	так и	8	14
6	в этом	21	14
7	и его	5	13
8	но и	19	13
9	том что	7	12
10	в качестве	8	12
11	и не	12	12
12	в частности	13	12
13	при этом	26	11
14	коммуникативного события	5	11
15	то есть	8	10
16	а в	6	10
17	как бы	4	10
18	что в	3	9
19	в тексте	10	9
20	может быть	18	9
21	со стороны	5	9
22	а не	15	9
23	в том	10	9
24	со своей	1	8
25	всего лишь	5	8
26	своего рода	10	8
27	и даже	1	8
28	в первой	1	8
29	по отношению	7	7
30	как раз	2	7
31	в его	4	7
32	с другой	5	7
33	но не	5	7
34	отношению к	7	7
35	и самого	1	6
36	еще не	7	6
37	в этой	1	6
38	он не	3	6
39	в их	1	6
40	не в	6	6
41	к тому	6	6
42	для него	3	6
43	о том	5	6
44	художественного целого	1	6
45	текста в	3	6
46	в начале	3	6
47	того же	1	5
48	той же	1	5
49	мы имеем	5	5
50	как правило	6	5
51	в самом	2	5
52	в случае	2	5
53	лишь в	2	5
54	в слове	3	5
55	однако в	4	5
56	в мире	8	5
57	или иной	3	5
58	в сущности	1	5
59	что и	2	5
60	между тем	1	5
61	уже не	5	5
62	в конце	1	5
63	никогда не	4	5
64	и т.п	9	5
65	в свою	4	5
66	прежде всего	7	5
67	не является	3	5
68	такого рода	16	5
69	в результате	3	5
70	другой стороны	2	5
71	представляет собой	15	5
72	принадлежит к	3	4
73	и на	3	4
74	столь же	1	4
75	текста с	2	4
76	что он	1	4
77	отнюдь не	7	4
78	в своем	5	4
79	и к	2	4
80	таким образом	4	4
81	приводит к	2	4
82	в итоге	3	4
83	состоит в	10	4
84	в заглавии	1	4
85	по себе	2	4
86	тем самым	5	4
87	картина мира	12	4
88	картины мира	5	4
89	в одном	1	4
90	имеем дело	3	4
91	ли не	2	4
92	не менее	4	4
93	свою очередь	4	4
94	в пределах	2	4
95	и сам	1	4
96	внимание на	3	4
97	можно сказать	4	4
98	крайней мере	1	4
99	себя в	1	4
100	во втором	2	4
101	далеко не	4	4
102	по крайней	1	4
103	о чем	2	4
104	в данном	13	4
105	все же	6	4
106	перед нами	6	4
107	героя и	3	4
108	едва ли	3	3
109	который в	2	3
110	мы не	4	3
111	всех без	1	3
112	говорить о	2	3
113	в целом	3	3
114	уже в	1	3
115	здесь не	2	3
116	но как	1	3
117	если в	2	3
118	ответ на	1	3
119	что они	1	3
120	в рамках	4	3
121	как в	4	3
122	что касается	5	3
123	из этих	3	3
124	с их	1	3
125	роль в	1	3
126	тому же	4	3
127	ключ к	1	3
128	нашего времени	2	3
129	подобно тому	2	3
130	без исключения	2	3
131	то же	5	3
132	и того	2	3
133	одного и	1	3
134	точки зрения	1	3
135	не столько	4	3
136	все это	1	3
137	до известной	1	3
138	в то	4	3
139	дело не	1	3
140	же время	3	3
141	следует признать	4	3
142	той или	3	3
143	указывает на	1	3
144	с ее	1	3
145	в ее	1	3
146	данном случае	6	3
147	в произведении	1	3
148	так в	4	3
149	мысль о	1	3
150	восходит к	2	3
151	путь к	1	3
152	было бы	4	3
153	дело с	2	3
154	во всем	1	3
155	являет собой	2	3
156	по воле	2	3
157	этом отношении	4	3
158	в особенности	1	3
159	в финале	2	3
160	еще и	1	3
161	что не	1	3
162	не было	2	3
163	однако и	2	3
164	не всегда	2	3
165	он и	2	3
166	как это	1	3
167	пока еще	4	3
168	известной степени	1	3
169	по поводу	2	3
170	к этому	2	3
171	только к	1	2
172	например в	2	2
173	самом деле	3	2
174	мере в	2	2
175	от своей	1	2
176	в первом	2	2
177	в становлении	1	2
178	на себя	1	2
179	в составе	2	2
180	и он	1	2
181	в ней	4	2
182	во всех	2	2
183	в противовес	3	2
184	конечном счете	1	2
185	отличие от	2	2
186	по сути	2	2
187	как к	1	2
188	кто говорит	1	2
189	могли бы	1	2
190	как уже	1	2
191	но в	6	2
192	в противоположность	1	2
193	бы и	4	2
194	все эти	1	2
195	в ответ	1	2
196	коммуникативной ситуации	3	2
197	в себе	5	2
198	так сказать	2	2
199	на его	1	2
200	что она	1	2
201	в нем	5	2
202	в лирике	1	2
203	о которой	2	2
204	не как	2	2
205	художественного высказывания	2	2
206	и вот	1	2
207	уже говорилось	1	2
208	и по	3	2
209	значительной степени	1	2
210	могла бы	3	2
211	этом он	1	2
212	входит в	1	2
213	это не	6	2
214	в жизни	4	2
215	а вот	1	2
216	в них	2	2
217	о которых	1	2
218	с тем	1	2
219	автору и	1	2
220	несмотря на	1	2
221	иначе говоря	6	2
222	не мог	1	2
223	к первому	1	2
224	высказывания как	3	2
225	или точнее	1	2
226	в принципе	1	2
227	в отличие	2	2
228	от его	1	2
229	тем не	3	2
230	но они	2	2
231	даже в	1	2
232	возникает в	1	2
233	вплоть до	1	2
234	одна из	4	2
235	коммуникативным событием	1	2
236	судя по	2	2
237	как формы	1	2
238	обратим внимание	1	2
239	по своей	3	2
240	персонажа в	2	2
241	сводится к	4	2
242	художественной литературы	1	2
243	могут быть	4	2
244	те же	2	2
245	не с	3	2
246	в новом	1	2
247	осуществляется в	1	2
248	об этом	4	2
249	жизненная позиция	1	2
250	произведения как	1	2
251	и т.д	5	2
252	в значительной	1	2
253	сознания к	1	2
254	в конечном	1	2
255	в форме	1	2
256	этом ряду	2	2
257	очевидным образом	2	2
258	дистанция между	2	2
259	субъекта и	1	2
260	один из	3	2
261	но с	1	2
262	с появлением	2	2
263	только в	6	2
264	тем или	1	2
265	то в	1	2
266	и ее	1	2
267	с одной	5	2
268	все они	2	2
269	действующего лица	1	2
270	всяком случае	1	2
271	есть имя	1	2
272	мы можем	2	2
273	тем что	2	2
274	одной стороны	5	2
275	который не	1	2
276	и прежде	1	2
277	в романе	6	2
278	в соответствии	6	2
279	на эту	1	2
280	что мы	2	2
281	связь с	1	2
282	не может	7	2
283	вместе с	1	2
284	и потому	1	2
285	по своему	2	2
286	в той	4	2
287	истории не	1	2
288	тому как	2	2
289	да и	1	2
290	в контексте	1	2
291	в культуре	1	2
292	ни для	1	2
293	и для	3	2
294	картине мира	4	2
295	и от	2	2
296	мира и	2	2
297	и б	1	2
298	хотя и	7	2
299	и все	4	2
300	не должен	1	2
301	в финальной	2	2
302	второй и	1	2
303	же в	1	2
304	хотя в	1	2
305	не предполагает	1	2
306	то что	6	2
307	нам не	1	2
308	сказать что	1	2
309	себе самому	1	2
310	а также	8	2
311	в искусстве	1	2
312	во всяком	1	2
313	гораздо более	1	2
314	как известно	1	1
315	речь идет	1	1
316	это малое	1	1
317	однако само	1	1
318	у гоголя	1	1
319	таком случае	1	1
320	своего и	2	1
321	отделен от	1	1
322	рассматривать в	1	1
323	которого в	1	1
324	получает в	1	1
325	на самом	4	1
326	дело обстоит	1	1
327	мешок с	1	1
328	в чужой	1	1
329	действия тем	1	1
330	не признает	1	1
331	перед лицом	1	1
332	тем же	1	1
333	в нарративном	2	1
334	от нормы	2	1
335	гегелевское определение	1	1
336	и до	1	1
337	если к	1	1
338	в зависимости	1	1
339	в доме	1	1
340	есть на	1	1
341	она определяется	1	1
342	рода механизмом	1	1
343	событие это	3	1
344	и само	1	1
345	на первом	1	1
346	с текстом	1	1
347	данном контексте	1	1
348	следует вести	1	1
349	сути дела	1	1
350	занимающего нас	1	1
351	высказывания в	1	1
352	начинается с	1	1
353	своей судьбы	1	1
354	никак не	2	1
355	что иное	1	1
356	в полной	1	1
357	на практике	1	1
358	принимает на	1	1
359	мы и	2	1
360	зависимости от	1	1
361	предстает как	1	1
362	наррация предполагает	2	1
363	в таком	1	1
364	и возврат	1	1
365	радикально меняется	1	1
366	принадлежит и	2	1
367	как ему	1	1
368	между собой	2	1
369	он сам	1	1
370	она являет	1	1
371	иное как	1	1
372	на их	1	1
373	позицию адресата	2	1
374	этом и	2	1
375	в сюжете	1	1
376	тут и	1	1
377	как если	1	1
378	судьба выражает	1	1
