N	3gram	Ircho_Kome_2	Formalny
1	с точки зрения	1	14
2	не может быть	1	14
3	в то же	3	7
4	то же время	3	7
5	во всяком случае	2	6
6	и т п	2	5
7	с другой стороны	1	5
8	в самом деле	1	4
9	в связи с	3	4
10	бы то ни	2	4
11	то ни было	2	4
12	в большинстве случаев	1	4
13	для того чтобы	4	4
14	как мы знаем	1	4
15	иначе обстоит дело	1	3
16	по отношению к	3	3
17	вместе с тем	4	3
18	обстоит дело с	1	3
19	в том что	5	3
20	но уже в	1	2
21	в этом смысле	2	2
22	и во всяком	1	2
23	и в то	1	2
24	в отличие от	2	2
25	ни в одной	1	2
26	всяком случае в	1	2
27	так и в	1	2
28	к тому что	2	2
29	тем не менее	1	2
30	как мы видели	1	2
31	в пределах одного	1	2
32	так и не	1	1
33	одних и тех	2	1
34	сводится к тому	1	1
35	и столь же	3	1
36	со своей стороны	1	1
37	в том же	1	1
38	что ни в	1	1
39	в одной из	2	1
40	не пришли бы	1	1
41	но не менее	1	1
42	на первый план	1	1
43	он говорит о	1	1
44	только в связи	1	1
45	пришли бы к	1	1
46	и в литературе	1	1
47	но и здесь	1	1
48	а то и	1	1
49	отношения между ними	1	1
50	только тем что	1	1
51	одна из них	1	1
52	полагать что в	1	1
53	до сих пор	2	1
54	и тех же	2	1
55	так как он	1	1
56	так или иначе	3	1
57	в это время	2	1
58	и в философии	1	1
59	что он был	1	1
60	не только в	1	1
61	с одной стороны	2	1
62	одну за другой	1	1
63	та или другая	1	1
64	что это не	1	1
65	никогда не пришли	1	1
66	мере в какой	1	1
67	о том что	4	1
68	того или иного	1	1
69	в той же	2	1
70	в частности в	2	1
71	но столь же	1	1
72	мы можем сказать	1	1
73	в этом же	2	1
74	можно было бы	2	1
75	того обстоятельства что	1	1
76	с самого начала	1	1
77	и в самом	1	1
78	но никак не	1	1
79	самом деле здесь	1	1
80	той или иной	1	1
81	но все же	1	1
82	а вместе с	1	1
83	его от всех	1	1
84	в том числе	3	1
85	той же мере	1	1
86	и в том	1	1
87	друг с другом	2	1
88	свою роль в	1	1
89	сделать вывод что	1	1
90	можем сказать что	1	1
91	том числе и	1	1
