1	в то же время	4	7
2	и в самом деле	1	2
3	в том числе и	1	2
4	так или иначе в	1	1
5	себя в другом найдя	1	1
6	могу стать самим собою	1	1
7	во взаимоотражении во взаимоприятии	1	1
8	без другого не могу	1	1
9	стать самим собою без	1	1
10	самим собою без другого	1	1
11	состоит в том что	2	1
12	другого в себе во	1	1
13	одних и тех же	1	1
14	другом найдя другого в	1	1
15	я не могу обойтись	1	1
16	в себе во взаимоотражении	1	1
17	в другом найдя другого	1	1
18	не могу обойтись без	1	1
19	не могу стать самим	1	1
20	найдя другого в себе	1	1
21	другого я должен найти	1	1
22	найти себя в другом	1	1
23	должен найти себя в	1	1
24	себе во взаимоотражении во	1	1
25	я должен найти себя	1	1
26	обойтись без другого не	1	1
27	могу обойтись без другого	1	1
28	без другого я должен	1	1
29	собою без другого я	1	1
30	другого не могу стать	1	1
