N	3gram	Vinokur_Ku_1	PoTuStor
1	с точки зрения	9	6
2	на самом деле	2	4
3	в этом смысле	3	3
4	до сих пор	4	3
5	по крайней мере	5	3
6	во всяком случае	5	3
7	не может быть	3	3
8	и пр и	1	3
9	и его ученики	1	3
10	в большинстве случаев	1	3
11	и может быть	1	2
12	по аналогии с	1	2
13	так же как	1	2
14	в самом деле	7	2
15	все то что	1	2
16	о том что	5	2
17	пр и пр	1	2
18	и с его	1	2
19	если бы он	1	1
20	сводится к следующему	1	1
21	и того же	2	1
22	несколько слов о	2	1
23	прежде всего на	1	1
24	мы имеем в	1	1
25	имеем в виду	1	1
26	тесно примыкают к	2	1
27	одного и того	2	1
28	во многих случаях	1	1
29	что можно было	1	1
30	связанная с этим	1	1
31	есть в сущности	1	1
32	между собою в	1	1
33	а может быть	1	1
34	в этом отношении	5	1
35	как наука о	1	1
36	можно было бы	3	1
37	а то и	1	1
38	рано или поздно	2	1
39	с этой точки	1	1
40	вместе с тем	3	1
41	только для того	1	1
42	на своем месте	1	1
43	с одной стороны	1	1
44	этом отношении и	1	1
45	может быть очень	1	1
46	в связи с	3	1
47	в применении к	1	1
48	и пр это	1	1
49	а с другой	3	1
50	но вернемся к	1	1
51	роковую роль в	1	1
52	самом деле в	1	1
53	в свое время	2	1
54	в том что	15	1
55	этой точки зрения	2	1
56	а вместе с	1	1
57	вместе с ним	1	1
58	на наших глазах	1	1
59	так и в	2	1
60	в этих областях	1	1
61	и его школы	1	1
62	что иное как	1	1
63	и таким путем	1	1
64	в том смысле	1	1
65	не что иное	1	1
66	что в них	2	1
67	для того чтобы	15	1
68	мы увидим что	2	1
69	той или иной	1	1
