N	2gram	Medvedev_S_1	KulturaY
1	и в	3	23
2	не только	3	20
3	в том	5	19
4	в этом	5	18
5	и не	1	16
6	было бы	2	15
7	может быть	2	15
8	все эти	1	12
9	том что	2	11
10	в области	1	11
11	по себе	1	10
12	что в	2	10
13	в сущности	1	9
14	хотя бы	1	9
15	то что	2	9
16	вовсе не	1	9
17	не может	1	9
18	не в	3	8
19	и что	2	8
20	прежде всего	1	8
21	с другой	1	8
22	что это	1	7
23	все же	1	7
24	в силу	1	7
25	но и	2	7
26	с помощью	1	7
27	то же	2	6
28	но не	1	6
29	в этой	1	6
30	это не	1	6
31	по крайней	1	6
32	между тем	1	6
33	крайней мере	1	6
34	еще не	2	5
35	должна быть	2	5
36	по существу	2	5
37	что все	1	5
38	в его	3	5
39	один из	1	5
40	что он	1	5
41	только в	2	5
42	всяком случае	1	5
43	все это	7	5
44	таким образом	2	5
45	во всяком	1	5
46	вряд ли	1	4
47	в данном	1	4
48	отнюдь не	1	4
49	перед нами	1	4
50	так и	1	4
51	в то	1	4
52	но только	1	4
53	ничего не	1	4
54	что на	1	4
55	и о	1	4
56	для нас	3	4
57	в конце	2	4
58	в них	1	4
59	не было	1	4
60	в связи	1	4
61	как бы	2	4
62	в результате	2	4
63	этой области	1	4
64	это и	2	3
65	главным образом	2	3
66	ни были	1	3
67	и по	1	3
68	что она	1	3
69	в таких	1	3
70	в процессе	1	3
71	же время	1	3
72	и его	1	3
73	связи с	1	3
74	а в	1	3
75	те же	1	3
76	для этого	1	3
77	никак не	1	3
78	в лучшем	1	3
79	конце концов	2	3
80	у него	1	3
81	тем что	1	3
82	именно в	1	3
83	лучшем случае	1	3
84	и потому	1	2
85	и есть	1	2
86	нам право	1	2
87	тем же	1	2
88	конечном счете	1	2
89	очевидно что	2	2
90	наше время	1	2
91	дает нам	1	2
92	на все	1	2
93	как и	1	2
94	в своей	1	2
95	и более	1	2
96	только для	1	2
97	хотелось бы	1	2
98	это дает	1	2
99	может служить	1	2
100	дело не	2	2
101	образом в	1	2
102	в наше	1	2
103	в конечном	1	2
104	пишет он	1	2
105	с одной	1	2
106	конечно не	1	2
107	никогда не	1	2
108	выходит за	1	2
109	совокупность приемов	1	2
110	еще и	1	2
111	на этот	1	2
112	в частности	2	2
113	ни на	1	2
114	представить себе	1	2
115	как будто	2	2
116	быть не	1	2
117	ли не	1	2
118	мы должны	1	2
119	только как	2	2
120	темы и	1	2
121	в котором	1	1
122	противном случае	1	1
123	мы не	1	1
124	себе чтобы	1	1
125	столь же	1	1
126	время в	1	1
127	не без	1	1
128	сказать и	1	1
129	но как	1	1
130	только тогда	1	1
131	по отношению	2	1
132	какие же	1	1
133	сама по	1	1
134	же по	1	1
135	в противном	1	1
136	кто не	1	1
137	и как	1	1
138	в серьезных	1	1
139	в целом	1	1
140	чуть ли	1	1
141	что автор	1	1
142	но ведь	3	1
143	что без	1	1
144	не значат	1	1
145	в каждом	1	1
146	будто в	1	1
147	далеко не	2	1
148	же это	1	1
149	место в	1	1
150	доказательством этого	1	1
151	том и	1	1
152	даже в	1	1
153	а вот	1	1
154	тому что	1	1
155	такие новые	1	1
156	когда мы	1	1
157	как только	2	1
158	слова но	1	1
159	они ни	1	1
160	только то	1	1
161	это вовсе	1	1
162	по природе	2	1
163	к вопросам	1	1
164	против этого	1	1
165	оставаясь на	1	1
166	тех кто	1	1
167	и самым	1	1
168	о том	1	1
169	настоящее время	1	1
170	в чем	1	1
171	не выходит	1	1
172	два типа	1	1
173	в него	1	1
174	именно на	1	1
175	в виде	1	1
176	или даже	2	1
177	ведь это	2	1
178	наука о	1	1
179	и только	3	1
180	нужно было	2	1
181	новые и	1	1
182	писатель как	1	1
183	одной стороны	1	1
184	и никак	1	1
185	творчество в	1	1
186	между собою	1	1
187	более чем	3	1
188	слишком много	1	1
189	он говорит	1	1
190	в область	1	1
191	она может	2	1
192	это как	1	1
193	в настоящее	1	1
194	бы в	1	1
195	тем более	2	1
196	в этих	1	1
197	или не	1	1
198	между ними	1	1
199	монументальный труд	1	1
200	у которых	1	1
201	будет тем	1	1
202	понимать что	1	1
203	они не	1	1
