N	2gram	Bakhtin_sl_1	TeoriaLi
1	не только	16	18
2	в качестве	3	17
3	и не	16	16
4	а в	6	14
5	и в	41	13
6	в частности	2	13
7	то есть	26	12
8	так и	11	12
9	может быть	14	12
10	в этом	12	11
11	при этом	6	11
12	в том	3	11
13	но не	2	10
14	и его	14	10
15	а не	15	10
16	то же	14	9
17	в его	13	9
18	такого рода	2	8
19	сводится к	1	8
20	в душе	1	8
21	но и	16	8
22	отличие от	1	7
23	в себе	3	7
24	том что	2	7
25	точки зрения	16	7
26	в отличие	1	7
27	в то	14	7
28	по своей	1	7
29	только в	6	7
30	себя в	9	7
31	в данном	3	7
32	еще не	4	6
33	с его	4	6
34	но в	8	6
35	лишь в	4	6
36	место в	1	6
37	же время	12	6
38	как бы	12	6
39	мы имеем	1	5
40	данном случае	3	5
41	в своем	3	5
42	в самом	5	5
43	он не	3	5
44	того или	2	5
45	как и	4	5
46	не в	7	5
47	однако в	1	5
48	в нем	30	5
49	в ее	2	5
50	в пределах	14	5
51	или иной	9	5
52	а также	2	5
53	между тем	2	5
54	и одновременно	2	5
55	уже не	2	5
56	с другой	5	5
57	как в	8	5
58	или иного	2	5
59	между ними	2	5
60	героя и	1	5
61	по преимуществу	4	4
62	высказывания в	1	4
63	отношение к	7	4
64	хотя и	2	4
65	не предполагает	2	4
66	ни в	1	4
67	в слове	7	4
68	в своей	7	4
69	в их	4	4
70	или менее	3	4
71	не столько	1	4
72	не менее	1	4
73	эстетический объект	1	4
74	приводит к	1	4
75	можно сказать	2	4
76	в форме	1	4
77	и ее	3	4
78	за пределами	2	4
79	но он	2	4
80	личности и	1	4
81	в свою	3	4
82	на смену	1	4
83	не знает	1	4
84	сказать что	2	4
85	не может	14	4
86	более или	3	4
87	и то	2	3
88	например в	2	3
89	художественного произведения	1	3
90	а только	1	3
91	в сторону	1	3
92	не все	1	3
93	перед нами	4	3
94	и к	5	3
95	все эти	9	3
96	в этой	1	3
97	он должен	1	3
98	и по	2	3
99	в лирике	1	3
100	его в	3	3
101	и сам	3	3
102	в этих	2	3
103	тем не	1	3
104	в отношении	6	3
105	никогда не	3	3
106	как раз	2	3
107	потому что	2	3
108	той или	9	3
109	свою очередь	2	3
110	другой стороны	4	3
111	так в	2	3
112	в другом	2	3
113	и что	1	3
114	входит в	4	3
115	того что	3	3
116	а с	2	3
117	для него	3	3
118	слова в	8	3
119	с ее	4	3
120	на почве	4	3
121	именно в	3	3
122	и др	14	3
123	прежде всего	8	3
124	и потому	4	3
125	по своему	2	3
126	этого слова	1	3
127	в эстетический	1	3
128	мира в	1	3
129	таким образом	9	3
130	или в	8	3
131	в основе	5	3
132	отношении к	6	3
133	речи и	1	3
134	того же	6	2
135	и это	1	2
136	тех или	1	2
137	но она	1	2
138	в целом	2	2
139	его внешней	1	2
140	в сочетании	2	2
141	между собой	2	2
142	возможность иного	1	2
143	могло быть	1	2
144	но как	1	2
145	у него	3	2
146	свою жизнь	1	2
147	за пределы	4	2
148	что они	2	2
149	данный момент	4	2
150	как к	2	2
151	в противном	1	2
152	в которой	4	2
153	так или	1	2
154	высказывания не	2	2
155	с языком	2	2
156	противном случае	1	2
157	к одному	1	2
158	или иных	1	2
159	без исключения	1	2
160	одно и	2	2
161	могла бы	1	2
162	это не	6	2
163	и иных	2	2
164	и тем	2	2
165	вовсе не	7	2
166	и того	1	2
167	и некоторые	1	2
168	высказывания как	1	2
169	с точки	8	2
170	высказывания и	2	2
171	зрения и	2	2
172	даже в	2	2
173	автора и	4	2
174	дело не	2	2
175	не могло	3	2
176	только не	1	2
177	мышления и	1	2
178	слова как	6	2
179	и для	4	2
180	вокруг него	2	2
181	в стилистическом	1	2
182	и о	2	2
183	здесь не	2	2
184	в себя	1	2
185	роль в	2	2
186	что может	1	2
187	не с	2	2
188	если бы	1	2
189	в виду	1	2
190	и здесь	3	2
191	о том	3	2
192	к действительности	1	2
193	это было	1	2
194	к нему	5	2
195	во всех	17	2
196	или иначе	1	2
197	однако с	1	2
198	во втором	1	2
199	в литературе	1	2
200	композиционная форма	2	2
201	текст в	1	2
202	сложности и	1	2
203	с одной	4	2
204	в большинстве	10	2
205	а напротив	1	2
206	слова не	1	2
207	его текст	1	2
208	в прозе	1	2
209	в диалоге	1	2
210	автора как	1	2
211	и даже	6	2
212	со стороны	1	2
213	между которыми	1	2
214	себя и	1	2
215	одной стороны	4	2
216	а на	2	2
217	не на	5	2
218	о чем	1	2
219	внутренний голос	1	2
220	на фоне	7	2
221	о себе	1	2
222	вместе с	1	2
223	так же	2	2
224	жизни но	2	2
225	в той	10	2
