N	2gram	Voloshinov_1	Tragedij
1	и в	19	18
2	в романе	2	10
3	в этом	16	9
4	не только	8	8
5	он сам	1	7
6	и с	2	7
7	и на	4	7
8	может быть	26	7
9	как бы	15	7
10	и не	26	7
11	но в	7	6
12	и его	19	6
13	в образе	1	6
14	же время	3	6
15	что он	2	6
16	то же	7	5
17	все же	8	5
18	что это	1	5
19	это не	1	5
20	как и	12	5
21	в то	3	5
22	в дальнейшем	3	5
23	так и	11	5
24	не может	24	5
25	к жизни	1	5
26	еще не	4	4
27	в себе	2	4
28	в целом	1	4
29	в этой	1	4
30	в нем	10	4
31	том что	3	4
32	что я	1	4
33	и что	1	4
34	но и	8	4
35	и даже	2	4
36	прежде всего	13	4
37	так же	7	4
38	все это	3	4
39	что в	4	4
40	и все	5	4
41	то что	8	4
42	и он	2	3
43	отнюдь не	6	3
44	как в	4	3
45	в своем	2	3
46	и как	3	3
47	все эти	7	3
48	при этом	8	3
49	должно быть	2	3
50	тем самым	1	3
51	о чем	1	3
52	с ее	2	3
53	мог бы	2	3
54	на страницах	1	3
55	к нему	1	3
56	в его	6	3
57	уже в	1	3
58	для него	9	3
59	в конце	5	3
60	как это	1	3
61	в основном	6	3
62	в первом	3	2
63	и до	1	2
64	она все	1	2
65	а как	3	2
66	никогда не	2	2
67	и то	1	2
68	и личность	1	2
69	но этого	1	2
70	столь же	1	2
71	с его	1	2
72	ее к	1	2
73	отношение к	1	2
74	отличие от	5	2
75	не просто	2	2
76	так что	1	2
77	как говорит	1	2
78	это был	1	2
79	в самом	10	2
80	бы и	2	2
81	он не	3	2
82	но все	3	2
83	что все	2	2
84	его в	3	2
85	ни в	2	2
86	нет в	1	2
87	с тем	1	2
88	в отличие	5	2
89	вопрос о	4	2
90	не в	5	2
91	этими двумя	2	2
92	одна из	2	2
93	не имеет	3	2
94	в русском	1	2
95	не могут	3	2
96	его за	1	2
97	к тому	2	2
98	и это	3	2
99	но при	2	2
100	в ее	7	2
101	еще в	1	2
102	ничего не	6	2
103	и здесь	6	2
104	о том	2	2
105	что и	2	2
106	в том	6	2
107	между этими	2	2
108	и ее	3	2
109	уже не	1	2
110	в одном	1	2
111	друг друга	8	2
112	тем что	2	2
113	как же	4	2
114	до конца	5	2
115	под влиянием	1	2
116	в данном	4	2
117	в силах	1	2
118	потому что	1	2
119	состоит из	1	2
120	в частности	2	2
121	в таком	2	2
122	а между	1	1
123	ту же	2	1
