N	4gram	Voloshinov_1	SlovoVZh
1	сколько бы мы ни	1	3
2	одно и то же	3	2
3	мы никогда не сможем	1	2
4	из общей для них	1	1
5	в плоть и кровь	1	1
6	но в то же	2	1
7	второе и третье лицо	1	1
8	одна и та же	1	1
9	и та же социальная	1	1
10	и не может быть	1	1
11	в то же время	7	1
12	в зависимости от того	2	1
13	в ней как бы	1	1
14	ничего не поймем в	1	1
15	из двух частей из	1	1
16	социальной группы к которой	1	1
17	внутренней и внешней речи	1	1
18	той социальной группы к	1	1
19	одному и тому же	1	1
20	не может быть понято	1	1
