N	3gram	Vinokur_Vv_1	UchenyiS
1	не может быть	8	4
2	в то же	5	3
3	бы то ни	1	3
4	то же время	5	3
5	с другой стороны	5	3
6	то ни было	1	3
7	в этом смысле	10	2
8	и то что	2	2
9	в этом отношении	3	2
10	не могут быть	2	2
11	в самом деле	5	2
12	в конце концов	2	2
13	тех или иных	3	2
14	до сих пор	5	2
15	хотя бы и	2	2
16	в том что	12	2
17	то же самое	2	2
18	смысле этого термина	1	2
19	по крайней мере	4	2
20	а между тем	1	2
21	так или иначе	4	1
22	в значительной мере	1	1
23	что этот процесс	1	1
24	может быть в	2	1
25	с одной стороны	4	1
26	в течение многих	2	1
27	и истории литературы	1	1
28	большей или меньшей	2	1
29	в широком смысле	7	1
30	не только в	4	1
31	что мы можем	1	1
32	мы имеем в	1	1
33	только в этом	1	1
34	и в конце	1	1
35	по меньшей мере	2	1
36	а для второго	1	1
37	но в то	3	1
38	и т.д в	1	1
39	вот почему в	1	1
40	в точном смысле	1	1
41	одним из самых	1	1
42	можно сказать что	3	1
43	в своей работе	1	1
44	мы можем его	1	1
45	это то же	1	1
46	самом деле есть	1	1
47	может быть оправдано	1	1
48	имеем в виду	1	1
49	но для первого	1	1
50	а не только	1	1
51	не в том	2	1
52	это не только	2	1
53	само по себе	3	1
54	и прежде всего	1	1
55	что по его	1	1
56	как на элемент	1	1
57	в этом случае	6	1
58	что в своей	1	1
59	чем то что	1	1
60	то о чем	1	1
61	с тем что	3	1
62	в данном случае	4	1
63	находит себе применение	1	1
64	в большей или	1	1
65	же самое что	2	1
66	но что такое	1	1
67	сам по себе	1	1
68	на одно из	1	1
69	или меньшей степени	1	1
