N	2gram	Tiupa_Hudo_1	Stilisti
1	и в	14	42
2	не только	12	27
3	как бы	7	27
4	и т.п	1	24
5	прежде всего	11	22
6	и т.д	1	20
7	хотя бы	1	17
8	то же	9	15
9	но и	5	15
10	и не	2	14
11	не может	7	12
12	может быть	5	12
13	мы уже	4	11
14	как и	9	11
15	точки зрения	5	11
16	отнюдь не	3	10
17	в этом	11	10
18	и как	1	10
19	как мы	3	10
20	мы должны	1	10
21	что мы	1	10
22	мы не	2	9
23	при этом	12	9
24	в то	8	9
25	ваше превосходительство	1	9
26	то что	8	9
27	в ней	4	8
28	все же	3	8
29	в себе	11	8
30	тем самым	1	8
31	и это	4	8
32	с тем	1	8
33	эти слова	2	8
34	что же	2	8
35	и на	3	7
36	в которой	1	7
37	было бы	6	7
38	и тем	1	7
39	так как	1	7
40	никогда не	6	7
41	же время	8	7
42	потому что	5	7
43	того чтобы	3	7
44	ничего не	8	7
45	с его	5	7
46	слов и	1	7
47	только в	5	7
48	и его	5	7
49	а не	12	7
50	и от	4	7
51	во всех	1	6
52	точку зрения	1	6
53	в этой	8	6
54	но ведь	1	6
55	на его	2	6
56	в нем	3	6
57	не в	7	6
58	или как	1	6
59	когда мы	1	6
60	так и	13	6
61	ситуацией и	1	6
62	в форме	2	6
63	и так	2	6
64	в конце	4	6
65	в свою	1	6
66	той же	2	5
67	уже в	1	5
68	и с	4	5
69	того или	2	5
70	с точки	3	5
71	тому что	4	5
72	а в	7	5
73	же самое	1	5
74	в его	8	5
75	слова в	2	5
76	как это	1	5
77	своей жизни	2	5
78	у которого	1	5
79	или иного	2	5
80	и то	1	4
81	самом деле	5	4
82	или иную	2	4
83	слово не	2	4
84	себя в	4	4
85	что именно	1	4
86	и к	4	4
87	но в	5	4
88	в самом	4	4
89	так сказать	2	4
90	уже не	7	4
91	можно было	5	4
92	его в	3	4
93	ту или	2	4
94	и без	1	4
95	самого начала	1	4
96	на него	2	4
97	но все	1	4
98	всего в	1	4
99	к тому	7	4
100	на это	1	4
101	свою очередь	1	4
102	с самого	1	4
103	если бы	3	4
104	о том	12	4
105	влияние на	2	4
106	можно сказать	4	4
107	во внутренней	1	4
108	того что	4	4
109	один из	4	4
110	в качестве	9	4
111	о своей	2	4
112	а с	2	4
113	в слове	1	4
114	к своему	2	4
115	все это	2	4
116	не знаем	2	4
117	бы в	1	4
118	зрения в	1	4
119	человека не	2	4
120	того времени	1	4
121	долгое время	1	3
122	на самом	2	3
123	общества и	1	3
124	еще не	7	3
125	сознания не	1	3
126	ответ на	1	3
127	нет и	1	3
128	перед нами	5	3
129	хотя и	2	3
130	с генералом	1	3
131	та же	4	3
132	и вот	1	3
133	их в	1	3
134	заключает в	2	3
135	об этом	5	3
136	лишь в	3	3
137	это не	7	3
138	может стать	1	3
139	этом мы	1	3
140	не мог	1	3
141	том что	16	3
142	и тому	1	3
143	и внешней	1	3
144	слова как	2	3
145	связи с	4	3
146	внутренней жизни	2	3
147	да и	2	3
148	что оно	1	3
149	в виду	1	3
150	но при	1	3
151	в ее	3	3
152	роль в	1	3
153	что у	3	3
154	во второй	5	3
155	и поэтому	2	3
156	жизни и	5	3
157	только на	2	3
158	в данной	2	3
159	из них	4	3
160	его и	1	3
161	представить себе	1	3
162	в одном	1	3
163	и даже	3	3
164	и эта	1	3
165	конце концов	1	3
166	и уже	1	3
167	ни на	1	3
168	в целом	2	3
169	как таковой	1	3
170	в начале	2	3
171	и слово	1	3
172	но для	1	3
173	и для	3	3
174	для нас	1	3
175	и все	4	3
176	главным образом	1	3
177	но вот	1	3
178	о своем	1	3
179	не знает	2	3
180	сказать что	1	3
181	я и	2	2
182	также и	1	2
183	человека и	1	2
184	и этот	1	2
185	его не	1	2
186	к нашей	1	2
187	и конечно	1	2
188	вопрос о	2	2
189	ответить на	1	2
190	высказывания в	1	2
191	как обычно	1	2
192	и он	5	2
193	не нужно	2	2
194	установки на	1	2
195	но не	3	2
196	смог бы	1	2
197	только потому	2	2
198	отношение к	1	2
199	себе и	2	2
200	первый взгляд	1	2
201	как в	8	2
202	переживания и	1	2
203	как уже	1	2
204	выражение лица	1	2
205	к чему	1	2
206	все эти	3	2
207	бы не	1	2
208	друг другу	1	2
209	высказывания его	1	2
210	художественного высказывания	1	2
211	по своему	3	2
212	же самая	1	2
213	на наш	2	2
214	человек с	1	2
215	под воздействием	2	2
216	человека в	6	2
217	значительной степени	2	2
218	ясно что	2	2
219	с этим	3	2
220	в жизни	1	2
221	но мы	1	2
222	нашего исследования	1	2
223	в этих	5	2
224	в своей	10	2
225	в отношении	1	2
226	место в	1	2
227	в которых	1	2
228	в мире	3	2
229	однако в	2	2
230	не должно	1	2
231	к генералу	1	2
232	в основе	1	2
233	о них	1	2
234	каждый из	1	2
235	переживаний и	1	2
236	не останется	1	2
237	был и	1	2
238	этом отношении	3	2
239	перед ним	1	2
240	в движении	1	2
241	литературного творчества	2	2
242	из всего	1	2
243	у себя	2	2
244	здесь не	2	2
245	в пределах	3	2
246	в дальнейшем	1	2
247	и когда	3	2
248	из двух	1	2
249	времени и	1	2
250	достаточно было	1	2
251	быть может	7	2
252	с ним	4	2
253	переживания или	1	2
254	по своей	4	2
255	впоследствии и	1	2
256	в значительной	2	2
257	находит свое	1	2
258	в него	2	2
259	как например	1	2
260	в том	12	2
261	тот же	1	2
262	одной из	2	2
263	что он	9	2
264	в какой	1	2
265	человека с	1	2
266	да еще	1	2
267	или даже	1	2
268	не будут	1	2
269	для него	10	2
270	для них	1	2
271	заметить что	2	2
272	тем что	3	2
273	говорить и	1	2
274	еще и	1	2
275	связано с	1	2
276	не было	4	2
277	до конца	2	2
278	общение не	1	2
279	в связи	3	2
280	нет ничего	2	2
281	и потому	2	2
282	в предыдущей	3	2
283	из которых	1	2
284	которые являются	1	2
285	в первой	6	2
286	другого человека	1	2
287	должно быть	2	2
