N	3gram	Savitsky_P_1	Literetu
1	то же время	7	7
2	в то же	7	7
3	в отличие от	1	5
4	с одной стороны	3	4
5	в том что	4	4
6	в том числе	2	3
7	с точки зрения	3	3
8	не может быть	1	3
9	одной стороны и	2	2
10	но и в	2	2
11	том числе и	1	2
12	и в частности	1	2
13	не только в	4	2
14	но в отличие	1	2
15	с другой стороны	1	2
16	и тем самым	1	2
17	место в ряду	1	1
18	и не только	2	1
19	хотя бы и	1	1
20	же время в	1	1
21	вместе с тем	1	1
22	и то что	1	1
23	xix века как	1	1
24	в xix веке	1	1
25	для того чтобы	1	1
26	более или менее	1	1
27	мира а не	1	1
28	десятилетия хх века	1	1
29	в отношении к	5	1
30	из тех кто	1	1
31	на наш взгляд	1	1
