N	2gram	Losev_Dial_1	VelikijI
1	и не	30	20
2	и в	18	16
3	так как	11	9
4	то что	13	9
5	еще не	2	8
6	к богу	3	8
7	от бога	3	8
8	что они	3	7
9	на земле	2	7
10	а не	14	7
11	и потому	3	7
12	не есть	40	6
13	на себя	1	5
14	но и	7	5
15	того что	2	5
16	хотя и	4	5
17	в мире	2	5
18	все это	11	5
19	как бы	11	5
20	и есть	16	4
21	в образе	1	4
22	говорить о	5	4
23	во мне	1	4
24	добра и	1	4
25	в его	3	4
26	и я	1	4
27	мы хотим	1	4
28	в этом	12	4
29	что он	11	4
30	потому что	14	4
31	в нем	16	4
32	так и	9	4
33	что все	1	4
34	что не	7	4
35	как и	2	4
36	что мы	1	4
37	в котором	4	4
38	в ней	3	4
39	и все	3	4
40	все что	1	4
41	в абсолютном	1	3
42	от этого	3	3
43	и что	12	3
44	должна быть	3	3
45	нас и	1	3
46	хотя бы	6	3
47	то это	4	3
48	как не	2	3
49	в чем	6	3
50	во всех	1	3
51	что и	3	3
52	в том	9	3
53	но в	6	3
54	бы и	2	3
55	все эти	2	3
56	и они	1	3
57	в конце	4	3
58	в своей	2	3
59	и мы	5	3
60	в жизни	1	3
61	не нужна	1	3
62	ни в	15	3
63	в них	3	3
64	не было	6	3
65	не верит	1	3
66	отвращение к	1	3
67	должно быть	3	3
68	если не	1	3
69	в этих	5	3
70	что я	3	3
71	не в	6	3
72	к чему	1	3
73	тому что	3	3
74	но это	8	3
75	не имеет	15	3
76	никогда не	9	3
77	превращается в	1	3
78	и для	2	3
79	к тому	4	3
80	жизни и	3	3
81	что в	13	3
82	оно не	1	3
83	а между	1	2
84	и это	2	2
85	нем нет	3	2
86	того чтобы	1	2
87	и то	9	2
88	лишь из	1	2
89	но мы	1	2
90	во главе	1	2
91	это мы	4	2
92	верит в	1	2
93	и сам	1	2
94	и т	21	2
95	можно было	5	2
96	небытия и	1	2
97	его не	6	2
98	бога как	1	2
99	мы не	1	2
100	в последнем	1	2
101	с ним	6	2
102	под этим	1	2
103	между тем	1	2
104	нет и	1	2
105	вслед за	2	2
106	от этих	1	2
107	не с	5	2
108	на нас	1	2
109	его к	1	2
110	только в	3	2
111	конечно не	3	2
112	уже не	2	2
113	не только	13	2
114	раз навсегда	1	2
115	не так	1	2
116	для него	2	2
117	земли и	1	2
118	не к	1	2
119	не могли	1	2
120	и вечно	1	2
121	вот почему	1	2
122	на том	1	2
