N	2gram	Losev_Vlad_2	Marksizm
1	точки зрения	7	34
2	может быть	7	26
3	и не	18	26
4	не может	9	24
5	с точки	3	20
6	и в	30	19
7	и его	6	19
8	таким образом	3	17
9	в этом	20	16
10	как бы	5	15
11	как мы	11	13
12	прежде всего	6	13
13	как и	5	12
14	если мы	1	11
15	так и	5	11
16	связи с	8	11
17	и для	3	11
18	самом деле	1	10
19	в нем	4	10
20	в самом	2	10
21	лишь в	1	9
22	только в	6	9
23	для него	9	9
24	в результате	5	9
25	бы то	1	8
26	все же	9	8
27	не только	12	8
28	при этом	5	8
29	то ни	1	8
30	друг друга	2	8
31	до сих	1	8
32	но и	8	8
33	сих пор	1	8
34	то что	20	8
35	во всех	3	7
36	точка зрения	1	7
37	но в	8	7
38	все эти	5	7
39	то же	4	7
40	бытия в	2	7
41	а не	7	7
42	в связи	8	7
43	так же	4	7
44	кроме того	9	6
45	так сказать	1	6
46	мы не	2	6
47	и того	1	6
48	ничего не	2	6
49	и здесь	1	6
50	настоящее время	2	6
51	в его	11	6
52	в том	18	6
53	в основном	5	6
54	в смысле	1	6
55	в настоящее	2	6
56	того же	5	6
57	отличие от	3	5
58	конечно не	4	5
59	по преимуществу	1	5
60	рядом с	1	5
61	в отличие	3	5
62	не в	9	5
63	того чтобы	2	5
64	ничего общего	1	5
65	те же	3	5
66	и все	7	5
67	этот вопрос	1	5
68	ясно что	1	5
69	в начале	4	5
70	в конце	13	5
71	вовсе не	4	5
72	именно в	4	5
73	до конца	7	5
74	мы знаем	4	5
75	и потому	2	5
76	хотя бы	3	5
77	к этому	6	5
78	во всяком	6	5
79	оно может	1	4
80	и на	4	4
81	нет и	1	4
82	чем же	1	4
83	как в	3	4
84	так называемая	1	4
85	не будем	1	4
86	выражение в	1	4
87	к одному	1	4
88	здесь мы	3	4
89	не будет	1	4
90	было бы	9	4
91	не столько	3	4
92	мысли и	2	4
93	не менее	7	4
94	по себе	5	4
95	в отношении	3	4
96	самого начала	1	4
97	в ней	4	4
98	с самого	1	4
99	еще не	1	4
100	только на	1	4
101	от того	1	4
102	для того	2	4
103	далеко не	1	4
104	с этим	5	4
105	в данном	3	4
106	что же	8	4
107	тот же	5	4
108	а в	11	4
109	отношении к	1	4
110	жизни в	2	4
111	между ними	1	4
112	сказать что	11	4
113	что в	12	4
114	и есть	2	3
115	между двумя	1	3
116	высшей степени	1	3
117	действительности и	1	3
118	а как	1	3
119	в сущности	2	3
120	общего с	1	3
121	целый ряд	1	3
122	и как	3	3
123	и к	6	3
124	в которой	4	3
125	но все	2	3
126	его в	4	3
127	он не	4	3
128	в высшей	1	3
129	том что	12	3
130	в своей	5	3
131	и ее	1	3
132	в котором	5	3
133	место в	1	3
134	речи в	1	3
135	в то	9	3
136	к этим	2	3
137	не имеет	2	3
138	же время	3	3
139	следует что	1	3
140	этом отношении	1	3
141	в области	3	3
142	не могут	1	3
143	должны быть	1	3
144	не есть	4	3
145	и это	3	3
146	только при	1	3
147	в дальнейшем	5	3
148	и ту	2	3
149	– то	1	3
150	сводится к	1	3
151	можно сказать	4	3
152	здесь в	2	3
153	конце концов	3	3
154	того что	5	3
155	быть и	1	3
156	в какой	1	3
157	из них	1	3
158	в целях	1	3
159	в каком	1	3
160	не было	10	3
161	на этот	4	3
162	в бытии	2	3
163	все это	5	3
164	xix века	1	3
165	этом случае	1	3
166	и от	2	3
167	нет ничего	3	3
168	и при	2	3
169	мы должны	4	3
170	одним из	1	2
171	этому нужно	1	2
172	мы уже	2	2
173	той же	4	2
174	и он	4	2
175	свою очередь	2	2
176	первый план	2	2
177	быть в	3	2
178	в чем	2	2
179	может осуществиться	1	2
180	и всего	2	2
181	не все	1	2
182	себе и	2	2
183	не просто	1	2
184	себе отчет	1	2
185	конечно совершенно	1	2
186	что во	1	2
187	как к	2	2
188	в своем	8	2
189	его к	1	2
190	в действительности	1	2
191	то в	5	2
192	друга в	1	2
193	бы и	1	2
194	в нашем	1	2
195	из этих	3	2
196	в себе	6	2
197	как он	2	2
198	если он	1	2
199	тем не	6	2
200	он ни	1	2
201	можно было	2	2
202	от нее	1	2
203	в работе	2	2
204	что все	1	2
205	никто из	1	2
206	и с	14	2
207	до тех	1	2
208	глубокий и	1	2
209	в данной	1	2
210	этом смысле	1	2
211	ведь в	1	2
212	ни в	7	2
213	для них	1	2
214	в общей	1	2
215	от него	1	2
216	уже у	1	2
217	должно быть	3	2
218	лучше всего	1	2
219	на первый	2	2
220	это делает	1	2
221	времени не	1	2
222	и относительно	1	2
223	в русской	1	2
224	что такое	1	2
225	и сама	1	2
226	не могло	1	2
227	следовательно и	1	2
228	и является	1	2
229	в сознании	1	2
230	у нас	6	2
231	ни о	1	2
232	во все	1	2
233	к тому	2	2
234	она не	2	2
235	в виду	2	2
236	и та	1	2
237	другими словами	5	2
238	имеет значение	1	2
239	язык и	1	2
240	нет никакой	1	2
241	как с	1	2
242	никогда не	7	2
243	то как	1	2
244	если бы	1	2
245	и вообще	10	2
246	и даже	10	2
247	пор пока	1	2
248	о том	4	2
249	и во	2	2
250	во втором	1	2
251	отчет в	2	2
252	что и	3	2
253	ни к	1	2
254	в литературе	1	2
255	в двух	2	2
256	что он	13	2
257	в качестве	1	2
258	это является	1	2
