N	2gram	Losev_Vlad_3	KFilosof
1	может быть	8	43
2	в его	14	39
3	в нем	3	31
4	не может	14	27
5	и не	25	26
6	и в	40	22
7	в себе	9	21
8	в котором	4	21
9	не есть	10	19
10	и его	10	17
11	в ее	1	17
12	а не	8	17
13	только в	13	16
14	в этом	16	13
15	точки зрения	13	13
16	и это	6	12
17	но не	4	12
18	ни в	10	12
19	для него	8	12
20	все эти	5	11
21	в своей	9	11
22	не в	3	11
23	к нему	3	11
24	во всех	1	10
25	в своем	8	10
26	это не	3	10
27	с точки	6	10
28	все это	1	10
29	и есть	1	9
30	в их	2	9
31	в целом	2	9
32	для нее	1	9
33	бытия и	2	9
34	но и	18	9
35	как бы	3	9
36	и для	3	9
37	и все	4	9
38	лишь в	1	8
39	было бы	4	8
40	если бы	3	8
41	со стороны	2	8
42	не было	5	8
43	жизни и	1	8
44	то что	28	7
45	во всем	6	7
46	в себя	1	7
47	и здесь	6	7
48	что и	7	7
49	конечно не	1	7
50	вовсе не	13	7
51	я не	3	6
52	отнюдь не	5	6
53	он не	8	6
54	смысл и	1	6
55	в мире	2	6
56	и только	3	6
57	совершенно не	2	6
58	уже не	9	6
59	и их	1	6
60	но это	6	6
61	в смысле	6	6
62	в действительном	1	6
63	в том	18	6
64	мы имеем	3	5
65	но как	2	5
66	все же	4	5
67	но в	4	5
68	не только	25	5
69	то же	4	5
70	но все	3	5
71	его в	2	5
72	как и	7	5
73	должно быть	5	5
74	но эта	1	5
75	не имеет	4	5
76	никогда не	11	5
77	бытия как	1	5
78	для себя	5	5
79	именно в	3	5
80	в контексте	1	5
81	в основе	1	5
82	хотя бы	6	5
83	ко всему	1	5
84	быть в	2	4
85	в чем	3	4
86	мира но	1	4
87	при этом	3	4
88	не как	2	4
89	место в	1	4
90	тем самым	2	4
91	в каком	4	4
92	мира и	1	4
93	во всей	1	4
94	могло бы	2	4
95	нисколько не	3	4
96	ни было	1	4
97	в одном	5	4
98	бытия но	1	4
99	бытие не	1	4
100	том что	18	4
101	для нас	5	4
102	а в	7	4
103	только как	1	4
104	что в	17	4
105	в своих	7	4
106	самом деле	1	3
107	на самом	3	3
108	единстве и	1	3
109	из его	1	3
110	должна быть	2	3
111	и этот	2	3
112	мы не	2	3
113	что это	9	3
114	это единство	1	3
115	в ней	5	3
116	еще не	4	3
117	и на	6	3
118	а следовательно	1	3
119	себе и	2	3
120	нет и	1	3
121	независимо от	3	3
122	ясно и	1	3
123	к чему	1	3
124	бы и	4	3
125	бы не	1	3
126	теории и	1	3
127	для того	2	3
128	в корне	1	3
129	всех своих	2	3
130	в другом	2	3
131	этом смысле	3	3
132	рядом с	1	3
133	нигде не	1	3
134	бытие в	1	3
135	что этот	3	3
136	не менее	9	3
137	ничего не	5	3
138	здесь не	3	3
139	ясно что	1	3
140	здесь нет	2	3
141	в виду	3	3
142	лишь при	1	3
143	о том	11	3
144	и весь	1	3
145	того что	7	3
146	быть и	2	3
147	котором и	1	3
148	и тем	3	3
149	не дает	1	3
150	был бы	3	3
151	тем что	5	3
152	от того	4	3
153	до конца	4	3
154	ближе к	1	3
155	по своему	1	3
156	поскольку он	4	3
157	котором он	1	3
158	и ни	2	3
159	только с	2	3
160	не быть	1	3
161	но можно	2	3
162	в свою	1	3
163	в то	7	3
