N	3gram	Propp_Russ_1	slovoVRo
1	и т п	1	33
2	в отличие от	1	12
3	в этом случае	5	6
4	в большинстве случаев	2	5
5	по отношению к	1	4
6	но все же	2	4
7	в том что	15	4
8	с точки зрения	3	3
9	в этом отношении	1	3
10	в собственном смысле	1	3
11	и связанные с	2	2
12	в свою очередь	2	2
13	и наконец в	1	2
14	у него нет	1	2
15	может быть и	2	2
16	не только в	1	2
17	во всяком случае	1	2
18	в связи с	4	2
19	как мы уже	1	2
20	и т д	9	2
21	в этой роли	1	1
22	а следовательно и	1	1
23	хотя и не	1	1
24	время от времени	1	1
25	иметь в виду	1	1
26	том что в	6	1
27	в этих случаях	1	1
28	для наших целей	2	1
29	дело не только	1	1
30	из самых распространенных	1	1
31	и не только	1	1
32	говорит о том	1	1
33	быту и в	1	1
34	связанные с этим	1	1
35	и в дальнейшем	1	1
36	на то что	1	1
37	не исключена возможность	1	1
38	и могут быть	1	1
39	и этого мало	1	1
40	в один из	1	1
41	как поэтический образ	1	1
42	независимо от него	1	1
43	не до конца	1	1
44	всяком случае не	1	1
45	не только как	1	1
46	это не значит	2	1
47	отнести за счет	1	1
48	в целом ряде	1	1
49	тем не менее	3	1
50	о том что	4	1
51	во всех этих	1	1
52	друг к другу	2	1
53	мы не можем	3	1
54	только одна из	1	1
55	как и в	1	1
56	в нашем быту	1	1
57	носят ли они	1	1
58	в русском языке	1	1
59	необходимо иметь в	1	1
60	мы увидим что	1	1
61	как мы видели	1	1
62	но и этого	1	1
