N	3gram	Trubetskoy_1	RusskieA
1	в том что	15	15
2	состоит в том	1	8
3	вместе с тем	2	6
4	в этом случае	4	5
5	о том что	4	4
6	к тому что	1	4
7	в связи с	3	4
8	в настоящее время	2	3
9	с точки зрения	8	3
10	тем не менее	4	3
11	стоит в связи	1	2
12	не только по	1	2
13	это имеет место	1	2
14	свой народ и	1	2
15	может быть и	4	2
16	друг к другу	2	2
17	по этому поводу	1	2
18	в свою очередь	2	2
19	но все же	2	2
20	все же не	3	2
21	и некоторые другие	1	2
22	и у нас	1	2
23	по этому вопросу	1	1
24	на основании этих	1	1
25	деле это не	1	1
26	одно из непременных	1	1
27	во многих отношениях	1	1
28	приводит к тому	1	1
29	друг с другом	9	1
30	точно так же	1	1
31	только тогда когда	1	1
32	тех случаях когда	1	1
33	в один из	1	1
34	а следовательно и	1	1
35	при этом не	1	1
36	как и в	2	1
37	несмотря на все	1	1
38	мы уже знаем	1	1
39	и в том	2	1
40	из них в	1	1
41	от своих предшественников	1	1
42	только одно из	1	1
43	того же явления	1	1
44	сливаются в одно	1	1
45	как мы знаем	1	1
46	на то что	7	1
47	время от времени	2	1
48	иметь в виду	1	1
49	что для этого	1	1
50	в целом ряде	3	1
51	еще далеко не	1	1
52	и в нашем	1	1
53	и того же	3	1
54	можно рассматривать как	1	1
55	так же как	3	1
56	ни одна из	1	1
57	ничего общего с	2	1
58	никак не может	1	1
59	каждый из этих	2	1
60	только по отношению	1	1
61	независимо от того	1	1
62	по существу совершенно	1	1
63	менее похожи на	1	1
64	в то время	2	1
65	можно было бы	1	1
66	не более как	2	1
67	на самом деле	7	1
68	по отношению к	9	1
69	ничего не говорить	1	1
70	но вместе с	1	1
71	и что следовательно	1	1
72	в одно целое	1	1
73	во всяком случае	2	1
74	быть и не	1	1
75	в тех случаях	1	1
76	и другие народы	1	1
77	одного и того	3	1
78	могут рассматриваться как	1	1
79	целом ряде других	1	1
80	если стремление к	1	1
81	между тем такие	1	1
82	как мы видели	1	1
83	мы видим что	1	1
84	не может признать	1	1
85	русских но и	1	1
86	между прочим в	1	1
87	из приведенных выше	1	1
88	к таким народам	1	1
89	в себе и	1	1
90	о том кто	1	1
91	во всех этих	2	1
92	так и у	1	1
93	о том чтобы	2	1
94	в данном случае	3	1
95	хотя и не	1	1
96	очень много и	1	1
97	может быть потому	1	1
