N	3gram	Bakhtin_sl_1	VrazhdaK
1	то же время	12	4
2	в то же	12	4
3	как и у	1	3
4	в в виноградов	1	2
5	с точки зрения	8	2
6	отцы и дети	1	2
7	но в то	4	2
8	не может быть	1	2
9	в том что	1	2
10	а между тем	2	1
11	а следовательно и	1	1
12	да и в	1	1
13	равно как и	1	1
14	в нем самом	1	1
15	же время и	1	1
16	у тургенева и	1	1
17	до сих пор	2	1
18	и не может	2	1
19	героев романа в	1	1
20	в этом отношении	1	1
21	но это не	1	1
22	в литературе и	1	1
23	отношение автора к	1	1
24	по крайней мере	1	1
25	может быть и	1	1
26	и в то	5	1
27	одно и то	2	1
28	о том же	2	1
29	и то же	2	1
30	в известном смысле	2	1
31	и в этом	2	1
32	же не только	1	1
33	во всяком случае	5	1
34	с другой стороны	4	1
35	тем не менее	1	1
36	что они не	1	1
37	в письмах и	1	1
38	в то время	2	1
39	его отношение к	1	1
40	в свою очередь	2	1
41	о том что	1	1
42	не только не	1	1
43	с помощью которых	1	1
44	но в этом	1	1
45	между тем это	1	1
46	они как бы	2	1
47	же время по	1	1
48	в каком направлении	1	1
49	что для нас	1	1
