N	2gram	Trubetskoy_1	NovoeSre
1	новой истории	1	67
2	а не	5	17
3	и в	26	16
4	не может	4	16
5	совсем не	1	12
6	и не	8	11
7	и есть	1	10
8	в эпоху	7	9
9	что в	9	9
10	как не	1	8
11	в том	11	8
12	жизни и	2	8
13	он не	4	8
14	культуры и	3	7
15	в этом	15	7
16	может быть	10	7
17	как и	1	7
18	это есть	1	7
19	возврат к	1	6
20	с его	2	6
21	от бога	2	6
22	не в	2	6
23	ни в	1	6
24	никогда не	5	6
25	лишь в	5	6
26	но это	1	6
27	с ее	1	5
28	в ней	1	5
29	культуры в	1	5
30	и к	5	5
31	не только	10	5
32	в жизни	1	5
33	все это	6	5
34	в нем	4	5
35	о том	6	4
36	перестает быть	2	4
37	в них	2	4
38	то что	7	4
39	это не	1	4
40	прежде всего	2	4
41	не было	2	4
42	должно быть	1	4
43	и потому	6	4
44	воли к	1	4
45	по своему	2	4
46	не менее	3	4
47	и для	5	4
48	не имеет	5	4
49	и все	2	4
50	потому что	7	4
51	народные массы	2	4
52	с другой	8	3
53	смысле слова	1	3
54	в ее	1	3
55	волю к	2	3
56	человека и	1	3
57	еще не	2	3
58	во всех	2	3
59	лицом к	1	3
60	как в	1	3
61	конечно не	2	3
62	к ним	3	3
63	перейти к	1	3
64	в мире	5	3
65	но и	9	3
66	это было	1	3
67	не есть	1	3
68	и пр	1	3
69	не означает	1	3
70	с тем	18	3
71	бога и	4	3
72	к лицу	1	3
73	в своей	1	3
74	к жизни	5	3
75	в россии	2	3
76	что такое	1	3
77	в наше	1	3
78	не существует	1	3
79	к ее	1	3
80	к тому	6	3
81	сказать что	2	3
82	и это	2	2
83	же как	3	2
84	связана с	2	2
85	силы и	2	2
86	бога то	1	2
87	это и	1	2
88	время как	1	2
89	роль в	1	2
90	так и	6	2
91	от старого	1	2
92	мы не	1	2
93	мира и	1	2
94	и с	10	2
95	для этого	2	2
96	стремление к	1	2
97	и должно	1	2
98	и ночи	1	2
99	реакцией против	1	2
100	и что	4	2
101	и на	2	2
102	быть в	1	2
103	времени в	1	2
104	должно было	2	2
105	но не	8	2
106	к богу	3	2
107	в новом	2	2
108	с этим	1	2
109	помнить что	1	2
110	ни к	1	2
111	бога но	1	2
112	но в	7	2
113	все эти	6	2
114	с одной	7	2
115	себя в	1	2
116	думать что	1	2
117	с их	1	2
118	в себе	6	2
119	уже не	3	2
120	вернуться к	1	2
121	в религиозном	7	2
122	не могла	2	2
123	это связано	1	2
124	не к	2	2
125	эпоху когда	2	2
126	у него	1	2
127	что она	1	2
128	в одну	1	2
129	что все	4	2
130	и даже	3	2
131	не собирается	1	2
132	бытия в	1	2
133	зависит от	1	2
134	духовной жизни	1	2
135	том что	7	2
136	вместе с	15	2
137	так же	5	2
138	хозяйственной жизни	1	2
139	место в	1	2
140	одной стороны	7	2
141	другой стороны	1	2
142	по существу	2	2
143	не могли	1	2
144	в духовной	1	2
145	этот мир	1	2
146	призыв к	1	2
147	такой же	1	2
148	но для	1	2
149	в смысле	4	2
150	в то	4	2
151	того чтобы	5	2
152	и от	4	2
153	и весь	1	2
154	в русском	2	2
155	хотя бы	3	2
156	все они	1	2
157	а в	4	2
158	в будущем	1	2
159	ли это	2	2
160	когда мы	1	2
161	могут быть	1	2
162	сама жизнь	1	2
163	можно назвать	2	2
164	реакцию против	1	1
