N	2gram	Tiupa_Anal_3	Tvorches
1	и в	18	21
2	как бы	10	17
3	в то	3	15
4	то же	3	13
5	в его	7	13
6	то есть	10	12
7	как и	14	12
8	же время	3	12
9	что в	9	12
10	с его	8	11
11	том что	12	11
12	все это	3	10
13	в романе	2	10
14	как в	3	8
15	он не	6	8
16	то что	2	8
17	в году	3	7
18	и на	4	7
19	но в	2	7
20	не только	22	7
21	при этом	11	7
22	тем самым	4	7
23	у него	1	7
24	и не	12	7
25	в том	9	7
26	в свою	5	7
27	в этом	14	6
28	человека в	1	6
29	не менее	4	6
30	и его	13	6
31	по природе	1	6
32	он сам	1	6
33	о том	6	6
34	и все	2	6
35	что он	4	6
36	для него	6	6
37	а в	10	6
38	жизни в	1	6
39	отнюдь не	4	5
40	все же	4	5
41	в этой	6	5
42	таким образом	4	5
43	вовсе не	1	5
44	в своих	1	5
45	в русской	7	5
46	потому что	1	5
47	как будто	1	5
48	по нашему	1	5
49	только в	2	5
50	может быть	9	5
51	а не	9	5
52	но это	1	5
53	это уже	1	5
54	хотя бы	1	5
55	человека и	1	4
56	не имеют	1	4
57	конечном счете	2	4
58	в своем	4	4
59	и как	4	4
60	та же	1	4
61	в целом	3	4
62	в записках	1	4
63	самим собой	1	4
64	это не	2	4
65	свое я	1	4
66	в своей	1	4
67	мысли и	1	4
68	своего рода	8	4
69	не случайно	8	4
70	по сути	2	4
71	в мире	5	4
72	в конечном	2	4
73	русской литературе	4	4
74	одной из	1	4
75	в финале	3	4
76	прежде всего	5	4
77	на эту	2	4
78	в момент	2	4
79	не может	2	4
80	и от	2	4
81	один из	2	4
82	я и	3	3
83	рассматривать в	1	3
84	на самом	1	3
85	это и	2	3
86	той же	5	3
87	я не	1	3
88	из повести	2	3
89	время в	1	3
90	со всеми	2	3
91	человеческих отношений	1	3
92	хотя и	2	3
93	в самом	5	3
94	сливается с	1	3
95	представляет собой	5	3
96	тут и	1	3
97	в нем	2	3
98	первой части	1	3
99	на его	2	3
100	и по	2	3
101	в каждом	3	3
102	авторской позиции	2	3
103	далеко не	4	3
104	в их	6	3
105	место в	1	3
106	даже в	2	3
107	дело не	3	3
108	дело в	2	3
109	героев и	1	3
110	никогда не	5	3
111	стремится к	1	3
112	с ее	3	3
113	и другие	1	3
114	в дальнейшем	2	3
115	с ним	1	3
116	того что	1	3
117	который в	3	3
118	человеческой личности	1	3
119	уже не	5	3
120	уже в	3	3
121	говорит о	2	3
122	в соответствии	2	3
123	человек как	1	3
124	и даже	8	3
125	с другой	7	3
126	но и	13	3
127	но не	7	3
128	сути дела	1	3
129	в книге	1	3
130	своих героев	1	3
131	утверждал что	1	3
132	но если	1	3
133	жизни и	1	3
134	ее в	1	3
135	того же	5	2
136	самом деле	2	2
137	в первом	2	2
138	по преимуществу	2	2
139	есть не	2	2
140	на первом	1	2
141	и он	2	2
142	героя и	4	2
143	в ней	2	2
144	в отличие	2	2
145	если в	3	2
146	отличие от	2	2
147	как к	2	2
148	когда он	2	2
149	говорит что	1	2
150	то в	2	2
151	но без	1	2
152	в себе	2	2
153	что она	2	2
154	тем не	2	2
155	так сказать	2	2
156	в принципе	2	2
157	у пушкина	3	2
158	здесь мы	1	2
159	не будет	3	2
160	а затем	1	2
161	этом он	2	2
162	а по	1	2
163	в данном	4	2
164	ведет к	1	2
165	в один	1	2
166	и того	3	2
167	не столько	3	2
168	не в	6	2
169	по крайней	4	2
170	однако в	5	2
171	одна из	2	2
172	в основе	1	2
173	от жизни	1	2
174	свободы и	1	2
175	иными словами	1	2
176	которого он	2	2
177	личности в	3	2
178	могут быть	2	2
179	к тому	6	2
180	в жизни	2	2
181	данном случае	3	2
182	в средневековой	1	2
183	мысль о	3	2
184	ли с	1	2
185	в себя	2	2
186	приводит к	4	2
187	так и	14	2
188	живет в	1	2
189	об этом	2	2
190	во второй	7	2
191	можно сказать	4	2
192	лицо его	2	2
193	одного из	1	2
194	что и	5	2
195	во всей	1	2
196	крайней мере	4	2
197	вслед за	1	2
198	и мир	1	2
199	в литературе	1	2
200	герой в	1	2
201	тот же	1	2
202	в качестве	12	2
203	человека с	1	2
204	так что	1	2
205	и у	1	2
206	от других	1	2
207	свободу от	1	2
208	в современном	1	2
209	этой проблемы	1	2
210	именно в	3	2
211	что не	3	2
212	зависит от	1	2
213	и далее	1	2
214	его как	3	2
215	человека как	1	2
216	в частности	12	2
217	вместе с	2	2
218	до этого	1	2
219	намек на	1	2
220	к жизни	3	2
221	в первой	8	2
222	так ли	1	2
223	перед нами	4	2
224	не мог	2	2
225	в одно	1	2
226	для автора	1	2
227	личности и	2	2
228	в стихах	1	2
229	на смену	1	2
230	не знает	1	2
231	сказать что	2	2
232	в глаза	2	2
233	себе не	1	2
234	к этому	3	2
235	гораздо более	2	2
236	как известно	1	1
237	и развитие	1	1
238	и фактически	1	1
239	трагический герой	1	1
240	связана с	1	1
241	честное слово	1	1
242	у бальзака	1	1
243	говорилось выше	1	1
244	и есть	1	1
245	не признает	1	1
246	нам кажется	2	1
247	из самых	1	1
248	и до	1	1
249	места в	1	1
250	уже по	2	1
251	мы уже	1	1
252	побуждает его	1	1
253	мы имеем	5	1
254	собой как	1	1
255	пришел в	1	1
256	что если	1	1
257	единство и	1	1
258	ивана петровича	10	1
259	он как	1	1
260	в сущности	5	1
261	говорить о	3	1
262	что иное	1	1
263	принадлежит к	4	1
264	основного действия	1	1
265	в полной	1	1
266	произведения то	1	1
267	к преступлению	1	1
268	не способен	1	1
269	проявляется в	1	1
270	и самого	6	1
271	себе а	1	1
272	одно из	1	1
273	еще не	6	1
274	по этому	1	1
275	он был	1	1
276	между собой	1	1
277	иное как	1	1
278	нам представляется	2	1
279	столь же	4	1
280	спальню и	1	1
281	во всех	2	1
282	в сюжете	1	1
283	тем как	1	1
284	я был	1	1
285	иного рода	1	1
286	как правило	5	1
287	традиции все	1	1
288	по отношению	7	1
289	а и	4	1
290	как справедливо	2	1
291	тогда как	20	1
292	исторична как	1	1
293	в истории	1	1
294	как говорит	3	1
295	с этим	3	1
296	из уст	1	1
297	в художественном	1	1
298	было положено	1	1
299	как уже	2	1
300	что по	4	1
301	к этой	1	1
302	завершение в	1	1
303	и к	4	1
304	один ряд	1	1
305	нет никакой	1	1
306	от своей	2	1
307	или иную	1	1
308	для которого	1	1
309	со своей	8	1
310	всего лишь	8	1
311	к чему	1	1
312	он идет	1	1
313	бы и	2	1
314	все эти	2	1
315	поскольку в	1	1
316	так в	3	1
317	учение о	1	1
318	в известном	1	1
319	это тот	1	1
320	зависим от	1	1
321	тому же	3	1
322	мнение что	1	1
323	у а	1	1
324	вследствие этого	1	1
325	наш взгляд	2	1
326	в статье	1	1
327	конструктивный момент	1	1
328	обратившись к	1	1
329	да и	2	1
330	отказа от	1	1
331	выше уже	1	1
332	пушкина и	2	1
333	шекспира и	4	1
334	но само	1	1
335	всех этих	1	1
336	чем у	1	1
337	и обстоятельств	1	1
338	и вот	2	1
339	чувствовал в	1	1
340	на наш	2	1
341	его можно	1	1
342	в большой	1	1
343	в нее	1	1
344	мы обнаруживаем	1	1
345	подход к	2	1
346	его не	3	1
347	его в	3	1
348	это было	1	1
349	заключается в	1	1
350	который и	1	1
351	в глазах	2	1
352	было бы	3	1
353	роль в	3	1
354	все другие	1	1
355	центральное место	1	1
356	лишь на	3	1
357	по мысли	1	1
358	за ней	1	1
359	в них	2	1
360	о которых	2	1
361	героя или	1	1
362	он же	1	1
363	этого персонажа	1	1
364	мировой литературы	1	1
365	с этой	1	1
366	с тем	2	1
367	сильвио и	4	1
368	ибо он	1	1
369	он и	3	1
370	иногда в	1	1
371	он любил	1	1
372	жизни но	1	1
373	ключ к	3	1
374	с лизой	1	1
375	о которой	2	1
376	одного и	3	1
377	менее чем	1	1
378	в войне	1	1
379	свою собственную	1	1
380	и ее	2	1
381	к истории	1	1
382	современное литературоведение	2	1
383	однако этот	1	1
384	не от	2	1
385	от себя	1	1
386	на первой	2	1
387	за минуту	1	1
388	и внутренних	1	1
389	художественного мира	1	1
390	времени не	1	1
391	оба они	1	1
392	автора этой	1	1
393	на всю	1	1
394	он выступает	1	1
395	по себе	4	1
396	а вот	2	1
397	мотива в	1	1
