N	3gram	Propp_Russ_1	DiskursI
1	в отличие от	1	12
2	в данном случае	1	6
3	в том что	15	6
4	как и в	1	5
5	по отношению к	1	4
6	в этом отношении	1	4
7	о том что	4	3
8	и того же	1	2
9	состоит в том	8	2
10	подобно тому как	1	2
11	в этом случае	5	2
12	с точки зрения	3	2
13	ни одно из	2	2
14	и как бы	1	2
15	одного и того	1	2
16	том что в	6	1
17	то что и	1	1
18	из значений слова	1	1
19	время от времени	1	1
20	представляет собой как	1	1
21	одно из значений	1	1
22	можно говорить о	1	1
23	приходит к выводу	1	1
24	при этом не	1	1
25	но она имела	1	1
26	но это не	2	1
27	одном и том	1	1
28	в своем значении	1	1
29	и могут быть	1	1
30	в это время	2	1
31	в своего рода	1	1
32	и том же	1	1
33	не может так	1	1
34	в равной степени	2	1
35	как будто бы	1	1
36	быть и не	1	1
37	во всяком случае	1	1
38	об этом так	1	1
39	в одном из	1	1
40	по нескольку раз	1	1
41	можно сказать что	1	1
42	встречается и в	1	1
43	сближает его с	2	1
44	в большинстве случаев	2	1
45	тем не менее	3	1
