N	3gram	Tiupa_Lite_1	Dialekti
1	с точки зрения	2	12
2	в том что	11	7
3	внутреннего и внешнего	1	6
4	то же время	5	4
5	можно было бы	1	4
6	по крайней мере	1	4
7	с другой стороны	1	4
8	на то что	1	4
9	в то же	5	4
10	только потому что	1	3
11	не нуждается в	1	3
12	только то что	1	3
13	и в этом	1	3
14	иметь в виду	1	3
15	не может и	1	3
16	не может быть	1	3
17	ничего общего с	1	3
18	то что я	1	2
19	на самом деле	1	2
20	до сих пор	1	2
21	в этом отношении	2	2
22	то в чем	1	2
23	может и не	1	2
24	и в частности	1	2
25	с одной стороны	2	2
26	как один из	1	2
27	во всяком случае	2	2
28	о том что	2	2
29	это уже не	1	1
30	как например в	1	1
31	в чистом виде	1	1
32	в основе всех	1	1
33	мы имеем дело	1	1
34	дело в том	2	1
35	в самом деле	1	1
36	так или иначе	8	1
37	в поэзии тютчева	1	1
38	как раз и	1	1
39	на том или	1	1
40	только в том	2	1
41	из того что	2	1
42	несмотря на свою	1	1
43	и никто не	1	1
44	с такой же	1	1
45	и не слыхал	1	1
46	и вот она	1	1
47	жизни и в	1	1
48	далеко не всегда	1	1
49	но в то	1	1
50	не есть произведение	1	1
51	в отношении к	1	1
52	по большей части	1	1
53	которые могли бы	1	1
54	у тютчева и	1	1
55	в связи с	4	1
56	в этом и	1	1
57	может быть названа	1	1
58	бы не было	1	1
59	это надо для	1	1
60	нельзя сказать что	1	1
61	а не только	1	1
62	с самого начала	1	1
63	но все же	1	1
64	в полной мере	1	1
65	имеется в виду	1	1
66	никогда не бывает	1	1
67	тех или иных	1	1
68	тем не менее	2	1
69	том или ином	1	1
70	том что для	1	1
71	на первый взгляд	1	1
72	к тому же	1	1
