N	2gram	Medvedev_V_1	Myslijsy
1	потому что	1	46
2	в том	2	32
3	и в	2	30
4	то же	1	23
5	только в	1	21
6	том что	2	18
7	и не	1	15
8	так как	1	13
9	в этом	1	10
10	и то	1	8
11	в самом	1	8
12	что слово	1	7
13	же с	1	6
14	но это	1	6
15	одно и	1	5
16	по крайней	1	5
17	крайней мере	1	5
18	говоря о	1	4
19	столь же	1	4
20	и его	1	4
21	по поводу	1	4
22	далеко не	1	4
23	все это	1	4
24	тем более	1	4
25	а только	1	3
26	время в	1	3
27	именно в	1	3
28	к этому	1	3
29	самом деле	1	2
30	в их	1	2
31	что язык	1	2
32	в которых	1	2
33	том же	1	2
34	так в	1	2
35	чего не	1	1
36	бы уже	1	1
37	оно с	1	1
38	один пример	1	1
39	к чему	1	1
40	чем больше	1	1
41	главным образом	1	1
42	не будем	1	1
43	образом из	1	1
44	от многих	1	1
45	в устах	1	1
46	вещь и	1	1
47	это далеко	1	1
48	ясно что	1	1
49	сводится к	1	1
50	и т.д	1	1
51	на одном	1	1
52	связанным с	1	1
53	даже не	1	1
54	по своим	1	1
55	под влиянием	1	1
56	да и	1	1
57	находится под	1	1
58	впрочем не	1	1
59	все то	1	1
60	составляет ее	1	1
61	гораздо более	1	1
