N	3gram	Tiupa_Narr_1	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	в связи с	2	3
4	в русской литературе	1	3
5	с точки зрения	2	2
6	в году в	1	2
7	не может быть	5	2
8	в том что	8	2
9	да и в	1	1
10	это то что	1	1
11	далеко не все	1	1
12	в этом смысле	1	1
13	в соответствии с	1	1
14	что это за	1	1
15	уже говорилось выше	1	1
16	в том же	1	1
17	это за человек	1	1
18	тем более что	1	1
19	это дает нам	1	1
20	до сих пор	1	1
21	в этом отношении	3	1
22	независимо от того	1	1
23	он отличается от	1	1
24	но это не	1	1
25	точно так же	2	1
26	по крайней мере	1	1
27	и то что	1	1
28	может быть и	1	1
29	и в то	1	1
30	речь идет не	1	1
31	так же как	2	1
32	на первый взгляд	2	1
33	тем что как	1	1
34	в известном смысле	2	1
35	а с другой	1	1
36	все же не	4	1
37	это же время	1	1
38	с другой стороны	4	1
39	тем не менее	3	1
40	в это же	1	1
41	в свою очередь	3	1
42	о том что	6	1
43	не с точки	1	1
44	лет тому назад	1	1
45	во второй раз	1	1
46	то что они	1	1
47	речь идет о	2	1
