N	2gram	Bakhtin_Fr_6	IolandNe
1	и с	16	3
2	должен быть	2	2
3	и не	3	2
4	в этом	12	2
5	он не	2	2
6	что в	7	2
7	ничего не	1	2
8	себя в	2	1
9	все это	11	1
10	нисколько не	1	1
11	и др	10	1
12	и тот	2	1
13	а для	2	1
14	и в	41	1
15	и о	1	1
16	у всех	1	1
17	в эту	2	1
18	с жизнью	1	1
19	бы в	2	1
20	того же	4	1
21	жил в	1	1
22	не остается	3	1
23	значительной мере	1	1
24	с другой	4	1
25	это было	2	1
26	а в	4	1
27	того что	3	1
28	не дает	1	1
29	страхом перед	1	1
30	это был	1	1
31	как о	2	1
32	и написан	2	1
33	а с	1	1
34	другой стороны	2	1
35	утверждает что	1	1
36	же смерти	1	1
37	для него	1	1
38	а также	5	1
39	нам в	1	1
40	в основе	4	1
41	что для	1	1
42	в значительной	2	1
43	говорить о	2	1
44	могло бы	1	1
45	и сам	3	1
46	есть только	3	1
47	видит в	1	1
48	смерть другое	1	1
49	отношению к	1	1
50	так и	5	1
51	бы его	1	1
52	дает и	1	1
53	он с	1	1
54	того чтобы	4	1
55	никогда не	8	1
56	следующим образом	1	1
57	когда его	1	1
58	только для	1	1
59	жизни и	3	1
60	и очень	2	1
61	эпизод с	1	1
62	тех же	2	1
63	тем что	5	1
64	в целом	1	1
65	по поводу	1	1
66	по отношению	1	1
67	в них	7	1
68	все эти	11	1
69	знакомство с	1	1
70	по существу	1	1
71	носит имя	1	1
72	со всеми	2	1
73	для того	1	1
74	не слишком	1	1
