N	4gram	Losev_Dial_4	EvropaiE
1	в то же время	6	14
2	и в то же	2	8
3	с этой точки зрения	2	5
4	и в этом смысле	2	2
5	можно сказать что в	1	2
6	но в то же	2	2
7	дело в том что	1	1
8	в качестве одного из	1	1
9	и то и другое	1	1
10	в отношении к мировому	1	1
11	принимая во внимание что	1	1
12	указать на то что	1	1
13	одна и та же	1	1
14	но если так то	2	1
15	в связи с этим	1	1
16	в том случае если	1	1
17	рассматривать с точки зрения	1	1
18	т е прежде всего	1	1
19	не нужно думать что	1	1
20	не говоря уже о	3	1
21	поскольку речь идет о	1	1
