N	3gram	Vinokur_St_3	Problemy
1	то же время	3	10
2	в то же	3	10
3	на самом деле	1	9
4	с самого начала	2	8
5	в той или	1	4
6	с которым он	1	4
7	но на самом	1	4
8	во всяком случае	4	4
9	его отношение к	1	4
10	на протяжении всего	1	4
11	той или иной	1	4
12	в этом смысле	4	3
13	он не может	1	3
14	и в самом	1	3
15	в конце концов	3	3
16	с другой стороны	4	3
17	не может быть	5	3
18	то что я	2	2
19	так что он	1	2
20	с точки зрения	4	2
21	сам по себе	1	2
22	можно было бы	1	2
23	и не в	2	2
24	нет ни одного	1	2
25	того что он	1	2
26	и в этом	2	2
27	на тему о	2	2
28	в такой же	1	2
29	все это было	1	2
30	но все же	2	2
31	в раннем творчестве	1	2
32	и что он	1	2
33	этого слова в	1	2
34	в том что	11	2
35	и всегда у	1	1
36	все более и	2	1
37	сплошь да рядом	1	1
38	произведение должно было	1	1
39	несколько слов о	1	1
40	одних и тех	1	1
41	есть не на	1	1
42	в чем же	1	1
43	потому что в	1	1
44	и для самого	1	1
45	в самом деле	1	1
46	том что он	1	1
47	того или другого	1	1
48	в том же	1	1
49	тем что это	1	1
50	что же касается	1	1
51	в одних и	1	1
52	вот одна из	1	1
53	он с самого	1	1
54	отметить что эти	1	1
55	до сих пор	2	1
56	для себя и	1	1
57	и в других	1	1
58	вместе с тем	1	1
59	и в этих	2	1
60	то что в	1	1
61	связи с его	1	1
62	которого он не	1	1
63	говорит что он	2	1
64	хочет показать что	1	1
65	не укладывается в	1	1
66	благодаря тому что	1	1
67	как и всегда	1	1
68	по крайней мере	4	1
69	и тех же	1	1
70	но в последующих	1	1
71	в своей статье	1	1
72	к тому что	2	1
73	в этом выражении	1	1
74	всех событий и	1	1
75	то время как	4	1
76	и со всеми	1	1
77	тем что он	2	1
78	в которой есть	1	1
79	время как в	1	1
80	без труда обнаружим	1	1
81	с ним и	1	1
82	в этом направлении	1	1
83	прежде всего в	3	1
84	это произведение должно	1	1
85	то что он	1	1
86	в свое время	1	1
87	и во всяком	1	1
88	в то время	4	1
89	и ни в	1	1
90	они звучат в	1	1
91	но в конце	1	1
92	и пр в	2	1
93	все действующие лица	1	1
94	в свою очередь	1	1
95	и это его	1	1
96	о том что	4	1
97	не только не	1	1
98	более и более	2	1
99	можно сказать что	1	1
100	но здесь он	1	1
101	вопрос о том	1	1
102	тем не менее	2	1
103	в целом это	1	1
104	в позднейшем творчестве	1	1
105	к нему все	1	1
106	как мы видели	1	1
107	для того чтобы	1	1
108	что из этого	1	1
109	а не в	1	1
110	независимо от их	1	1
111	то же самое	1	1
112	сказать что это	1	1
113	в этом отношении	4	1
114	и в другом	1	1
