N	2gram	Vygotskiy__7	VelikijI
1	и не	18	20
2	и в	26	16
3	так как	14	9
4	то что	24	9
5	еще не	4	8
6	что они	10	7
7	а не	6	7
8	и потому	3	7
9	не есть	4	6
10	но и	11	5
11	по пути	1	5
12	того что	14	5
13	хотя и	1	5
14	все это	3	5
15	что есть	1	5
16	как бы	6	5
17	и есть	2	4
18	говорить о	1	4
19	в его	4	4
20	в этом	29	4
21	что он	8	4
22	потому что	16	4
23	в нем	2	4
24	так и	3	4
25	что все	2	4
26	что не	2	4
27	как и	15	4
28	что мы	9	4
29	в котором	4	4
30	в ней	3	4
31	и все	1	4
32	они будут	1	4
33	все что	6	4
34	от этого	1	3
35	и что	6	3
36	нас и	2	3
37	как не	1	3
38	лишь в	2	3
39	в чем	3	3
40	во всех	6	3
41	что и	3	3
42	и будет	1	3
43	в том	18	3
44	но в	4	3
45	по этому	4	3
46	все эти	6	3
47	за ним	1	3
48	они в	1	3
49	в конце	4	3
50	их в	1	3
51	в своей	3	3
52	и мы	1	3
53	ни в	2	3
54	в них	1	3
55	не было	1	3
56	должно быть	2	3
57	если не	1	3
58	в этих	2	3
59	что во	1	3
60	что я	1	3
61	и против	2	3
62	не в	4	3
63	к чему	1	3
64	тому что	9	3
65	этих трех	1	3
66	но это	3	3
67	не имеет	2	3
68	никогда не	4	3
69	и для	5	3
70	к тому	7	3
71	что в	12	3
72	и это	1	2
73	того чтобы	19	2
74	и то	7	2
75	у людей	1	2
76	но мы	3	2
77	это мы	2	2
78	и т	1	2
79	можно было	2	2
80	мы не	7	2
81	что от	1	2
82	с ним	3	2
83	мы взяли	1	2
84	вместо того	1	2
85	и во	4	2
86	между тем	1	2
87	нет и	3	2
88	которые не	1	2
89	его к	2	2
90	только в	8	2
91	в себя	1	2
92	третье и	1	2
93	конечно не	1	2
94	не только	24	2
95	на этих	2	2
96	раз навсегда	1	2
97	его и	2	2
98	не так	1	2
99	для него	3	2
100	не к	1	2
101	в прошлом	1	2
102	по видимости	1	2
103	вот почему	1	2
104	тем что	9	2
105	мы слышим	1	2
106	это не	3	2
107	а с	1	2
108	прежде всего	7	2
109	для них	1	2
110	все равно	1	2
111	с тем	5	2
112	мы и	2	2
113	один из	2	2
114	и тогда	1	2
115	не могут	4	2
116	является в	5	2
117	значения и	3	2
118	самого себя	1	2
119	в старой	2	2
120	что было	2	2
121	никогда еще	1	2
122	одна из	1	2
123	происхождении и	1	2
124	так много	1	2
125	том что	17	2
126	а к	1	2
127	для нас	2	2
128	в форме	1	2
129	они и	1	2
130	ее в	8	2
131	а в	2	2
132	но не	3	2
133	могут быть	2	2
134	чтобы сделать	2	2
135	всего в	2	2
136	во всяком	2	2
137	всегда в	1	1
138	эта новая	1	1
139	как мы	14	1
140	быть может	1	1
141	в виду	5	1
142	для себя	24	1
143	в ее	6	1
144	это случилось	1	1
145	в словах	1	1
146	и говорит	1	1
147	и до	2	1
148	и самое	1	1
149	значение в	2	1
150	его связь	1	1
151	мы будем	1	1
152	то же	8	1
153	и могут	1	1
154	на путь	1	1
155	и которые	2	1
156	от всякой	2	1
157	из всего	1	1
158	с внутренним	1	1
159	в результате	1	1
160	по сравнению	9	1
161	что уже	1	1
162	вопрос о	6	1
163	и вообще	1	1
164	находится в	2	1
165	я не	3	1
166	и ее	2	1
167	не был	1	1
168	зависимости от	1	1
169	в их	2	1
170	после того	1	1
171	любви к	1	1
172	это имеет	1	1
173	это факт	1	1
174	что оно	4	1
175	к нему	3	1
176	ее к	1	1
177	но как	1	1
178	ее от	2	1
179	от них	1	1
180	если в	4	1
181	с которыми	2	1
182	менее всего	3	1
183	бы в	5	1
184	себя но	1	1
185	существует как	1	1
186	как в	4	1
187	и самые	1	1
188	оторванное от	1	1
189	в своем	1	1
190	известном смысле	2	1
191	все же	6	1
192	но с	2	1
193	себя с	1	1
194	в двух	1	1
195	могли бы	5	1
196	идет по	1	1
197	своей сущности	1	1
198	мы видим	3	1
199	напоминает о	2	1
200	мы увидим	1	1
201	царство и	1	1
202	и свою	1	1
203	в самом	9	1
204	в которой	11	1
205	что это	6	1
206	в целом	5	1
207	в этой	3	1
208	в известном	2	1
209	уже в	2	1
210	от необходимости	1	1
211	то и	4	1
212	в виде	1	1
213	но прежде	1	1
214	слова не	1	1
215	каким образом	1	1
216	о которой	1	1
217	говорит что	2	1
218	перестает быть	1	1
219	в понимании	1	1
220	чем у	3	1
221	вовсе не	2	1
222	не для	1	1
223	себя от	2	1
224	отношение к	2	1
225	так часто	1	1
226	бытия и	1	1
227	у него	1	1
228	и по	3	1
229	на этом	1	1
230	бы все	2	1
231	переход к	1	1
232	и вместе	2	1
233	ее на	1	1
234	и свободу	1	1
235	для того	18	1
236	должна иметь	1	1
237	в состоянии	1	1
238	не были	1	1
239	и с	5	1
240	было не	1	1
241	свободного и	1	1
242	с другой	4	1
243	которого не	2	1
244	этом пути	1	1
245	есть не	3	1
246	в глазах	1	1
247	о проблеме	1	1
248	и тем	6	1
249	ничем не	1	1
250	основной вопрос	1	1
251	и уже	1	1
252	с которым	1	1
253	слова для	1	1
254	человека не	1	1
255	о чем	4	1
256	более глубокое	1	1
257	их на	1	1
258	в одно	1	1
259	только мы	1	1
260	слышим от	1	1
261	таким же	1	1
262	вместе с	12	1
263	свое особое	1	1
264	так же	14	1
265	ко всем	2	1
266	их сознания	1	1
267	как это	5	1
268	этому же	2	1
269	мы в	3	1
270	еще с	1	1
271	и столь	3	1
272	у нас	2	1
273	в которых	2	1
274	и сделали	1	1
275	в изображении	1	1
276	он говорит	1	1
277	если оно	1	1
278	сравнению с	8	1
279	в одном	1	1
280	но я	1	1
281	это значит	1	1
282	этого слова	3	1
283	с этой	5	1
284	раз и	1	1
285	можно ли	2	1
286	и внешней	1	1
287	общественной жизни	1	1
288	так ли	1	1
289	есть прежде	1	1
290	к ним	1	1
291	и другое	3	1
292	обратился к	1	1
293	на котором	3	1
294	на два	1	1
295	не по	4	1
296	но она	1	1
297	слово от	1	1
298	образом по	1	1
299	и от	4	1
300	ее но	1	1
301	нельзя не	2	1
302	которую рисует	1	1
303	ничего не	2	1
304	в разных	1	1
305	того как	2	1
306	может быть	7	1
307	природы в	1	1
308	она с	1	1
309	пути и	3	1
310	как она	5	1
311	конце концов	1	1
312	во всем	3	1
313	это слово	1	1
314	в новых	1	1
315	на него	1	1
316	в сознании	6	1
317	к ее	1	1
318	связь с	1	1
319	что на	2	1
320	может и	2	1
321	о своем	2	1
322	наконец не	1	1
323	в образах	1	1
324	другой стороны	1	1
325	будет с	1	1
326	заключается что	1	1
327	но все	1	1
328	есть то	3	1
329	к этому	2	1
330	от слова	6	1
331	и развитием	1	1
332	вся история	1	1
333	его с	3	1
334	и другие	1	1
335	в своих	2	1
336	слова с	4	1
337	в процессе	5	1
338	но к	1	1
339	себя и	2	1
340	она не	5	1
341	во власть	2	1
342	они не	1	1
