1	в то же время	3	5
2	но в то же	2	3
3	один и тот же	3	2
4	в том что он	1	2
5	далек от того чтобы	1	1
6	с точки зрения индивидуальной	1	1
7	с точки зрения этого	1	1
8	в самом деле ведь	2	1
9	как мы уже знаем	1	1
10	– это вовсе не	1	1
11	точки зрения индивидуальной психологии	1	1
12	нет и не может	2	1
13	в какой степени не	1	1
14	процессы в нервной системе	1	1
15	до сих пор не	1	1
16	и не может быть	4	1
17	не может быть ничего	1	1
18	жизни в ее целом	1	1
19	или во всяком случае	1	1
20	но теперь мы должны	1	1
21	– очень важный момент	1	1
22	очень важный момент в	1	1
23	– это и есть	2	1
24	ни в какой степени	1	1
25	т.е с точки зрения	1	1
26	одной и той же	2	1
27	может быть ничего общего	1	1
28	не чем иным как	1	1
