N	3gram	Tiupa_Lite_1	Istorich
1	не может быть	1	7
2	тем не менее	2	6
3	с другой стороны	1	5
4	до сих пор	1	5
5	в большинстве случаев	1	4
6	с одной стороны	2	4
7	на то что	1	4
8	в том что	11	4
9	дело в том	2	3
10	по отношению к	2	3
11	в связи с	4	3
12	о том что	2	3
13	но все же	1	3
14	можно было бы	1	3
15	в чистом виде	1	2
16	может быть назван	1	2
17	в зависимости от	1	2
18	бы то ни	1	2
19	могли бы быть	1	2
20	в конечном итоге	1	2
21	то ни было	1	2
22	на первый взгляд	1	2
23	в отличие от	5	2
24	с самого начала	1	2
25	по этому поводу	1	2
26	ставит себе задачей	1	1
27	к тому чтобы	1	1
28	в другом месте	1	1
29	мы имеем дело	1	1
30	иметь в виду	1	1
31	какой бы то	1	1
32	мы никогда не	1	1
33	прежде всего в	3	1
34	не говоря уже	2	1
35	в обратном порядке	1	1
36	подобно тому как	2	1
37	во многих случаях	1	1
38	в соответствии с	1	1
39	это приводит к	1	1
40	как один из	1	1
41	для этой цели	1	1
42	только то что	1	1
43	в том где	1	1
44	она однако не	1	1
45	говоря уже о	1	1
46	в этой связи	1	1
47	в значительной степени	1	1
48	едва ли не	1	1
49	в это время	1	1
50	а не только	1	1
51	еще в году	2	1
52	но в то	1	1
53	не только в	4	1
54	никогда не остается	1	1
55	а не как	1	1
56	так как будто	1	1
57	быть не может	1	1
58	лишь тогда когда	1	1
59	до тех пор	1	1
60	в действительности это	1	1
61	не только на	1	1
62	в этой книге	1	1
63	в каком отношении	1	1
64	тех или иных	1	1
65	из них эти	1	1
66	и в этом	1	1
67	к тому же	1	1
68	пока еще не	1	1
69	в этом отношении	2	1
70	что он в	1	1
