N	2gram	Losev_Vlad_3	Myslijsy
1	потому что	11	49
2	для нас	5	31
3	то есть	24	30
4	и в	40	24
5	в душе	1	23
6	может быть	8	23
7	то что	28	20
8	и не	25	19
9	в том	18	18
10	а не	8	18
11	что в	17	16
12	не только	25	15
13	по себе	6	15
14	того же	2	14
15	при этом	3	13
16	не в	3	13
17	было бы	4	13
18	то же	4	12
19	но не	4	12
20	не может	14	12
21	мы не	2	11
22	таким образом	11	11
23	вместе с	7	11
24	если бы	3	11
25	что и	7	11
26	что мы	2	11
27	только в	13	11
28	как в	1	10
29	в себе	9	10
30	для него	8	10
31	так что	14	10
32	так как	7	10
33	независимо от	3	9
34	в нем	3	9
35	вовсе не	13	9
36	то и	2	9
37	но и	18	9
38	как бы	3	9
39	точно так	4	9
40	и на	6	8
41	а только	7	8
42	в этом	16	8
43	более или	5	8
44	том что	18	8
45	или менее	5	8
46	в одно	2	8
47	а в	7	8
48	в чем	3	7
49	во всех	1	7
50	с этим	2	7
51	как и	7	7
52	всяком случае	3	7
53	того как	1	7
54	не могут	2	7
55	прежде всего	10	7
56	тем что	5	7
57	того что	7	7
58	во всяком	3	7
59	что если	4	6
60	и как	7	6
61	в состоянии	1	6
62	тем не	10	6
63	в то	7	6
64	не имеет	4	6
65	связи с	2	6
66	есть только	9	6
67	и только	3	6
68	не можем	2	6
69	в одном	5	6
70	заметить что	2	6
71	с другой	5	6
72	не было	5	6
73	этого слова	1	6
74	не есть	10	6
75	в свою	1	6
76	только как	1	6
77	по поводу	1	6
78	а и	2	5
79	что они	1	5
80	все же	4	5
81	уже в	3	5
82	бы не	1	5
83	на то	4	5
84	есть не	2	5
85	не менее	9	5
86	так и	6	5
87	о том	11	5
88	а потому	1	5
89	из них	2	5
90	от того	4	5
91	в них	1	5
92	для того	2	5
93	в природе	1	5
94	и их	1	5
95	только для	1	5
96	или не	3	5
97	же в	3	5
98	в которой	2	5
99	а между	1	4
100	сам по	2	4
101	в самом	4	4
102	время как	2	4
103	еще не	4	4
104	но в	4	4
105	уже не	9	4
106	из этих	3	4
107	как он	1	4
108	так сказать	1	4
109	одно целое	1	4
110	и если	7	4
111	а вместе	1	4
112	внешнего мира	1	4
113	с тем	7	4
114	такой же	4	4
115	в котором	4	4
116	место в	1	4
