N	3gram	Medvedev_S_1	Problemy
1	по отношению к	2	5
2	то же время	1	5
3	в то же	1	5
4	сама по себе	1	4
5	в настоящее время	1	2
6	мы переходим к	1	2
7	это вовсе не	1	2
8	в конце концов	2	2
9	друг от друга	1	2
10	о том как	1	1
11	историка литературы и	1	1
12	в сущности есть	1	1
13	а между тем	1	1
14	все эти вопросы	1	1
15	и наконец в	1	1
16	в том и	1	1
17	то же самое	1	1
18	по крайней мере	1	1
19	часть нашей работы	1	1
20	с одной стороны	1	1
21	в связи с	1	1
22	дело конечно не	1	1
23	ни на что	1	1
24	может развиваться в	1	1
25	не должна быть	1	1
26	во всяком случае	1	1
27	в каждом своем	1	1
28	на этот основной	1	1
29	не может не	1	1
30	этот основной вопрос	1	1
31	конечно не в	1	1
32	в том что	2	1
