N	2gram	Losev_Dial_2	Poddanst
1	не только	19	17
2	и в	19	14
3	и не	30	12
4	в области	2	11
5	в этом	8	10
6	но в	2	9
7	то же	12	9
8	в том	14	9
9	хотя бы	4	8
10	только в	5	7
11	в то	6	7
12	же время	5	7
13	в ней	2	6
14	было бы	3	6
15	но и	12	6
16	быть может	1	6
17	в смысле	5	6
18	с другой	5	5
19	может быть	20	5
20	и пр	5	5
21	а я	2	5
22	не в	8	5
23	и о	1	5
24	в своем	4	4
25	и к	7	4
26	как бы	14	4
27	и если	4	4
28	том что	10	4
29	не может	9	4
30	и потому	5	4
31	в котором	1	4
32	по себе	18	4
33	что в	7	4
34	мы должны	2	4
35	же в	2	4
36	а в	4	4
37	то что	14	4
38	и т	17	3
39	мы не	1	3
40	в порядке	1	3
41	между тем	2	3
42	это не	10	3
43	и как	10	3
44	тот же	1	3
45	с ними	2	3
46	с одной	2	3
47	в себе	15	3
48	в нем	10	3
49	сами по	3	3
50	заключается в	4	3
51	прежде всего	8	3
52	одной стороны	1	3
53	с тем	2	3
54	что мы	2	3
55	с точки	8	3
56	но не	6	3
57	она есть	9	3
58	могут быть	4	3
59	т е	30	3
60	потому что	14	3
61	точки зрения	12	3
62	я и	2	3
63	и это	5	2
64	например в	2	2
65	в сфере	2	2
66	в ее	4	2
67	и есть	4	2
68	в мире	2	2
69	есть не	7	2
70	которую мы	1	2
71	по сравнению	1	2
72	одних и	1	2
73	есть нечто	8	2
74	только это	1	2
75	время в	1	2
76	во всех	2	2
77	в которую	1	2
78	говорить о	5	2
79	если в	2	2
80	в общем	2	2
81	во всей	1	2
82	отнюдь не	6	2
83	с этим	3	2
84	того что	6	2
85	стороны и	1	2
86	духа и	1	2
87	к чему	1	2
88	бы ни	2	2
89	есть в	2	2
90	но о	2	2
91	главным образом	1	2
92	в его	1	2
93	из них	3	2
94	в виде	2	2
95	не к	1	2
96	в силу	5	2
97	и вот	4	2
98	как раз	5	2
99	и с	5	2
100	может ли	1	2
101	именно в	2	2
102	и мы	3	2
103	и тем	1	2
104	в жизни	2	2
105	в них	1	2
106	не было	3	2
107	а не	16	2
108	должно быть	7	2
109	в эту	1	2
110	не будем	1	2
111	реальность и	1	2
112	творчества и	1	2
113	друг другу	1	2
114	не менее	3	2
115	все это	4	2
116	не о	1	2
117	на этих	1	2
118	одна из	1	2
119	сколько бы	1	2
120	она ни	1	2
121	мысль о	1	2
122	да и	6	2
123	тем более	1	2
124	может и	2	2
125	в частности	2	2
126	взгляда на	2	2
127	как на	1	2
128	от этой	1	1
129	также что	2	1
130	факт она	1	1
131	также и	2	1
132	же как	3	1
133	с другом	1	1
134	не очень	2	1
135	связана с	2	1
136	определенный момент	1	1
137	это значит?	1	1
138	и то	7	1
139	пусть не	1	1
140	тем и	1	1
141	как известно	2	1
142	протекает не	1	1
143	понять в	1	1
144	в окружающих	1	1
145	в позднем	1	1
146	суждения об	1	1
147	духа есть	1	1
148	тем же	2	1
149	культуры и	2	1
150	по преимуществу	1	1
151	к жизни	1	1
152	выражается в	1	1
153	должна быть	5	1
154	стремиться к	1	1
155	чтобы дать	1	1
156	на нее	1	1
157	за то	1	1
158	поэзии и	4	1
159	те же	1	1
160	как таковую	1	1
161	еще в	1	1
162	ибо только	1	1
163	какой она	1	1
164	что уже	2	1
165	идти в	1	1
166	в собственном	1	1
167	пор пока	1	1
168	оно есть	3	1
169	с ее	2	1
170	и ее	1	1
171	слова о	1	1
172	в некотором	1	1
173	мы и	1	1
174	и здесь	1	1
175	может не	4	1
176	ли или	1	1
177	и что	5	1
178	литературы и	1	1
179	еще не	4	1
180	были бы	1	1
181	и на	1	1
182	она всегда	1	1
183	он был	1	1
184	частях своих	1	1
185	вечности и	1	1
186	оно ни	1	1
187	в различных	1	1
188	науке и	1	1
189	бы она	1	1
190	глаза на	1	1
191	различия между	2	1
192	грань между	3	1
193	смысле не	2	1
194	не все	1	1
195	чем говорить	1	1
196	что и	5	1
197	отличие от	1	1
198	не просто	12	1
199	них в	1	1
200	все существующее	1	1
201	– по	1	1
202	интеллигенции и	4	1
203	в истории	2	1
204	к внешнему	1	1
205	тем больше	1	1
206	а она	5	1
207	тех пор	3	1
208	такова же	1	1
209	все же	4	1
210	и где	3	1
211	обе эти	1	1
212	и слова	3	1
213	в отечестве	1	1
214	мы видим	2	1
215	жизни она	1	1
216	более или	2	1
217	в какой	2	1
218	должен быть	1	1
219	не являясь	1	1
220	духа в	1	1
221	в самом	5	1
222	только то	4	1
223	но как	5	1
224	в которой	2	1
225	во времени	4	1
226	бы и	2	1
227	есть утверждение	1	1
228	что это	10	1
229	их не	1	1
230	вопрос об	4	1
231	из этих	1	1
232	если мы	2	1
233	именно на	1	1
234	в эти	1	1
235	человека с	1	1
236	себя в	2	1
237	только один	1	1
238	сливаются в	2	1
239	уже в	4	1
240	во многих	1	1
241	только на	1	1
242	в жертву	1	1
243	на то	1	1
244	если он	1	1
245	но на	1	1
246	новую и	1	1
247	философской и	1	1
248	д не	2	1
249	как оно	1	1
250	не могла	1	1
251	и наше	1	1
252	в определенном	2	1
253	религия есть	8	1
254	т д	15	1
255	только к	2	1
256	тем чтобы	1	1
257	мы знаем	1	1
258	одно из	4	1
259	есть та	3	1
260	не как	2	1
261	говорили об	1	1
262	к ним	1	1
263	друг друга	1	1
264	мы можем	1	1
265	самосознание и	1	1
266	века в	1	1
267	и только	4	1
268	само по	2	1
269	и везде	1	1
270	широко и	1	1
271	и по	4	1
272	одно и	4	1
273	эта основная	1	1
274	от нее	1	1
275	бы это	3	1
276	в каждом	2	1
277	связанные с	1	1
278	из двух	1	1
279	или иной	1	1
280	т н	1	1
281	ясно что	4	1
282	его в	3	1
283	в душе	7	1
284	и тех	1	1
285	везде и	1	1
286	некотором смысле	1	1
287	весь мир	1	1
288	было и	1	1
289	о личности	1	1
290	что не	6	1
291	в это	3	1
292	в живом	1	1
293	каком смысле	1	1
294	из нее	1	1
295	них и	1	1
296	к науке	1	1
297	и мертвых	1	1
298	далеко не	1	1
299	в этой	3	1
300	уже она	1	1
301	как и	10	1
302	и уже	3	1
303	с которым	1	1
304	как ни	2	1
305	душа и	1	1
306	и я	2	1
307	философской мысли	1	1
308	в бытии	2	1
309	не об	1	1
310	нисколько не	4	1
311	когда в	1	1
312	в одно	5	1
313	смысле на	1	1
314	нигде в	1	1
315	и еще	1	1
316	или менее	2	1
317	но до	1	1
318	бы оно	1	1
319	что если	3	1
320	от первой	1	1
321	и понятиях	1	1
322	и при	2	1
323	так же	2	1
324	представить себе	1	1
325	всяком случае	2	1
326	что именно	1	1
327	который конечно	1	1
328	поскольку они	1	1
329	знаем что	1	1
330	бы мы	1	1
331	в данном	3	1
332	вопрос о	3	1
333	сравнению с	1	1
334	в церковь	1	1
335	теми же	1	1
336	в отдельности	1	1
337	эти последние	1	1
338	и эти	1	1
339	отдельности и	1	1
340	на какие	1	1
341	и более	3	1
342	в прошлом	1	1
343	там где	1	1
344	друг с	1	1
345	существенно и	1	1
346	в предыдущем	1	1
347	и менее	1	1
348	чувство и	1	1
349	в древней	1	1
350	и очень	1	1
351	время есть	6	1
352	нет никакого	2	1
353	что есть	2	1
354	и другим	1	1
355	и –	4	1
356	сохранить и	1	1
357	что эта	1	1
358	лиц и	1	1
359	она не	8	1
360	что с	2	1
361	иной раз	5	1
362	исторического бытия	1	1
363	есть прежде	1	1
364	но для	1	1
365	которые были	2	1
366	тогда когда	6	1
367	этом смысле	1	1
368	в сферу	2	1
369	только мы	1	1
370	и образы	2	1
371	нем в	1	1
372	– все	2	1
373	та или	2	1
374	об отношении	1	1
375	не имеет	1	1
376	никогда не	9	1
377	наука и	2	1
378	и всегда	1	1
379	в результате	2	1
380	пространство в	1	1
381	о котором	3	1
382	или иным	2	1
383	пр в	1	1
384	к небу	1	1
385	два различных	1	1
386	или иная	2	1
387	область где	1	1
388	и притом	7	1
389	что по	2	1
390	другой стороны	4	1
391	только что	5	1
392	и теперь	1	1
393	в этих	3	1
394	всеми его	1	1
395	до тех	1	1
396	над ним	1	1
397	нет ничего	1	1
398	в каком	4	1
399	из тех	1	1
400	только как	3	1
401	именно о	1	1
402	знаем и	1	1
403	по одному	4	1
404	и никому	1	1
405	что все	1	1
406	и жизнь	2	1
407	есть и	6	1
408	в других	1	1
409	и самих	1	1
410	что то	1	1
411	что оно	4	1
412	к сожалению	2	1
413	мы отнюдь	1	1
414	ни на	2	1
415	видим в	1	1
416	не есть	47	1
417	вместе с	2	1
418	это в	1	1
419	который не	1	1
420	во всяком	2	1
421	они не	3	1
422	гораздо более	1	1
423	и личности	1	1
