N	3gram	Ircho_Kome_3	VrazhdaK
1	то же время	4	4
2	в то же	4	4
3	в связи с	3	3
4	с точки зрения	3	2
5	как раз в	1	2
6	в этот момент	1	2
7	и о том	1	2
8	в том что	9	2
9	его в том	1	1
10	из ненависти к	1	1
11	равно как и	1	1
12	а с точки	1	1
13	х годов в	1	1
14	в ответ на	1	1
15	в соответствии с	1	1
16	в том же	1	1
17	на первый план	1	1
18	ироническое отношение к	2	1
19	до сих пор	9	1
20	и не может	1	1
21	и во многом	1	1
22	он и не	2	1
23	в третий раз	1	1
24	в этом отношении	2	1
25	независимо от того	1	1
26	к себе на	1	1
27	по крайней мере	1	1
28	в другой раз	1	1
29	и в то	1	1
30	но в этот	1	1
31	о том как	3	1
32	едва ли не	1	1
33	в конце концов	2	1
34	но при этом	1	1
35	и в этом	1	1
36	это же время	1	1
37	во всяком случае	3	1
38	что у него	1	1
39	с другой стороны	2	1
40	как бы в	1	1
41	не последнее место	1	1
42	тем не менее	3	1
43	молодой человек в	1	1
44	с просьбой о	1	1
45	есть все основания	1	1
46	но об этом	1	1
47	в то время	2	1
48	не хочет быть	2	1
49	его отношение к	1	1
50	в это же	1	1
51	ли не самым	1	1
52	в свою очередь	6	1
53	о том что	4	1
54	и никогда не	1	1
55	и в самом	3	1
56	на этот раз	2	1
57	не с точки	1	1
58	у целого ряда	1	1
59	лет тому назад	4	1
60	на то что	1	1
61	речь идет о	3	1
