N	2gram	Nazirov_Tv_2	Istorich
1	и т	13	27
2	и в	20	26
3	т д	11	24
4	так же	5	18
5	то что	3	16
6	не только	13	15
7	может быть	8	14
8	что в	7	14
9	же как	3	13
10	но и	8	12
11	связь с	2	12
12	власть над	1	11
13	так и	6	10
14	таким образом	10	10
15	показывает что	4	10
16	и его	9	10
17	что он	6	10
18	при помощи	2	10
19	все же	5	9
20	его в	3	9
21	что и	1	9
22	так как	3	9
23	и не	9	9
24	то же	7	8
25	мы знаем	1	8
26	а в	4	8
27	в этом	8	7
28	он не	3	7
29	об этом	4	7
30	как и	6	7
31	в этих	1	7
32	во время	1	7
33	знаем что	1	7
34	их в	2	7
35	нас к	1	7
36	как в	4	7
37	превращается в	3	7
38	героя в	4	7
39	еще не	5	6
40	что они	4	6
41	мы видели	1	6
42	таким же	1	6
43	могут быть	2	6
44	в дальнейшем	4	6
45	мы видим	4	6
46	потому что	7	6
47	а не	6	6
48	не может	7	6
49	вместе с	3	6
50	предположить что	1	6
51	когда он	4	6
52	это и	1	5
53	мы уже	1	5
54	то это	1	5
55	но не	5	5
56	и как	1	5
57	но в	4	5
58	уже не	3	5
59	и только	2	5
60	в силу	1	5
61	и по	2	5
62	с собой	1	5
63	в другом	1	5
64	и с	8	5
65	это не	7	5
66	к которым	1	5
67	не в	4	5
68	точно так	1	5
69	ничего не	4	5
70	и у	2	5
71	как мы	1	5
72	и здесь	1	5
73	и что	2	5
74	в его	10	5
75	с ними	2	5
76	раньше чем	1	5
77	в одном	2	5
78	у него	6	5
79	тем что	3	5
80	до сих	3	5
81	и др	3	5
82	сих пор	3	5
83	к этому	3	5
84	в доме	1	4
85	на себя	1	4
86	в которых	3	4
87	тогда как	3	4
88	не просто	1	4
89	дает нам	1	4
90	в этот	2	4
91	но он	1	4
92	в своей	6	4
93	но эта	2	4
94	что этот	2	4
95	даже в	1	4
96	же он	1	4
97	указывает на	1	4
98	представляют собой	1	4
99	так в	2	4
100	о том	5	4
101	и даже	5	4
102	вовсе не	2	4
103	с другой	2	4
104	такое же	1	4
105	когда герой	1	4
106	а по	1	4
107	другой стороны	2	4
108	например в	5	3
109	лошади в	1	3
110	из этих	1	3
111	в одной	3	3
112	перед нами	1	3
113	его к	1	3
114	все эти	4	3
115	и и	1	3
116	на то	1	3
117	и если	2	3
118	на его	4	3
119	что она	4	3
120	при этом	8	3
121	что у	4	3
122	на земле	1	3
123	а затем	3	3
124	должен был	1	3
125	не мог	1	3
126	том что	4	3
127	от своего	1	3
128	и более	1	3
129	как это	1	3
130	меня не	1	3
131	не имеет	1	3
132	на него	2	3
133	в русской	2	3
134	через него	1	3
135	связи с	1	3
136	к себе	1	3
137	и он	2	3
138	она не	1	3
139	это для	1	3
140	в образе	3	3
141	на вопрос	1	3
142	чтобы вызвать	2	3
143	герой в	1	3
144	в том	8	3
145	только в	2	3
146	как нечто	1	3
147	или же	1	3
148	переходит в	1	3
149	и других	2	3
150	в руки	2	3
151	связан с	1	3
152	в свете	3	3
153	наряду с	7	3
154	как бы	11	3
155	для нас	1	3
156	всякого рода	2	3
157	но это	5	3
158	между ними	1	3
159	он всегда	2	3
160	и другие	1	3
161	начинается с	2	2
162	такую же	1	2
163	и есть	2	2
164	видеть в	1	2
165	и за	1	2
166	если герой	1	2
167	связана с	1	2
168	собой в	1	2
169	за это	1	2
170	то мы	1	2
171	они имеют	2	2
172	отношение к	1	2
173	предположение что	1	2
174	тут же	2	2
175	в этой	5	2
176	в истории	2	2
177	с этим	1	2
178	этой стороны	1	2
179	хотя и	4	2
180	говорит что	1	2
181	сливается с	1	2
182	что это	1	2
183	в целом	6	2
184	представляет собой	1	2
185	в себе	3	2
186	в нем	3	2
187	от которого	1	2
188	же это	1	2
189	не к	1	2
190	содержит в	1	2
191	так например	3	2
192	главным образом	1	2
193	лишь в	1	2
194	было бы	1	2
195	известно что	2	2
196	в свой	2	2
197	из них	2	2
198	он же	2	2
199	которой он	2	2
200	и их	1	2
201	что я	2	2
202	выше мы	1	2
203	все это	6	2
204	однако в	1	2
205	по себе	1	2
206	не менее	2	2
207	чтобы иметь	1	2
208	в таких	1	2
209	герою в	1	2
210	одна из	3	2
211	в тексте	1	2
212	героя а	1	2
213	что на	2	2
214	в области	1	2
215	у нас	2	2
216	случайно и	1	2
217	не могут	1	2
218	во все	1	2
219	его с	1	2
220	это происходит	1	2
221	не есть	1	2
222	я тебя	1	2
223	никогда не	11	2
224	живет в	1	2
225	вопрос этот	1	2
226	том как	1	2
227	и на	5	2
228	если бы	4	2
229	в самую	1	2
230	а у	1	2
231	этот момент	1	2
232	в современной	1	2
233	он стал	1	2
234	этот факт	2	2
235	себя в	2	2
236	так что	2	2
237	уже в	2	2
238	в виде	2	2
239	не дает	1	2
240	его и	2	2
241	ни в	1	2
242	у нее	3	2
243	только с	2	2
244	не случайно	2	2
245	не говорит	1	2
246	героя он	1	2
247	возможно что	1	2
248	он живет	1	2
249	на этот	2	2
250	а сам	1	2
251	в частности	2	2
252	не видно	1	2
253	он говорит	1	2
254	и вот	1	2
255	этого слова	1	2
256	такого рода	1	2
257	с этой	3	2
258	это уже	2	2
259	в связи	1	2
260	от него	1	2
261	в лице	4	2
262	этот вопрос	3	2
263	сказать что	1	2
264	но этот	1	2
265	на это	1	2
266	к другой	1	1
267	говорили о	1	1
268	вряд ли	1	1
269	не видим	1	1
270	с кем	1	1
271	д в	3	1
272	играют в	1	1
273	переход от	1	1
274	даже если	1	1
275	можно в	1	1
276	из его	1	1
277	века в	1	1
278	той же	1	1
279	бы уже	1	1
280	это совершенно	1	1
281	мы не	4	1
282	что если	1	1
283	и тут	1	1
284	не была	1	1
285	герой его	1	1
286	не вполне	1	1
287	предстает как	1	1
288	он был	1	1
289	он сам	3	1
290	и побежал	1	1
291	есть форма	1	1
292	в различных	1	1
293	в чем	4	1
294	это своего	1	1
295	во всех	1	1
296	говоря не	1	1
297	все по	1	1
298	как правило	2	1
299	то он	1	1
300	о смерти	1	1
301	но как	1	1
302	к которой	1	1
303	к богу	1	1
304	не все	1	1
305	если в	1	1
306	в наиболее	1	1
307	или иное	1	1
308	мы невольно	1	1
309	и я	1	1
310	общего с	1	1
311	снах и	1	1
312	было то	1	1
313	этого развития	1	1
314	однако не	1	1
315	превращался в	1	1
316	его смерти	1	1
317	и наконец	2	1
318	и к	1	1
319	имеет в	2	1
320	еще на	1	1
321	время я	1	1
322	героя через	1	1
323	думать что	1	1
324	на могиле	1	1
325	нами в	1	1
326	особое место	2	1
327	но его	1	1
328	в жертву	1	1
329	почти всегда	1	1
330	доказывать что	1	1
331	например как	1	1
332	уже тогда	1	1
333	к миру	2	1
334	интересно и	1	1
335	которой не	1	1
336	понял что	1	1
337	уже говорилось	1	1
338	том чтобы	1	1
339	дает и	1	1
340	эта же	1	1
341	героя который	1	1
342	совпадают с	1	1
343	где нет	2	1
344	а его	1	1
345	себя не	1	1
346	или наконец	2	1
347	здесь герой	1	1
348	и мы	3	1
349	то все	1	1
350	ты мне	1	1
351	но уже	3	1
352	в них	1	1
353	он из	1	1
354	этого персонажа	1	1
355	со своими	2	1
356	у древних	1	1
357	с такой	1	1
358	восходят к	1	1
359	в развитии	1	1
360	потому и	1	1
361	бога и	1	1
362	такой же	2	1
363	и тогда	2	1
364	героем и	2	1
365	в саду	1	1
366	его человеческого	2	1
367	этой связи	1	1
368	целом и	2	1
369	наконец даже	1	1
370	всему миру	2	1
371	в котором	3	1
372	древних греков	1	1
373	было очень	1	1
374	он дает	1	1
375	должны были	1	1
376	образом и	1	1
377	встречается у	1	1
378	и эти	1	1
379	сам он	1	1
380	тому что	1	1
381	это его	2	1
382	тем меньше	1	1
383	так он	2	1
384	вплоть до	1	1
385	место занимает	1	1
386	о значении	1	1
387	в то	10	1
388	и имеет	1	1
389	он пытается	1	1
390	это сделать	1	1
391	в русском	1	1
392	к ней	1	1
393	и является	1	1
394	и глаза	1	1
395	его он	1	1
396	со своим	1	1
397	и прекрасным	1	1
398	наследство в	1	1
399	мы и	1	1
400	в основе	2	1
401	однако это	2	1
402	ему не	1	1
403	и несколько	1	1
404	одним из	3	1
405	сюжета в	1	1
406	у меня	1	1
407	если у	2	1
408	в момент	1	1
409	года он	3	1
410	он имел	1	1
411	только еще	1	1
412	к тому	1	1
413	многих и	1	1
414	ничего общего	1	1
415	ли вы	1	1
416	и это	3	1
417	именно эту	1	1
418	меня в	1	1
419	на другой	1	1
420	это наблюдение	1	1
421	на основе	1	1
422	то время	1	1
423	в пределах	1	1
424	приводит к	2	1
425	роль в	2	1
426	время путешествия	1	1
427	ясно что	1	1
428	особенно в	2	1
429	отождествляется с	1	1
430	об этой	1	1
431	во второй	1	1
432	веры в	1	1
433	жизнь и	1	1
434	с героем	1	1
435	является в	1	1
436	между собой	1	1
437	по мере	1	1
438	быту и	1	1
439	с ним	3	1
440	в виду	1	1
441	а к	1	1
442	что дает	1	1
443	о нем	1	1
444	форма более	1	1
445	характер этого	1	1
446	одного из	1	1
447	мог бы	1	1
448	особое значение	1	1
449	происходит не	1	1
450	как наиболее	1	1
451	важно не	1	1
452	и эту	1	1
453	совершенно как	1	1
454	наук в	1	1
455	и любой	1	1
456	в середине	1	1
457	или купец	1	1
458	один из	3	1
459	но тот	1	1
460	взят из	1	1
461	человека в	3	1
462	тот же	1	1
463	одной из	3	1
464	по возвращении	1	1
465	который по	1	1
466	исследователя но	1	1
467	может оказаться	1	1
468	по мнению	3	1
469	он действует	1	1
470	области к	1	1
471	или его	1	1
472	а только	1	1
473	не можем	1	1
474	своего рода	3	1
475	в большинстве	1	1
476	друг за	1	1
477	берет в	1	1
478	в начале	3	1
479	еще одну	1	1
480	здесь же	1	1
481	был бы	1	1
482	в дальние	1	1
483	но нет	1	1
484	руки и	1	1
485	говорит ему	1	1
486	друг друга	2	1
487	д такое	1	1
488	случае с	1	1
489	и вдруг	2	1
490	как раз	1	1
491	не из	1	1
492	смерти и	1	1
493	замыкаются в	1	1
494	во власти	1	1
495	представление о	7	1
496	для исследователя	1	1
497	со стороны	1	1
498	как у	3	1
499	показано как	1	1
500	интересно в	1	1
501	именно в	6	1
502	к которому	2	1
503	уходит в	1	1
504	при всей	1	1
505	а с	3	1
506	борьбе со	1	1
507	понять этот	1	1
508	что не	3	1
509	его из	1	1
510	прежде всего	8	1
511	связано с	1	1
512	не было	2	1
513	зависит от	2	1
514	человек в	1	1
515	и нашли	1	1
516	ли здесь	1	1
517	ситуации с	1	1
518	под влиянием	1	1
519	есть одно	1	1
520	действия в	1	1
521	уже давно	1	1
522	и она	1	1
523	из форм	1	1
524	всегда является	1	1
525	за другом	1	1
526	не знал	2	1
527	после его	1	1
528	к жизни	2	1
529	что за	1	1
530	но сам	1	1
531	что же	1	1
532	года в	7	1
533	у этого	1	1
534	как будто	1	1
535	в основном	6	1
536	перед смертью	1	1
537	это явление	1	1
538	в результате	1	1
539	на иконах	1	1
540	или нет	1	1
541	еще более	1	1
542	и ни	1	1
543	ни к	2	1
544	будто бы	1	1
545	но если	2	1
546	нем самом	1	1
547	это все	2	1
548	персонажа и	1	1
549	не знает	1	1
550	только как	1	1
551	пришел к	1	1
552	вопрос так	1	1
553	четыре раза	1	1
554	в голову	1	1
555	но эти	2	1
556	собой лишь	1	1
557	а я	2	1
558	что вообще	1	1
559	видим в	2	1
560	в своих	3	1
561	по поводу	1	1
562	тем самым	4	1
563	как на	1	1
564	том числе	1	1
565	и вновь	1	1
