N	3gram	Vinokur_Ku_1	Myslijsy
1	по отношению к	8	13
2	в том что	15	13
3	не может быть	3	9
4	только в том	3	6
5	тем не менее	4	6
6	что язык есть	2	5
7	с другой стороны	6	5
8	потому что не	2	4
9	не в том	4	4
10	в свою очередь	3	4
11	само по себе	1	4
12	в этом смысле	3	4
13	в том смысле	1	4
14	только тогда когда	1	4
15	и т д	14	4
16	мере того как	3	3
17	по мере того	3	3
18	с точки зрения	9	3
19	с тем что	1	3
20	в противном случае	1	3
21	в языке есть	1	3
22	с одной стороны	1	3
23	на язык как	2	3
24	а в том	2	3
25	то же время	2	3
26	так и в	2	3
27	что и в	1	3
28	не только в	1	3
29	в то же	2	3
30	мы увидим что	2	3
31	и может быть	1	2
32	что иное как	1	2
33	можно себе представить	1	2
34	только потому что	6	2
35	в том и	2	2
36	так что в	1	2
37	язык как на	1	2
38	на этот вопрос	1	2
39	притом не только	1	2
40	по крайней мере	5	2
41	и притом не	1	2
42	но с другой	1	2
43	к тому что	2	2
44	в применении к	1	2
45	и потому что	2	2
46	и с этой	1	2
47	применении к языку	1	2
48	для того чтобы	15	2
49	все то что	1	2
50	мысли в языке	1	2
51	и того же	2	2
52	и т п	18	2
53	что в языке	1	2
54	одного и того	2	2
55	не что иное	1	2
56	и понимания язык	1	2
57	друг от друга	1	2
58	в них не	1	2
59	влияние произвола как	1	1
60	еще более очевидна	1	1
61	в том виде	1	1
62	на том что	1	1
63	в языке в	1	1
64	говорят же люди	1	1
65	несправедливо будто на	1	1
66	уже при самом	1	1
67	того что в	2	1
68	это было бы	1	1
69	слова потому что	1	1
70	не говоря уже	1	1
71	для человека но	1	1
72	на самом деле	2	1
73	же невозможно влияние	1	1
74	во многих случаях	1	1
75	того или другого	1	1
76	оставляя в стороне	1	1
77	языка не есть	1	1
78	и там где	1	1
79	в языке с	1	1
80	в живой речи	1	1
81	случаев в которых	1	1
82	чтобы показать что	1	1
83	оно не в	1	1
84	звуки и что	1	1
85	потому что так	2	1
86	как предмет лингвистики	1	1
87	сами по себе	1	1
88	в этих последних	1	1
89	в истории языка	1	1
90	не потому что	3	1
91	не есть нечто	1	1
92	в этом отношении	5	1
93	тогда когда в	1	1
94	в собственном смысле	1	1
95	до сих пор	4	1
96	язык как предмет	1	1
97	обратить внимание на	2	1
98	т п с	1	1
99	можно было бы	3	1
100	языка таким образом	1	1
101	предмет лингвистики так	1	1
102	языка должна быть	1	1
103	что же до	2	1
104	до того что	1	1
105	с этой точки	1	1
106	что ничего не	1	1
107	в разных языках	1	1
108	но язык как	1	1
109	было бы сказать	1	1
110	более или менее	3	1
111	так же невозможно	1	1
112	так же как	1	1
113	так как каждое	1	1
114	от того что	1	1
115	что мы имеем	1	1
116	заключается в том	2	1
117	смысле этого слова	1	1
118	в связи с	3	1
119	связанная с ним	1	1
120	потому что оно	1	1
121	том что язык	1	1
122	ли в этом	1	1
123	совершенно несправедливо будто	1	1
124	история языка должна	1	1
125	потому что она	1	1
126	ни причины ни	1	1
127	если они не	1	1
128	люди на чужих	1	1
129	еще и потому	1	1
130	во всяком случае	5	1
131	же люди на	1	1
132	как одно из	1	1
133	между тем как	1	1
134	именно в том	2	1
135	что несмотря на	1	1
136	и грамматических форм	1	1
137	не только потому	1	1
138	и в таком	1	1
139	это потому что	1	1
140	т д не	1	1
141	и все же	1	1
142	как и всякая	1	1
143	д и т	2	1
144	как указания на	1	1
145	невозможно соловью поменяться	1	1
146	том смысле что	1	1
147	языка в каждую	1	1
148	лишь в том	1	1
149	после того как	1	1
150	и тем самым	1	1
151	о том что	5	1
152	этой точки зрения	2	1
153	от мысли и	1	1
154	и в слове	1	1
155	каждом из этих	1	1
156	но все же	2	1
157	было бы ошибочно	1	1
158	на то что	2	1
159	невозможно влияние произвола	1	1
160	что не все	1	1
161	т п и	1	1
162	в каких эти	1	1
163	в каждом из	2	1
164	в первом случае	1	1
165	таким образом в	1	1
166	нужно было бы	2	1
167	что в них	2	1
168	лингвистики так же	1	1
169	мысли потому что	1	1
170	того как мы	1	1
171	лицом к лицу	1	1
172	произвола как невозможно	1	1
173	точно так же	1	1
174	можно и должно	1	1
175	как невозможно соловью	1	1
176	имеют для нас	1	1
177	не следует думать	1	1
178	будто на язык	1	1
