1	в то же	3	5
2	то же время	3	5
3	в самом деле	2	5
4	и прежде всего	1	5
5	в том что	2	4
6	до сих пор	2	3
7	не могут быть	2	3
8	не может быть	4	3
9	можно сказать что	1	3
10	в данном случае	1	3
11	но в то	1	3
12	хотя бы и	2	2
13	в этом отношении	2	2
14	у нас в	1	2
15	сам по себе	1	2
16	уже знакомый нам	1	1
17	или по крайней	1	1
18	на первый взгляд	1	1
19	что он и	1	1
20	мы полагаем что	1	1
21	т.е то что	1	1
22	является одним из	1	1
23	а между тем	2	1
24	по крайней мере	2	1
25	оно все же	1	1
26	быть не может	1	1
27	равно как и	1	1
28	органического единства и	1	1
29	это было бы	1	1
30	с одной стороны	1	1
31	не было бы	1	1
32	в конечном счете	4	1
33	бы то ни	3	1
34	может пройти мимо	1	1
35	сводится к следующему	1	1
36	не может пройти	1	1
37	в своей совокупности	1	1
38	в этом случае	1	1
39	все же остается	1	1
40	и быть не	1	1
