N	2gram	Vinokur_St_1	VelikijI
1	и не	16	20
2	и в	44	16
3	так как	5	9
4	то что	18	9
5	еще не	3	8
6	в истории	3	8
7	что они	7	7
8	а не	16	7
9	и потому	2	7
10	на себя	1	5
11	но и	10	5
12	того что	9	5
13	хотя и	1	5
14	все это	5	5
15	как бы	4	5
16	и есть	1	4
17	говорить о	2	4
18	во мне	1	4
19	свою личность	1	4
20	в его	9	4
21	и я	3	4
22	в этом	21	4
23	что он	10	4
24	потому что	6	4
25	в нем	5	4
26	так и	9	4
27	что все	2	4
28	что не	3	4
29	как и	9	4
30	что мы	5	4
31	в котором	5	4
32	в ней	3	4
33	великих и	1	4
34	и все	2	4
35	от этого	2	3
36	и что	4	3
37	должна быть	3	3
38	за то	3	3
39	хотя бы	6	3
40	то это	3	3
41	лишь в	3	3
42	в чем	3	3
43	с его	1	3
44	во всех	8	3
45	что и	6	3
46	счастье и	1	3
47	в том	36	3
48	тот же	1	3
49	но в	10	3
50	в вопросе	1	3
51	бы и	4	3
52	по этому	3	3
53	все эти	5	3
54	от которого	1	3
55	в конце	3	3
56	их в	2	3
57	в своей	6	3
58	ни в	3	3
59	в них	1	3
60	не было	4	3
61	не верит	1	3
62	отвращение к	2	3
63	если не	2	3
64	в этих	2	3
65	что во	2	3
66	что я	1	3
67	и против	1	3
68	не в	12	3
69	тому что	3	3
70	но это	6	3
71	не имеет	4	3
72	никогда не	5	3
73	превращается в	2	3
74	и для	3	3
75	к тому	1	3
76	жизни и	5	3
77	что в	30	3
78	оно не	1	3
79	а между	1	2
80	и это	2	2
81	того чтобы	11	2
82	и то	5	2
83	не имел	1	2
84	и сам	2	2
85	и т	30	2
86	можно было	13	2
87	и за	3	2
88	его не	1	2
89	мы не	2	2
90	когда в	1	2
91	что от	2	2
92	в последнем	1	2
93	и во	2	2
94	к нам	1	2
95	между тем	3	2
96	я думаю	11	2
97	нет и	1	2
98	материалом для	1	2
99	вот по	1	2
100	только в	10	2
101	те которые	1	2
102	конечно не	2	2
103	уже не	1	2
104	не только	18	2
105	его и	1	2
106	не так	1	2
107	для него	6	2
108	не хотел	1	2
109	в прошлом	1	2
110	и никогда	1	2
111	тем что	5	2
112	на том	1	2
113	в число	1	2
114	так не	1	2
115	это не	8	2
116	т д	21	2
117	а с	3	2
118	прежде всего	7	2
119	для них	1	2
120	с тем	1	2
121	вопросе о	1	2
122	и тогда	2	2
123	более чем	2	2
124	этому пути	1	2
125	не могут	1	2
126	является в	1	2
127	а есть	1	2
128	что было	1	2
129	да и	3	2
130	это дело	2	2
131	одна из	1	2
132	что их	1	2
133	том что	29	2
134	тот кто	1	2
135	для нас	7	2
136	в форме	1	2
137	а в	17	2
138	но не	3	2
139	в духе	1	2
140	могут быть	5	2
141	во всяком	6	2
142	если б	1	1
143	речь идет	4	1
144	как мы	1	1
145	в виду	1	1
146	для себя	3	1
147	в ее	4	1
148	ни стало	1	1
149	и говорит	1	1
150	и до	1	1
151	не имеют	1	1
152	скрыть от	1	1
153	то же	5	1
154	и могут	1	1
155	лет назад	2	1
156	их и	1	1
157	на путь	1	1
158	в результате	3	1
159	это только	1	1
160	вопрос о	4	1
161	основана на	1	1
162	и вообще	3	1
163	не была	2	1
164	который был	1	1
165	свое дело	1	1
166	никогда и	1	1
167	я не	7	1
168	он упрекает	1	1
169	зависимости от	1	1
170	слова сказанные	1	1
171	думаю что	5	1
172	и на	1	1
173	он был	3	1
174	после того	1	1
175	и который	1	1
176	бы то	1	1
177	отказ от	1	1
178	конечно это	2	1
179	все в	2	1
180	что оно	3	1
181	к нему	2	1
182	но как	1	1
183	могут и	1	1
184	если в	2	1
185	с которыми	2	1
186	присутствует в	1	1
187	в новом	4	1
188	а потому	2	1
189	но нет	1	1
190	бы в	1	1
191	не просто	1	1
192	хотел бы	2	1
193	крайней мере	2	1
194	и можно	2	1
195	что бы	1	1
196	во что	1	1
197	снять с	1	1
198	это самое	1	1
199	которыми можно	1	1
200	как в	13	1
201	в своем	2	1
202	потребность в	1	1
203	с именем	1	1
204	что нет	2	1
205	все же	8	1
206	но с	3	1
207	д и	2	1
208	для таких	1	1
209	в двух	3	1
210	мы а	1	1
211	и так	3	1
212	это очень	3	1
213	в самом	7	1
214	у них	1	1
215	в которой	4	1
216	что это	4	1
217	бы ни	1	1
218	в целом	5	1
219	существует лишь	1	1
220	в этой	11	1
221	в известном	1	1
222	это тот	1	1
223	же и	4	1
224	им в	1	1
225	он делает	1	1
226	я в	1	1
227	личности но	1	1
228	уже в	2	1
229	от необходимости	1	1
230	в виде	3	1
231	по словам	4	1
232	слова не	1	1
233	каким образом	1	1
234	в праве	1	1
235	являться в	1	1
236	о которой	3	1
237	говорит что	3	1
238	одно целое	1	1
239	опять-таки не	2	1
240	чем у	2	1
241	и вот	1	1
242	вовсе не	19	1
243	не для	2	1
244	отношение к	2	1
245	нашего времени	1	1
246	в недостаточной	1	1
247	так часто	1	1
248	но что	1	1
249	у него	2	1
250	и по	5	1
251	бы все	3	1
252	он так	1	1
253	тут не	2	1
254	бы это	2	1
255	для того	10	1
256	представляю себе	1	1
257	им по	1	1
258	то ни	1	1
259	их во	1	1
260	не были	1	1
261	и с	3	1
262	было не	2	1
263	не надо	2	1
264	с другой	9	1
265	кто знает	2	1
266	его личности	1	1
267	в глазах	1	1
268	тот который	1	1
269	еще и	2	1
270	и тем	3	1
271	были в	1	1
272	говорит о	3	1
273	них и	1	1
274	мы так	1	1
275	не всегда	2	1
276	и уже	2	1
277	о чем	1	1
278	только несколько	1	1
279	и своим	1	1
280	и было	1	1
281	него не	1	1
282	в одно	1	1
