N	3gram	Bakhtin_fo_2	Analitik
1	о том что	1	6
2	в том что	3	6
3	в данном случае	1	5
4	с одной стороны	1	4
5	и в этом	3	4
6	в этом случае	2	4
7	в этом отношении	2	3
8	той или иной	1	3
9	как и в	1	3
10	с точки зрения	8	2
11	в то же	4	2
12	то есть в	1	2
13	не только в	5	2
14	в отличие от	1	2
15	с другой стороны	1	2
16	в частности в	1	2
17	то же время	4	2
18	в борьбе с	2	2
19	жизни но и	1	1
20	особое место в	1	1
21	можно сказать что	1	1
22	почти вовсе не	1	1
23	жизни но эта	1	1
24	с установкой на	1	1
25	и во всех	2	1
26	при взгляде на	1	1
27	сами по себе	2	1
28	из того же	1	1
29	но и в	3	1
30	между тем как	1	1
31	во всех этих	3	1
32	с самим собою	1	1
33	как она была	1	1
34	каждом из них	2	1
35	с другом в	1	1
36	значении этого слова	1	1
37	со всех сторон	1	1
38	с этой точки	1	1
39	на каждом из	1	1
40	особое внимание в	1	1
41	как бы уже	1	1
42	и все его	1	1
43	жизнь и смерть	2	1
44	и то же	1	1
45	однако в пределах	1	1
46	до некоторой степени	1	1
47	это имеет место	1	1
48	в свою очередь	1	1
49	в связи с	7	1
50	так и на	1	1
51	одно и то	1	1
52	прежде всего в	2	1
53	то что на	1	1
54	в наибольшей степени	1	1
55	этой точки зрения	1	1
56	пространственных и временных	1	1
57	всех этих случаях	1	1
58	одни из них	1	1
59	не может быть	1	1
60	в этом ряду	2	1
61	времени и пространстве	1	1
62	состоит именно в	1	1
63	один из многих	1	1
64	точки зрения может	1	1
65	к тому что	1	1
66	друг с другом	4	1
67	то же самое	2	1
68	и имеет отношение	1	1
