N	3gram	Tiupa_Lite_2	KFilosof
1	по отношению к	3	21
2	не может быть	7	11
3	с точки зрения	3	10
4	по отношению ко	1	4
5	в данный момент	1	3
6	на самом деле	1	3
7	отношению ко всему	1	3
8	в своих границах	1	2
9	в соответствии с	1	2
10	бы то ни	1	2
11	то ни было	1	2
12	во всех этих	1	2
13	то же время	9	2
14	той или иной	1	2
15	в то же	9	2
16	тем не менее	2	2
17	в том что	5	2
18	себя в другом	1	1
19	не укоренен в	1	1
20	нет и не	1	1
21	какого бы то	1	1
22	он не может	1	1
23	со мной как	1	1
24	в основе своей	1	1
25	вместе с тем	1	1
26	и то что	1	1
27	и в то	1	1
28	это и не	1	1
29	найти себя в	1	1
30	для себя а	1	1
31	в себя и	1	1
32	ее и в	1	1
33	не в том	1	1
34	единственное и незаменимое	1	1
35	быть не может	1	1
36	я не могу	1	1
37	для того чтобы	1	1
38	со мной в	1	1
39	я в мире	1	1
40	мы не можем	1	1
41	что может быть	1	1
42	в свою очередь	1	1
43	в конечном счете	5	1
44	и пространства и	1	1
45	к тому что	1	1
46	для нас как	1	1
47	не отменяет а	1	1
48	то же самое	1	1
