1	все это	4	7
2	в том	9	5
3	в этом	25	5
4	и в	50	3
5	в его	13	3
6	не в	5	3
7	не только	9	3
8	для нас	2	3
9	и только	1	3
10	отношению к	5	2
11	том что	4	2
12	как бы	2	2
13	по отношению	3	2
14	главным образом	1	2
15	далеко не	2	2
16	только в	4	2
17	как только	1	2
18	она может	1	2
19	то же	11	2
20	может быть	11	2
21	что в	5	2
22	в конце	9	2
23	в частности	6	2
24	их между	1	2
25	по существу	12	2
26	то что	6	2
27	было бы	2	2
28	еще не	5	2
29	в результате	6	2
30	ведь это	1	2
31	по природе	2	2
32	дело не	1	2
33	но и	8	2
34	или даже	1	2
35	тем более	1	2
36	таким образом	11	2
37	наконец в	1	1
38	но не	5	1
39	бы он	1	1
40	а в	3	1
41	в данном	2	1
42	еще и	2	1
43	и не	14	1
44	сама по	1	1
45	связь между	2	1
46	быть для	1	1
47	его в	3	1
48	для изучения	1	1
49	в него	1	1
50	на следующий	2	1
51	писатель как	1	1
52	даже не	2	1
53	в котором	4	1
54	бы в	1	1
55	в те	1	1
56	одной стороны	2	1
57	один из	3	1
58	тем что	2	1
59	из себя	1	1
60	они не	3	1
61	те же	2	1
62	у него	6	1
63	единства и	2	1
64	прежде всего	15	1
65	и как	10	1
66	с другой	2	1
67	он ни	1	1
68	что он	1	1
69	о том	1	1
70	с одной	3	1
71	так и	12	1
72	что это	1	1
73	образом в	1	1
74	связи с	6	1
75	литературе мы	1	1
76	все то	2	1
77	новое и	2	1
78	в целом	2	1
79	и его	16	1
80	два или	1	1
81	в то	9	1
82	что все	2	1
83	хотя бы	2	1
84	в строгом	2	1
85	и по	2	1
86	тем же	1	1
87	свои права	1	1
88	место в	2	1
89	не меняет	1	1
90	именно в	3	1
91	на отдельные	1	1
92	по самому	2	1
93	все же	6	1
94	в мире	1	1
95	мы еще	3	1
96	обходится без	1	1
97	в процессе	4	1
98	на ней	1	1
99	перед нами	1	1
100	два типа	1	1
101	и более	1	1
102	между собою	1	1
103	не может	6	1
104	на первый	1	1
105	по себе	2	1
106	но она	2	1
107	или не	2	1
108	в этой	1	1
109	как и	8	1
110	и есть	1	1
111	изучения и	1	1
112	но как	1	1
113	отнюдь не	5	1
114	психологии и	1	1
115	ровно ничего	1	1
116	первый план	1	1
117	ничего не	9	1
118	в каждом	1	1
119	характера это	1	1
120	в этих	3	1
121	внутреннего единства	1	1
122	конечно не	4	1
123	в таких	1	1
124	в связи	5	1
125	между ними	3	1
126	тех кто	1	1
127	в сущности	3	1
128	вступает в	2	1
129	во всяком	3	1
130	никогда не	2	1
131	тотчас же	1	1
132	социальной группой	1	1
133	в свои	1	1
134	для наших	1	1
135	я и	1	1
136	мы не	3	1
137	всяком случае	1	1
138	слова но	1	1
139	не без	2	1
140	все эти	9	1
141	с помощью	2	1
142	вовсе не	13	1
143	это не	6	1
144	мы должны	2	1
145	в чем	2	1
146	между собой	4	1
147	мы понимаем	1	1
148	в них	4	1
149	вопросом о	1	1
150	же время	9	1
151	и наконец	1	1
152	себя по	1	1
153	этого и	1	1
154	в своей	2	1
155	и потому	3	1
156	с ним	2	1
157	время в	6	1
158	не было	7	1
159	когда мы	1	1
160	не место	2	1
161	свойств и	1	1
