N	2gram	Savitsky_P_1	Istorich
1	и в	14	24
2	не только	17	21
3	и т	3	17
4	т д	1	16
5	т е	3	16
6	может быть	5	14
7	не может	4	14
8	что в	4	13
9	в этих	1	13
10	в этом	10	12
11	в ином	1	12
12	и здесь	1	12
13	но и	6	11
14	это не	3	10
15	том что	4	10
16	и что	1	10
17	мы видим	1	10
18	а в	4	10
19	все же	1	9
20	с другой	5	9
21	не в	5	9
22	потому что	3	9
23	и другие	1	9
24	то же	9	8
25	еще не	1	8
26	что и	1	8
27	другой стороны	1	8
28	а не	2	8
29	все это	2	8
30	во всех	2	7
31	то что	4	7
32	одна из	2	7
33	с собой	1	7
34	в том	9	7
35	вместе с	1	7
36	что это	1	6
37	но не	3	6
38	в нем	3	6
39	как и	1	6
40	для нас	2	6
41	того что	2	6
42	только в	7	6
43	так же	1	6
44	с одной	3	5
45	но в	9	5
46	не менее	2	5
47	в русской	4	5
48	представляют собой	1	5
49	одной стороны	3	5
50	там где	1	5
51	эта задача	1	5
52	же как	1	4
53	мы не	3	4
54	представляет собой	1	4
55	как бы	4	4
56	мы можем	1	4
57	точки зрения	3	4
58	не имеет	1	4
59	никогда не	1	4
60	в других	1	4
61	совершенно ясно	1	4
62	с того	1	4
63	а она	1	4
64	в данном	1	4
65	и не	12	4
66	случаях когда	1	4
67	мы должны	4	4
68	есть и	1	4
69	например в	2	3
70	не вполне	1	3
71	в различных	1	3
72	с его	1	3
73	хотя и	3	3
74	из этих	1	3
75	на то	1	3
76	если он	1	3
77	и если	4	3
78	и по	1	3
79	его в	1	3
80	в них	2	3
81	знаем что	1	3
82	вопрос о	1	3
83	тогда когда	1	3
84	не все	1	3
85	и этим	1	3
86	не столько	2	3
87	в качестве	9	3
88	уже в	1	3
89	между прочим	2	3
90	возможно что	1	3
91	но есть	1	3
92	в свете	1	3
93	что мы	3	3
94	в русских	1	2
95	на себя	1	2
96	и ее	1	2
97	их не	1	2
98	и на	1	2
99	что его	1	2
100	если в	2	2
101	со стороны	2	2
102	не просто	1	2
103	что во	1	2
104	с этим	2	2
105	как условие	1	2
106	стороны и	2	2
107	что по	1	2
108	в самом	1	2
109	в которой	1	2
110	во многих	1	2
111	думать что	2	2
112	связанные с	1	2
113	в силу	2	2
114	было бы	6	2
115	и тем	2	2
116	может идти	1	2
117	в котором	4	2
118	того кто	1	2
119	она не	1	2
120	в то	7	2
121	друг друга	1	2
122	что при	1	2
123	и это	2	2
124	в ее	2	2
125	какой обстановке	1	2
126	восходит к	1	2
127	тем более	2	2
128	тот же	3	2
129	только на	1	2
130	что не	1	2
131	из них	2	2
132	мы знаем	1	2
133	прежде всего	3	2
134	к ним	1	2
135	связаны с	1	2
136	что из	2	2
137	в иной	1	2
138	и о	5	2
139	в основном	1	2
140	есть знак	1	2
141	но для	1	2
142	задач мы	1	2
143	в отдельности	1	2
144	они не	1	2
145	отношения к	2	1
146	связана с	1	1
147	как известно	1	1
148	от этой	1	1
149	к этой	1	1
150	смысл этого	1	1
151	должна быть	1	1
152	и ясный	1	1
153	есть не	2	1
154	очень далеко	1	1
155	и злой	1	1
156	что если	1	1
157	бы что	1	1
158	что уже	1	1
159	мир с	1	1
160	в некотором	1	1
161	это значит?	1	1
162	в ней	6	1
163	более или	1	1
164	он был	1	1
165	в которых	5	1
166	что то	1	1
167	или все	1	1
168	и леса	1	1
169	что именно	1	1
170	вот как	1	1
171	в своем	4	1
172	выражены в	1	1
173	и как	3	1
174	в северной	2	1
175	и к	4	1
176	духа и	2	1
177	северной америке	3	1
178	в этой	1	1
179	в известном	1	1
180	е с	6	1
181	в наших	1	1
182	не могла	1	1
183	бы ни	2	1
184	из авторов	1	1
185	образом на	2	1
186	есть та	1	1
187	и вот	2	1
188	значения но	1	1
189	ему на	1	1
190	в каждом	1	1
191	и признаки	1	1
192	имеют в	1	1
193	о соединении	1	1
194	духа в	1	1
195	далеко не	1	1
196	на основании	1	1
197	с тем	3	1
198	и уже	1	1
199	должно быть	2	1
200	когда в	1	1
201	или менее	1	1
202	и при	1	1
203	которую мы	2	1
204	и без	3	1
205	бесконечное количество	1	1
206	имеют одновременно	1	1
207	с точки	3	1
208	должна в	1	1
209	друг другу	2	1
