N	3gram	Ircho_Kome_3	Tvorches
1	в то же	4	13
2	то же время	4	12
3	в том что	9	6
4	о том что	4	5
5	в конечном счете	2	4
6	в соответствии с	1	3
7	с самого начала	4	3
8	и т п	3	2
9	по крайней мере	1	2
10	в этой связи	2	2
11	можно сказать что	1	2
12	и в то	1	2
13	тем не менее	3	2
14	человека и его	1	2
15	и в свою	1	1
16	в чем он	1	1
17	все тот же	1	1
18	хотя и не	2	1
19	до того в	1	1
20	чуть ли не	1	1
21	и как раз	1	1
22	равно как и	1	1
23	имеем в виду	1	1
24	в настоящее время	1	1
25	приходит к мысли	1	1
26	то же самое	3	1
27	в том же	1	1
28	по отношению к	3	1
29	отношении к ней	1	1
30	до сих пор	9	1
31	что он не	2	1
32	в отличие от	1	1
33	в первую очередь	1	1
34	к человеку и	1	1
35	свою вину и	1	1
36	бы то ни	2	1
37	за то что	1	1
38	приходит в ужас	1	1
39	вместе с тем	3	1
40	и далеко не	1	1
41	в ужас от	1	1
42	то ни было	2	1
43	с одной стороны	3	1
44	в конце концов	2	1
45	но при этом	1	1
46	само собой разумеющимся	1	1
47	в этот момент	1	1
48	в связи с	3	1
49	что у него	1	1
50	мы находим у	1	1
51	в свою очередь	6	1
52	и в самом	3	1
53	мы имеем в	1	1
54	с другой стороны	2	1
55	таким образом и	1	1
56	к тому что	1	1
57	в отношении к	1	1
58	и в герое	1	1
59	в моей жизни	1	1
60	к тому же	4	1
61	и т д	1	1
