N	3gram	Tiupa_Narr_1	Myslijsy
1	по отношению к	3	13
2	в том что	5	13
3	не может быть	4	9
4	тем не менее	3	6
5	с другой стороны	1	5
6	потому что в	1	4
7	но и в	2	4
8	в свою очередь	2	4
9	само по себе	1	4
10	и т д	1	4
11	мере того как	1	3
12	подобно тому как	3	3
13	по мере того	1	3
14	с точки зрения	1	3
15	потому что на	1	3
16	с одной стороны	1	3
17	то же время	4	3
18	и как бы	1	3
19	не только в	6	3
20	в то же	4	3
21	что иное как	1	2
22	только потому что	1	2
23	дело в том	2	2
24	в разные времена	1	2
25	бы то ни	1	2
26	что не только	1	2
27	заключает в себе	2	2
28	по крайней мере	1	2
29	к тому что	1	2
30	и потому что	1	2
31	для того чтобы	3	2
32	не могла бы	1	2
33	и того же	1	2
34	одного и того	1	2
35	если бы не	1	2
36	друг от друга	1	2
37	как и в	1	2
38	это могло бы	1	1
39	сменяющие друг друга	1	1
40	и в жизни	1	1
41	нам только в	1	1
42	а не в	1	1
43	на самом деле	1	1
44	имеют для них	1	1
45	это все равно	1	1
46	в ответ на	1	1
47	мы не можем	1	1
48	и не только	1	1
49	сам по себе	1	1
50	сами по себе	2	1
51	том как именно	1	1
52	в его душе	1	1
53	только то что	1	1
54	в этом отношении	3	1
55	том что именно	1	1
56	из того что	1	1
57	до сих пор	2	1
58	но и самого	1	1
59	она может быть	1	1
60	как если бы	2	1
61	в ней не	1	1
62	более или менее	1	1
63	то ни было	1	1
64	в этом месте	2	1
65	может быть не	2	1
66	рода но и	1	1
67	жизни но и	1	1
68	в связи с	2	1
69	но при этом	1	1
70	друг на друга	2	1
71	и совершенно не	1	1
72	точки зрения но	1	1
73	еще и потому	1	1
74	столь же мало	1	1
75	во всяком случае	2	1
76	на рубеже двух	1	1
77	не мог бы	1	1
78	и все же	2	1
79	никак не могло	1	1
80	по себе а	1	1
81	то что мы	1	1
82	свою очередь не	1	1
83	имея в виду	1	1
84	лишь в том	1	1
85	и тем самым	4	1
86	о том что	2	1
87	только в слове	1	1
88	и не могло	1	1
89	но все же	1	1
90	на то что	2	1
91	в первом случае	3	1
92	останется для нас	1	1
93	точно так же	1	1
94	стало быть не	1	1
95	как мы видели	1	1
