N	2gram	Losev_Prob_4	Sotsiolo
1	все это	9	7
2	в том	20	5
3	в этом	9	5
4	и только	4	3
5	как же	2	3
6	для нас	6	3
7	не только	24	3
8	и в	20	3
9	но ведь	1	3
10	не в	13	3
11	в его	3	3
12	за пределы	2	2
13	но и	14	2
14	конце концов	1	2
15	было бы	14	2
16	в смысле	5	2
17	исторического развития	1	2
18	только в	23	2
19	дело не	3	2
20	далеко не	2	2
21	в результате	8	2
22	тем более	4	2
23	том что	12	2
24	в частности	2	2
25	как будто	11	2
26	то что	15	2
27	или даже	4	2
28	и что	2	2
29	еще не	7	2
30	ведь это	1	2
31	таким образом	8	2
32	это и	4	2
33	в конце	2	2
34	что в	3	2
35	может быть	9	2
36	как бы	4	2
37	то же	7	2
38	крайней мере	6	1
39	тотчас же	2	1
40	что все	1	1
41	по себе	11	1
42	даже в	1	1
43	сама по	2	1
44	диалектического материализма	1	1
45	сказать и	1	1
46	в этой	4	1
47	тому что	1	1
48	отнюдь не	10	1
49	эти два	1	1
50	выходит за	2	1
51	этой области	1	1
52	на все	2	1
53	и самые	1	1
54	с другой	7	1
55	его в	2	1
56	литературы как	1	1
57	литературы конечно	1	1
58	только для	3	1
59	художественных произведений	1	1
60	и какие	1	1
61	с ним	4	1
62	это не	7	1
63	именно в	7	1
64	в чем	2	1
65	все же	2	1
66	и есть	4	1
67	перед нами	13	1
68	в то	4	1
69	кто не	1	1
70	тем же	1	1
71	и наконец	4	1
72	даже больше	1	1
73	еще и	3	1
74	только то	1	1
75	случае только	1	1
76	том как	2	1
77	тем что	3	1
78	и как	3	1
79	что эти	1	1
80	что он	8	1
81	прежде всего	11	1
82	бы он	1	1
83	слова но	3	1
84	в них	5	1
85	так и	10	1
86	не было	3	1
87	одной стороны	1	1
88	но только	2	1
89	и не	28	1
90	это вовсе	1	1
91	из себя	2	1
92	никогда не	1	1
93	он по	1	1
94	мы не	7	1
95	ничего не	1	1
96	между собою	2	1
97	мы еще	1	1
98	его слишком	1	1
99	развития и	1	1
100	не мешает	3	1
101	и о	5	1
102	все эти	16	1
103	обходится без	2	1
104	как и	6	1
105	между собой	2	1
106	себе чтобы	1	1
107	бы в	1	1
108	без этого	3	1
109	для этого	2	1
110	в настоящее	1	1
111	и строить	1	1
112	мы должны	3	1
113	но она	3	1
114	против этого	1	1
115	конечно не	3	1
116	в связи	3	1
117	на первый	1	1
118	и его	10	1
119	в этих	5	1
120	связи с	3	1
121	в имманентном	1	1
122	хотя бы	7	1
123	данное дерево	1	1
124	и научно	1	1
125	в целом	1	1
126	не может	5	1
127	в своей	4	1
128	а в	4	1
129	что она	4	1
130	реализма и	1	1
131	о том	5	1
132	не дает	1	1
133	в области	3	1
134	имманентное и	1	1
135	и потому	7	1
136	настоящее время	1	1
137	представить себе	2	1
138	больше того	1	1
139	но именно	2	1
140	в котором	2	1
141	никак не	4	1
142	между ними	1	1
143	из тех	1	1
144	литературе и	1	1
145	единства и	1	1
146	может не	1	1
147	столь же	2	1
148	время в	1	1
149	всяком случае	4	1
150	и связь	1	1
151	где же	1	1
152	не выходит	3	1
153	когда мы	5	1
154	в силу	1	1
155	ни на	3	1
156	что это	2	1
157	вовсе не	21	1
158	новое и	2	1
159	на отдельные	1	1
160	же самое	6	1
161	с одной	1	1
162	что без	2	1
163	в заключение	1	1
164	но не	5	1
165	у него	1	1
166	а тем	1	1
167	в виде	22	1
168	в данном	6	1
169	но как	3	1
170	и по	2	1
171	это происходит	1	1
172	по крайней	6	1
173	и более	3	1
174	во всяком	8	1
175	в каждом	1	1
176	и понятие	4	1
177	это значит	10	1
