1	в то же время	3	5
2	не что иное как	2	4
3	с одной стороны и	1	3
4	и т д в	1	2
5	заключается в том что	1	2
6	одной и той же	3	2
7	одного и того же	2	2
8	дело в том что	2	2
9	с этой точки зрения	1	1
10	не выходя из пределов	1	1
11	лишь в том что	1	1
12	но с другой стороны	2	1
13	том виде в каком	1	1
14	не существует потому что	1	1
15	только в том что	4	1
16	говоря уже о том	1	1
17	одном и том же	2	1
18	разница лишь в том	1	1
19	бы то ни было	1	1
20	в том виде в	1	1
21	в одном и том	2	1
22	и в этом смысле	3	1
23	не только в том	1	1
24	нужно обратить внимание на	1	1
25	ничего не может быть	1	1
26	так а не иначе	1	1
27	не говоря уже о	1	1
28	точно так же как	1	1
29	отношении его к мысли	1	1
30	уже о том что	1	1
